t,rfront,global_diff
0,0.0,2.4414062500000206e-10
1,0.0,2.4414062500000206e-10
2,0.0,2.4414062500000206e-10
3,1.0,2.4414062499995067e-10
4,1.0,2.4414062499995067e-10
5,2.0,2.441406249999809e-10
6,2.0,2.441406249999809e-10
7,3.0,2.4414062499996644e-10
8,3.0,2.4414062499996644e-10
9,3.0,2.441406249999458e-10
10,2.0,2.44140624999922e-10
11,2.0,2.4414062499989954e-10
12,2.0,2.441406249998958e-10
13,2.0,2.4414062499990016e-10
14,2.0,2.441406249999139e-10
15,2.0,2.441406249999139e-10
16,2.0,2.441406249999183e-10
17,2.0,2.4414062499991494e-10
18,2.0,2.441406249999095e-10
19,2.0,2.441406249999138e-10
20,2.0,2.44140624999902e-10
21,2.0,2.441406249998976e-10
22,2.0,2.4414062499989737e-10
23,3.0,2.44140624999893e-10
24,1.0,2.441406249998922e-10
25,0.0,2.441406249999011e-10
26,0.0,2.441406249999247e-10
27,1.0,2.441406249999013e-10
28,0.0,2.4414062499990124e-10
29,0.0,2.4414062499986754e-10
30,0.0,2.4414062499985415e-10
31,0.0,2.441406249998522e-10
32,0.0,2.4414062499986175e-10
33,1.0,2.441406249998863e-10
34,1.0,2.4414062499982814e-10
35,0.0,2.4414062499985073e-10
36,1.0,2.441406249998378e-10
37,1.0,2.441406249998533e-10
38,1.0,2.441406249998683e-10
39,0.0,2.441406249998855e-10
40,1.0,2.4414062499989794e-10
41,1.0,2.4414062499992673e-10
42,1.0,2.441406249999658e-10
43,1.0,2.441406249999845e-10
44,1.0,2.441406249999667e-10
45,0.0,2.4414062499998143e-10
46,2.0,2.44140624999983e-10
47,2.0,2.441406249999862e-10
48,2.0,2.4414062499997316e-10
49,2.0,2.4414062499995124e-10
50,2.0,2.4414062499993495e-10
51,0.0,2.441406249999079e-10
52,0.0,2.4414062499989406e-10
53,0.0,2.4414062499988734e-10
54,0.0,2.44140624999866e-10
55,0.0,2.441406249999046e-10
56,0.0,2.441406249998636e-10
57,0.0,2.441406249998536e-10
58,0.0,2.441406249998347e-10
59,1.0,2.441406249998366e-10
60,1.0,2.441406249998486e-10
61,1.0,2.4414062499985895e-10
62,1.0,2.4414062499987245e-10
63,1.0,2.4414062499985596e-10
64,1.0,2.441406249998579e-10
65,1.0,2.4414062499985787e-10
66,0.0,2.4414062499989127e-10
67,1.0,2.441406249998732e-10
68,1.0,2.4414062499986986e-10
69,1.0,2.4414062499984665e-10
70,1.0,2.4414062499984505e-10
71,1.0,2.441406249999184e-10
72,1.0,2.441406249999254e-10
73,1.0,2.441406249999489e-10
74,0.0,2.4414062499995253e-10
75,1.0,2.4414062499992446e-10
76,1.0,2.441406249999547e-10
77,1.0,2.4414062499995563e-10
78,0.0,2.4414062499998515e-10
79,1.0,2.441406250000138e-10
