t,site_subsystems,total_subsystems,interface_subsystems,n_links,mean_degree,frontier_radius,volume_proxy,density,energy_remaining,energy_density,creation_rate_modifier,memory_total,memory_bound,memory_free,birth_attempts,births_accepted,births_reject_exclusion,births_reject_memory,births_reject_energy,deaths_attempted,deaths_executed,links_attempted_random,links_added_random
0.0,2.0,4.0,2.0,1.0,1.0,0.18447157269650857,0.10690764757923547,18.707735557624012,0.0,0.0,1.0,inf,2.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,4.0,2.0,1.0,1.0,0.18447157269650857,0.10690764757923547,18.707735557624012,0.0,0.0,1.0,inf,2.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,165.0,475.0,310.0,155.0,1.878787878787879,16.444748239109064,849.5800990973172,0.19421358877793074,0.0,0.0,1.0,inf,165.0,inf,220.0,163.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,165.0,475.0,310.0,155.0,1.878787878787879,16.444748239109064,849.5800990973172,0.19421358877793074,0.0,0.0,1.0,inf,165.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,316.0,904.0,588.0,294.0,1.860759493670886,18.281315744065605,1049.9407019399066,0.3009693780002504,0.0,0.0,1.0,inf,316.0,inf,220.0,151.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,325.0,921.0,596.0,298.0,1.833846153846154,18.281315744065605,1049.9407019399066,0.3095412906648145,0.0,0.0,1.0,inf,325.0,inf,22.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,473.0,1335.0,862.0,431.0,1.8224101479915433,20.96523735652489,1380.859333918513,0.34254032136477747,0.0,0.0,1.0,inf,473.0,inf,217.0,148.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,487.0,1361.0,874.0,437.0,1.7946611909650925,20.96523735652489,1380.859333918513,0.35267893552779417,0.0,0.0,1.0,inf,487.0,inf,29.0,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,613.0,1715.0,1102.0,551.0,1.7977161500815662,22.51054380336026,1591.9222252192963,0.38506906322986717,0.0,0.0,1.0,inf,613.0,inf,206.0,126.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,647.0,1805.0,1158.0,579.0,1.7897990726429676,22.51054380336026,1591.9222252192963,0.4064268905541991,0.0,0.0,1.0,inf,647.0,inf,71.0,34.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,770.0,2162.0,1392.0,696.0,1.8077922077922077,24.125958525707656,1828.6013097566379,0.4210868689044506,0.0,0.0,1.0,inf,770.0,inf,198.0,123.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,817.0,2287.0,1470.0,735.0,1.799265605875153,24.125958525707656,1828.6013097566379,0.44678957388952745,0.0,0.0,1.0,inf,817.0,inf,83.0,47.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,917.0,2571.0,1654.0,827.0,1.8037077426390404,25.13823730637193,1985.2697082320449,0.46190197543316264,0.0,0.0,1.0,inf,917.0,inf,183.0,100.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,990.0,2774.0,1784.0,892.0,1.802020202020202,25.181058802630087,1992.039047305606,0.4969782100100172,0.0,0.0,1.0,inf,990.0,inf,129.0,73.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,1075.0,2997.0,1922.0,961.0,1.787906976744186,25.181058802630087,1992.039047305606,0.5396480563240086,0.0,0.0,1.0,inf,1075.0,inf,172.0,85.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,1151.0,3211.0,2060.0,1030.0,1.789748045178106,26.303934047268278,2173.6583637353356,0.529522034926435,0.0,0.0,1.0,inf,1151.0,inf,161.0,76.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0
