t,site_subsystems,total_subsystems,interface_subsystems,n_links,mean_degree,frontier_radius,volume_proxy,density,energy_remaining,energy_density,creation_rate_modifier,memory_total,memory_bound,memory_free,birth_attempts,births_accepted,births_reject_exclusion,births_reject_memory,births_reject_energy,deaths_attempted,deaths_executed,links_attempted_random,links_added_random
0.0,2.0,4.0,2.0,1.0,1.0,0.1710122578205894,0.09187648136071307,21.768356497544453,0.0,0.0,1.0,inf,2.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,4.0,2.0,1.0,1.0,0.1710122578205894,0.09187648136071307,21.768356497544453,0.0,0.0,1.0,inf,2.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,173.0,495.0,322.0,161.0,1.861271676300578,16.083284643336587,812.6421960052803,0.2128858196761369,0.0,0.0,1.0,inf,173.0,inf,220.0,171.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,173.0,495.0,322.0,161.0,1.861271676300578,16.083284643336587,812.6421960052803,0.2128858196761369,0.0,0.0,1.0,inf,173.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,316.0,898.0,582.0,291.0,1.8417721518987342,18.94361436501744,1127.393589664666,0.280292528622583,0.0,0.0,1.0,inf,316.0,inf,220.0,143.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,316.0,898.0,582.0,291.0,1.8417721518987342,18.94361436501744,1127.393589664666,0.280292528622583,0.0,0.0,1.0,inf,316.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,446.0,1268.0,822.0,411.0,1.84304932735426,20.591295910456143,1332.0398946929074,0.33482480650688184,0.0,0.0,1.0,inf,446.0,inf,220.0,130.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,477.0,1345.0,868.0,434.0,1.819706498951782,20.591295910456143,1332.0398946929074,0.3580973827439073,0.0,0.0,1.0,inf,477.0,inf,64.0,31.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,585.0,1651.0,1066.0,533.0,1.8222222222222222,21.996473560390942,1520.043423387761,0.38485742643864407,0.0,0.0,1.0,inf,585.0,inf,182.0,108.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,617.0,1745.0,1128.0,564.0,1.8282009724473258,21.996473560390942,1520.043423387761,0.40590945660280925,0.0,0.0,1.0,inf,617.0,inf,72.0,32.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,708.0,2000.0,1292.0,646.0,1.8248587570621468,22.53680155679311,1595.638233231025,0.4437095986139435,0.0,0.0,1.0,inf,708.0,inf,185.0,91.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,787.0,2201.0,1414.0,707.0,1.7966963151207116,23.281046963237728,1702.7656734215543,0.4621892561520778,0.0,0.0,1.0,inf,787.0,inf,147.0,79.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0
