seed,label,spatial_dim,energy_gamma,energy_total,death_rate,memory_total,bandwidth,birth_attempts,frontier_bias,step_frac_min,step_frac_max,no_signaling,spatial_exclusion,exclusion_radius,nsteps,max_subsystems,siteN_final,totalN_final,R_final,fit_type,alpha,power_r2,frontier_speed,frontier_r2,valid_alpha,invalid_reason
0,v2_dim3,3,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,113058.0,314354.0,38.18465548745061,power_law,0.9962444651026386,0.9991523690602121,0.016389430833748286,0.9278475606951847,1,
1,v2_dim3,3,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,108128.0,302114.0,40.47083123764465,power_law,1.032379886343708,0.9995627801891834,0.017915177572119297,0.9406116305158421,1,
2,v2_dim3,3,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,104732.0,291666.0,45.192530847791566,power_law,0.9475149431363769,0.9990185860537584,0.02250752579601049,0.8837295703380168,1,
3,v2_dim3,3,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,102291.0,285469.0,42.12518836390167,power_law,0.9606453801532634,0.9998020599151527,0.019303195511876498,0.9306626704339663,1,
4,v2_dim3,3,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,109183.0,304381.0,38.03963834342079,power_law,0.980510954944027,0.9999534508523572,0.015432531303529071,0.9539927474508507,1,
5,v2_dim3,3,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,103054.0,287950.0,36.01146540834789,power_law,0.977582148979834,0.9990267871701878,0.01334258012566528,0.8961453262073849,1,
6,v2_dim3,3,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,105721.0,295155.0,36.69910008417261,power_law,0.9747997610415685,0.9998993454303119,0.012673845743134996,0.9443664957497536,1,
7,v2_dim3,3,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,106682.0,297292.0,36.783386941543874,power_law,1.0164303282353484,0.9980774659785474,0.013421068305897881,0.8152347586634762,1,
8,v2_dim3,3,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,106578.0,297212.0,38.640154760347826,power_law,0.9732076279586359,0.9997592987757913,0.014833568262011595,0.9680779155728184,1,
9,v2_dim3,3,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,109491.0,305259.0,36.36696256692219,power_law,0.9712054346731477,0.9993883143774512,0.01297964517915563,0.9273735275382625,1,
10,v2_dim3,3,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,103544.0,289344.0,39.11150831361302,power_law,0.9537872264571372,0.9998165775448327,0.016896358634814153,0.9815968280384867,1,
11,v2_dim3,3,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,115999.0,323455.0,36.1885787679194,power_law,0.9918771324843344,0.9996631509834555,0.013518898473076933,0.9206695278738996,1,
12,v2_dim3,3,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,107231.0,300073.0,35.6274143825736,power_law,1.0047158100251752,0.9998384804103216,0.016583805715961776,0.9560319170687077,1,
13,v2_dim3,3,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,109478.0,305556.0,40.51829091034634,power_law,1.0265064957610182,0.9998592514775237,0.023447041290101032,0.9753127173514441,1,
14,v2_dim3,3,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,103139.0,287657.0,43.92875962526356,power_law,0.9407729333352569,0.9985126891830249,0.01652629613008545,0.875523214500754,1,
15,v2_dim3,3,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,108025.0,301287.0,39.76517053146079,power_law,1.01939402034158,0.9989194589450858,0.021465794233283805,0.876125268021967,1,
16,v2_dim3,3,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,110656.0,308606.0,42.20034657220496,power_law,0.9747696245140486,0.9978586874955511,0.01938510329764009,0.8570255023433346,1,
17,v2_dim3,3,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,120589.0,336293.0,35.87507231393192,power_law,1.0114949900504087,0.9998934259877109,0.0169330336752551,0.9493293961983532,1,
18,v2_dim3,3,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,111335.0,309871.0,40.825575462574285,power_law,0.9789910278158606,0.9989113680042582,0.020807923464737855,0.8834752052720317,1,
19,v2_dim3,3,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,113434.0,315888.0,36.003361985230825,power_law,0.9871745922999595,0.9997230240596597,0.01279999579754681,0.911070802476208,1,
20,v2_dim3,3,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,113639.0,317549.0,36.76719444141735,power_law,1.0118801798131059,0.9996828680581025,0.01746870794642712,0.9303520769200131,1,
21,v2_dim3,3,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,104182.0,290624.0,40.02127874725216,power_law,0.9723511499204207,0.9990541252365226,0.018637642690972525,0.8910929375422965,1,
22,v2_dim3,3,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,107657.0,299965.0,40.91805771679151,power_law,1.0177191820635572,0.9997981266771835,0.024152218576505836,0.9603597499396114,1,
23,v2_dim3,3,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,115288.0,321548.0,38.67381666503883,power_law,0.9875915448688184,0.9994531205353072,0.016641130626119136,0.9288935730020189,1,
24,v2_dim3,3,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,102209.0,285685.0,36.37119437859297,power_law,0.949554010019925,0.9997871268767811,0.01293467771162833,0.9802505045213507,1,
25,v2_dim3,3,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,109123.0,304509.0,37.621033786250976,power_law,0.9612003987528489,0.9999012741804519,0.013743091186075022,0.9756634892839663,1,
