label,spatial_dim,energy_gamma,energy_total,energy_cost,bandwidth,no_signaling,spatial_exclusion,exclusion_radius,interaction_rate,spawn_rate,n_seeds,alpha_mean,alpha_std,alpha_ci_lo,alpha_ci_hi,power_r2_mean,frontier_speed_mean,N_final_mean,R_final_mean
v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,25.0,1.1396928649227698,0.2613928540398777,1.0442439539811648,1.243956661431937,0.9789447804690492,0.017767538867949753,247.16,7.4771945500251125
v2_dim2,2,0.0,,1.0,4,1,1,0.15,0.08,0.03,25.0,2.271619921558285,0.3531212555940328,2.1428823570418203,2.4141297820546774,0.9942676645946394,0.019817636420812988,6582.36,8.5435730900068
v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,25.0,2.4195152846205907,0.3793175099312103,2.2767279262153424,2.566170756067227,0.8919722573859491,0.008904365889594878,14130.72,4.751665665822654
