t,total_subsystems,site_subsystems,interface_subsystems,n_links,mean_degree,hilbert_log2_dim,frontier_radius,volume_proxy,density,energy_remaining,energy_density,creation_rate_modifier,births_attempted,births_accepted,births_reject_lightcone,births_reject_exclusion,births_reject_energy,links_added_from_births,random_links_attempts,random_links_added
0,4,2,2,1,1.0,6.339850002884624,0.0,0.19999999999999998,8.307889718446667,0.0,0.0,1.0,0,0,0,0,0,0,0,0
1,4,2,2,1,1.0,6.339850002884624,0.12036751014877108,0.24073502029754212,8.307889718446667,0.0,0.0,1.0,0,0,0,0,0,0,4,0
2,4,2,2,1,1.0,6.339850002884624,0.12036751014877108,0.24073502029754212,8.307889718446667,0.0,0.0,1.0,0,0,0,0,0,0,4,0
3,4,2,2,1,1.0,6.339850002884624,0.12036751014877108,0.24073502029754212,8.307889718446667,0.0,0.0,1.0,0,0,0,0,0,0,4,0
4,7,3,4,2,1.3333333333333333,11.094737505048093,0.4635296810179628,0.9270593620359255,3.2360387293988016,0.0,0.0,1.0,1,1,0,0,0,1,6,0
5,7,3,4,2,1.3333333333333333,11.094737505048093,0.4635296810179628,0.9270593620359255,3.2360387293988016,0.0,0.0,1.0,0,0,0,0,0,0,6,0
6,7,3,4,2,1.3333333333333333,11.094737505048093,0.4635296810179628,0.9270593620359255,3.2360387293988016,0.0,0.0,1.0,0,0,0,0,0,0,6,0
7,7,3,4,2,1.3333333333333333,11.094737505048093,0.4635296810179628,0.9270593620359255,3.2360387293988016,0.0,0.0,1.0,0,0,0,0,0,0,6,0
8,7,3,4,2,1.3333333333333333,11.094737505048093,0.4635296810179628,0.9270593620359255,3.2360387293988016,0.0,0.0,1.0,0,0,0,0,0,0,6,0
9,7,3,4,2,1.3333333333333333,11.094737505048093,0.4635296810179628,0.9270593620359255,3.2360387293988016,0.0,0.0,1.0,0,0,0,0,0,0,6,0
10,10,4,6,3,1.5,15.84962500721156,0.9178344215365983,1.8356688430731964,2.1790422684863873,0.0,0.0,1.0,1,1,0,0,0,1,8,0
11,10,4,6,3,1.5,15.84962500721156,0.9178344215365983,1.8356688430731964,2.1790422684863873,0.0,0.0,1.0,0,0,0,0,0,0,8,0
12,10,4,6,3,1.5,15.84962500721156,0.9178344215365983,1.8356688430731964,2.1790422684863873,0.0,0.0,1.0,0,0,0,0,0,0,8,0
