t,S,L_flow,P,gini_flow,top10_flow,gini_mem,top10_mem,norm
0,6,0.4600000000000001,0.07666666666666667,0.9853316326530612,0.43478260869565205,0.9853316326530612,0.43478260869565205,0.9999999999999999
1,5,0.5925070000132313,0.11850140000264626,0.9759413474519463,0.3350870370919052,0.9800407630305656,0.37861005802243436,1.0000000000000004
2,2,0.4719832478447821,0.23599162392239104,0.9650025332210843,0.3116074707617728,0.9752050804807405,0.3544032356619607,1.0000000000000002
3,1,0.39285137211183135,0.39285137211183135,0.9576993466170297,0.31380858438667975,0.9711408400682291,0.3397326198779327,1.0
4,1,0.36851708928313187,0.36851708928313187,0.9533259558290453,0.33027568158087434,0.9675099867323762,0.3304004763598167,1.0
5,2,0.37281757333093224,0.18640878666546612,0.9485731040181398,0.32912692598778903,0.9640707280716384,0.32329947959941396,0.9999999999999999
6,3,0.3881057987374997,0.12936859957916655,0.9436743257977046,0.32011802217930785,0.9607223235671237,0.3165876968441708,0.9999999999999998
7,5,0.40842891540527004,0.08168578308105401,0.9388498334835039,0.3083879673968376,0.9574201172748896,0.31058372904971543,1.0000000000000002
8,6,0.43146506478164404,0.071910844130274,0.9341368778723378,0.296420346523729,0.9541471960270869,0.3048157637485337,0.9999999999999999
9,8,0.4564467468691107,0.057055843358638836,0.9294592777746686,0.2837117670128417,0.9508993442381721,0.2991069610439207,1.0
10,10,0.48304390578235856,0.04830439057823586,0.9247893592349404,0.27090516321351144,0.9476568690595686,0.2931503367792236,1.0
11,13,0.5110502651341821,0.03931155885647554,0.920072569108277,0.25836103018825723,0.9444150046352846,0.2877506799667445,1.0000000000000002
12,16,0.5404055203785219,0.033775345023657616,0.9152308687957893,0.24629519399856656,0.94114668573818,0.28252170027861384,1.0000000000000002
13,19,0.5710138338945635,0.030053359678661237,0.9102645853729574,0.23495433832658333,0.9378543375798993,0.27717170531924856,1.0000000000000002
14,22,0.6027051164151932,0.02739568710978151,0.9052158443470204,0.22417330297921853,0.9345277914080635,0.2718256163694409,1.0
15,25,0.6353688519896128,0.02541475407958451,0.900096797232339,0.21398282226832338,0.9311642456620889,0.2662704295160092,0.9999999999999996
