grid,g,n_bonds,dim,E0,gap,area_coef,R2_area,perim_coef,R2_perim,both_area_coef,both_perim_coef,R2_both,creutz_median,creutz_mean,creutz_count
3x3,0.15,12,4096,-1.7983890973068606,0.2997315475537168,10.845248293546264,1.0,5.422624146773132,1.0,6.333203354131213,2.256022469707524,1.0,9.593497348925148,9.593497348925148,1
3x3,0.25,12,4096,-2.992464836181004,0.4987448223357891,9.301670374537771,1.0,4.650835187268884,1.0,5.475660056143966,1.913005159196901,1.0,8.04974656045121,8.04974656045121,1
3x3,0.35,12,4096,-4.17900114875267,0.696505466824008,7.8140794845286115,0.9994312813539579,5.893511106624358,0.9575068272985512,7.023243647059016,0.6260783713300966,1.0,7.023243647059027,7.023243647059027,1
3x3,0.45,12,4096,-5.354435234289508,0.8924305430969754,7.037181404109216,0.9992985751985172,5.310844495719428,0.9585644607006636,6.246178780808899,0.6262104101127506,1.0,6.246178780808899,6.246178780808899,1
4x3,0.15,17,131072,-2.5477178958402935,0.29973154761723375,10.837457786247521,0.9999997416260273,5.418728893123761,0.9999997416260273,6.323681612627883,2.2568880868098224,0.9999997416260273,-0.8225354307766022,-0.8225354307766022,2
4x3,0.25,17,131072,-4.239325360990854,0.49874482233735096,9.293932447098761,0.9999996533831147,4.6469662235493825,0.9999996533831147,5.466202452309997,1.9138649973943866,0.9999996533831147,3.271208188175004,3.271208188175004,2
4x3,0.35,17,131072,-5.920253007928627,0.6965054668270572,7.8883530840904275,0.9985562286820855,5.138831738378494,0.9127320832577623,7.034733161653963,0.6165032773152227,0.9999998188253425,5.43131125341646,5.43131125341646,2
4x3,0.45,17,131072,-7.585456457979029,0.8924305430828481,7.111507344632433,0.9982225115184138,4.639462584489258,0.915069470494136,6.2574882715905495,0.6167915527524697,0.9999997845666999,6.774105633506519,6.774105633506519,2
3x4,0.15,17,131072,-2.5477178958402953,0.2997315476138813,10.831373023703131,0.9999991794846614,5.4156865118515665,0.9999991794846614,6.3162446807938935,2.257564171454625,0.9999991794846614,-1.045210180232644,-1.045210180232644,2
3x4,0.25,17,131072,-4.239325360990853,0.49874482233917083,9.287894426085774,0.9999988999951052,4.643947213042888,0.9999988999951052,5.458822648837949,1.914535888623917,0.9999988999951052,2.8990567305309742,2.8990567305309742,2
3x4,0.35,17,131072,-5.920253007928618,0.6965054668292012,7.886978905126758,0.9985899857766387,5.137129448877309,0.9124762008744293,7.043676980799461,0.609051389791934,0.9999994271369491,5.284718067189387,5.284718067189387,2
3x4,0.45,17,131072,-7.585456457979014,0.8924305431030781,7.110159053083218,0.9982631771166571,4.63779289235335,0.9147950376607306,6.266256939405176,0.6094848598785827,0.999999320342605,7.188455669923565,7.188455669923565,2
