t,S_2_6,S_2_3,S_2_4,S_2_5
0.3950000000,0.4780698053,0.0146079001,0.0581723867,0.9899937311
0.4000000000,0.4802952795,0.0154639032,0.0602218627,0.9895257440
0.4050000000,0.4906547523,0.0163506626,0.0623244807,0.9883296353
0.4100000000,0.5040011402,0.0172681746,0.0644819943,0.9864093424
0.4150000000,0.5191780490,0.0182163742,0.0666960820,0.9837698369
0.4200000000,0.5356608326,0.0191951341,0.0689683187,0.9804171099
0.4250000000,0.5530757512,0.0202042637,0.0713001483,0.9763581576
0.4300000000,0.5711213551,0.0212435088,0.0736928551,0.9716009653
0.4350000000,0.5895465853,0.0223125504,0.0761475360,0.9661544908
0.4400000000,0.6081406270,0.0234110056,0.0786650742,0.9600286476
0.4450000000,0.6267261235,0.0245384267,0.0812461129,0.9532342864
0.4500000000,0.6451538222,0.0256943023,0.0838910314,0.9457831778
0.4550000000,0.6632981344,0.0268780575,0.0865999219,0.9376879930
0.4600000000,0.6810534256,0.0280890548,0.0893725697,0.9289622853
0.4650000000,0.6983309325,0.0293265956,0.0922084336,0.9196204709
0.4700000000,0.7150562194,0.0305899213,0.0951066305,0.9096778101
0.4750000000,0.7311670988,0.0318782151,0.0980659210,0.8991503885
0.4800000000,0.7466119478,0.0331906044,0.1010846979,0.8880550984
0.4850000000,0.7613483592,0.0345261625,0.1041609776,0.8764096208
0.4900000000,0.7753420762,0.0358839120,0.1072923930,0.8642324086
0.4950000000,0.7885661564,0.0372628269,0.1104761903,0.8515426703
0.5000000000,0.8010002968,0.0386618365,0.1137092265,0.8383603551
0.5050000000,0.8126302120,0.0400798286,0.1169879708,0.8247061409
0.5100000000,0.8234468781,0.0415156530,0.1203085074,0.8106014231
0.5150000000,0.8334453708,0.0429681263,0.1236665409,0.7960683075
0.5200000000,0.8426230290,0.0444360356,0.1270574035,0.7811296070
0.5250000000,0.8509769979,0.0459181433,0.1304760647,0.7658088435
0.5300000000,0.8585018890,0.0474131920,0.1339171431,0.7501302553
0.5350000000,0.8651887953,0.0489199098,0.1373749196,0.7341188149
0.5400000000,0.8710263383,0.0504370151,0.1408433535,0.7178002569
0.5450000000,0.8760030551,0.0519632230,0.1443161005,0.7012011224
0.5500000000,0.8801097315,0.0534972502,0.1477865337,0.6843488243
0.5550000000,0.8833407967,0.0550378216,0.1512477673,0.6672717432
0.5600000000,0.8856947431,0.0565836764,0.1546926851,0.6499993680
0.5650000000,0.8871739389,0.0581335741,0.1581139751,0.6325625003
0.5700000000,0.8877841918,0.0596863011,0.1615041743,0.6149935595
0.5750000000,0.8875342739,0.0612406776,0.1648557292,0.5973270457
0.5800000000,0.8864354971,0.0627955637,0.1681610868,0.5796002599
0.5850000000,0.8845013643,0.0643498669,0.1714128408,0.5618544644
0.5900000000,0.8817472908,0.0659025482,0.1746039855,0.5441368217
0.5950000000,0.8781903848,0.0674526294,0.1777283838,0.5265037714
0.6000000000,0.8738492761,0.0689991999,0.1807816187,0.5090271657
0.6050000000,0.8687439818,0.0705414237,0.1837622339,0.4918058181
0.6100000000,0.8628958058,0.0720785461,0.1866717426,0.4749874099
0.6150000000,0.8563272713,0.0736099009,0.1895080890,0.4588067126
0.6200000000,0.8490620907,0.0751349171,0.1922548046,0.4436280356
0.6250000000,0.8411251893,0.0766531259,0.1948853275,0.4298929357
0.6300000000,0.8325428142,0.0781641679,0.1973763620,0.4178254242
0.6350000000,0.8233427958,0.0796677998,0.1997114835,0.4071977815
0.6400000000,0.8135550996,0.0811639027,0.2018789871,0.3975821576
0.6450000000,0.8032129616,0.0826524891,0.2038698531,0.3886473248
0.6500000000,0.7923551945,0.0841337122,0.2056766623,0.3802035268
0.6550000000,0.7810305970,0.0856078755,0.2072930780,0.3721538247
0.6600000000,0.7693042163,0.0870754440,0.2087136015,0.3644528075
0.6650000000,0.7572562655,0.0885370589,0.2099334528,0.3570834143
0.6700000000,0.7449524774,0.0899935551,0.2109485067,0.3500449043
0.6750000000,0.7324084377,0.0914459856,0.2117552545,0.3433465708
0.6800000000,0.7196085997,0.0928956546,0.2123507744,0.3370043391
0.6850000000,0.7065421327,0.0943441639,0.2127327091,0.3310388149
0.6900000000,0.6932115955,0.0957934817,0.2128992566,0.3254740296
0.6950000000,0.6796287845,0.0972460435,0.2128491941,0.3203364348
0.7000000000,0.6658104896,0.0987049073,0.2125819696,0.3156538289
0.7050000000,0.6517760357,0.1001739944,0.2120979158,0.3114539609
0.7100000000,0.6375459919,0.1016584720,0.2113986721,0.3077626099
0.7150000000,0.6231414938,0.1031653699,0.2104879257,0.3046010552
0.7200000000,0.6085838749,0.1047045814,0.2093725495,0.3019830495
0.7250000000,0.5938944629,0.1062904624,0.2080639000,0.2999116913
0.7300000000,0.5790944663,0.1079442177,0.2065781313,0.2983768480
0.7350000000,0.5642049174,0.1096967619,0.2049338207,0.2973538502
0.7400000000,0.5492466520,0.1115898236,0.2031478702,0.2968039403
0.7450000000,0.5342403184,0.1136694452,0.2012340622,0.2966764607
0.7500000000,0.5192064106,0.1159672493,0.1992052107,0.2969122652
0.7550000000,0.5041653260,0.1184816020,0.1970756078,0.2974475649
0.7600000000,0.4891374483,0.1211807983,0.1948620950,0.2982174865
0.7650000000,0.4741432597,0.1240233902,0.1925842150,0.2991588891
0.7700000000,0.4592034865,0.1269733441,0.1902640601,0.3002122980
0.7750000000,0.4443392867,0.1300040043,0.1879260687,0.3013230292
