step,mean_node_activity,max_node_activity,mean_link_energy,max_link_energy,mean_link_rank,max_link_rank,largest_cluster,n_clusters,mean_active_shortest_path,hot_nodes,persistent_nodes,edge_energy_threshold
0,0.0,0.0,0.0,0.0,0.0,0,128,1,3.398550724637681,0,0,0.0
25,0.32288093346259367,0.6502514392443329,0.13878185620947464,0.36776127836067285,1.94140625,4,31,18,3.6825396825396823,26,4,0.1776087223625627
50,0.5222015035277756,0.8619121658738517,0.27740796056118505,0.5011753604314982,2.49609375,4,27,21,3.5319148936170213,22,19,0.3382845425594557
75,0.65317821677395,0.9276581118159498,0.3961997908001119,0.5874384909215754,2.8046875,4,34,19,4.1911764705882355,24,25,0.4652490791808997
100,0.7442890547758918,0.9741821721686542,0.5005987600534728,0.7197793585210059,2.84375,4,28,21,4.020408163265306,25,24,0.5614367044181031
125,0.8039166540471946,0.9867449857735073,0.5809651276246616,0.7877823921030619,2.66015625,4,21,17,3.7857142857142856,25,24,0.636181228421133
150,0.8485020378261581,0.993464288888985,0.6484178642208956,0.8078823582712367,2.58203125,4,28,23,6.585714285714285,26,26,0.7073268676834134
175,0.8822902153024701,0.9967116395137416,0.7065334595394052,0.8639237470542015,2.4453125,4,18,19,1.5416666666666667,26,26,0.758796176452659
200,0.9074685607657007,0.9980552786191894,0.7539860190302008,0.888591379143126,2.296875,4,16,22,2.1,26,26,0.7973282520509637
225,0.9270303106034645,0.998960401281576,0.794285448078558,0.9088242073752362,2.2578125,4,8,23,1.7083333333333333,25,26,0.8363785901975274
250,0.9415810423162254,0.9993974823422318,0.8276378405653725,0.9291223474754797,2.203125,4,10,23,1.619047619047619,26,25,0.8640293635663728
275,0.9525295239485008,0.9997146784466348,0.8551298673482111,0.9449631230024249,2.26953125,4,19,20,2.1666666666666665,26,26,0.8866437955974423
300,0.9617624141121962,0.9998593151833207,0.8790315157666241,0.9502933749412978,2.15625,3,29,17,5.76595744680851,26,26,0.9074712210397466
325,0.9686134995832845,0.9999200943758084,0.8979851216976076,0.9615887301994511,2.16015625,4,23,19,4.1923076923076925,26,26,0.9238747312562339
350,0.9742746724885094,0.9999589760148547,0.9137255892123288,0.9686661285418764,2.140625,4,27,17,4.371428571428571,25,26,0.9379765290972158
375,0.9786219821834818,0.9999801766718065,0.9272989080055138,0.9743901061255235,2.18359375,3,22,18,4.588235294117647,26,25,0.9476175549000084
400,0.9822787021350728,0.9999909844230781,0.9388199553279979,0.9780129795160807,2.22265625,3,24,20,5.230769230769231,26,26,0.9558130361674603
425,0.9853011664006622,0.9999953713534254,0.9483165193346689,0.9820958601013655,2.19140625,3,18,17,4.103448275862069,25,26,0.96221587308666
450,0.9879370754667294,0.9999977633772094,0.956961346875034,0.9859524668150516,2.17578125,3,16,19,4.571428571428571,25,26,0.9689229246512877
475,0.9900097198568945,0.9999988517056082,0.9641082578628887,0.9880133763897605,2.1953125,3,22,19,2.8333333333333335,26,26,0.9751746377715758
500,0.9915304104625176,0.9999993608402197,0.969714439906054,0.9907185436861825,2.2265625,3,23,20,3.5526315789473686,26,26,0.9796492165079238
525,0.9930783806355158,0.9999996442330227,0.9748324110285649,0.9912479176249481,2.2109375,3,13,21,2.107142857142857,26,26,0.9829455020060869
550,0.9942269262319412,0.9999998173472854,0.9787800837480594,0.9932323551368413,2.17578125,3,12,20,2.230769230769231,26,26,0.9853806544270238
575,0.9951663436018059,0.9999999003658084,0.9821706365748994,0.9944802197199005,2.19921875,3,12,22,2.272727272727273,26,26,0.9883413462257389
600,0.995952871484207,0.9999999467380887,0.9850649342808724,0.9952661306886517,2.26953125,3,9,24,2.0952380952380953,26,26,0.990366753709309
625,0.9965737207350103,0.9999999715275334,0.9875802243821546,0.9968543531129924,2.1875,3,23,20,5.818181818181818,26,25,0.9917464718738724
650,0.9971097338538997,0.9999999831615134,0.9896167586525049,0.9978011046437714,2.15234375,3,14,19,2.0,26,26,0.9934146816435376
675,0.9975333941408233,0.999999990627418,0.9912296386690822,0.9982065853217003,2.171875,3,15,24,2.769230769230769,24,26,0.9946181371424705
700,0.9979052441017189,0.9999999953786177,0.9926537393077428,0.9985371420794344,2.19140625,3,8,23,2.227272727272727,26,26,0.9955607957696894
725,0.9982313074207362,0.9999999981001502,0.9938241434170253,0.9986789277539674,2.18359375,3,10,23,2.25,25,26,0.9961807986318552
750,0.9984871685668553,0.9999999989209307,0.9948203930994862,0.9988843957642587,2.16015625,3,9,21,2.3529411764705883,26,26,0.9968546773074565
775,0.9987273035804014,0.999999999399372,0.9956620134782754,0.9991795772184004,2.14453125,3,11,23,2.6666666666666665,26,26,0.9973097458762954
800,0.9989310937940609,0.999999999726837,0.9964123832652861,0.9992965271198485,2.19140625,3,16,24,3.1818181818181817,26,27,0.9978348891734511
825,0.9990959470013095,0.9999999998680045,0.9969735357599955,0.9993673728447963,2.19921875,3,10,24,1.6470588235294117,26,26,0.9981267994131051
850,0.9992379229049672,0.9999999999457366,0.9974426688966266,0.9994826395485205,2.1640625,3,12,24,1.3333333333333333,26,26,0.9984041231614198
875,0.9993505099821933,0.9999999999743034,0.9978707550187402,0.9996008976928625,2.08984375,3,13,26,1.3333333333333333,26,26,0.9986723189155352
900,0.9994541096880224,0.999999999985405,0.9982343143544262,0.9996738052944865,2.12890625,3,20,26,2.0,26,26,0.9989330669697813
925,0.9995270349912639,0.9999999999923539,0.9985363539623444,0.9997203070509391,2.0859375,3,14,26,1.894736842105263,25,26,0.9991112114744152
950,0.9995936976151669,0.9999999999957438,0.9987733615292582,0.9997601759571059,2.12109375,3,8,29,1.3333333333333333,26,26,0.9992522501506726
975,0.9996486176661697,0.9999999999975333,0.998965769069598,0.9998236877580103,2.11328125,3,12,22,2.0384615384615383,26,26,0.9993878913059733
1000,0.9997039663563586,0.9999999999988322,0.9991424124103346,0.9998635564015387,2.15234375,3,11,24,2.1538461538461537,26,26,0.999489464732999
1025,0.9997508027456337,0.9999999999993628,0.9992825608032891,0.9998768520126201,2.12890625,3,18,24,1.894736842105263,26,26,0.9995737446427531
1050,0.9997864066018631,0.9999999999996455,0.9994016257308581,0.9998944068640154,2.10546875,3,22,23,1.7333333333333334,26,27,0.9996457468190012
1075,0.9998224777549658,0.9999999999998179,0.9994960272715103,0.9999139859802613,2.0625,3,9,28,1.3333333333333333,26,25,0.9997156447822806
1100,0.9998496488744848,0.9999999999999046,0.9995796016460606,0.9999252826242084,2.06640625,3,13,24,2.566666666666667,25,26,0.9997652563478558
1125,0.9998727254562398,0.9999999999999539,0.9996463055631806,0.9999478218142861,2.03125,3,21,24,2.0434782608695654,26,25,0.9998056754371591
1150,0.9998937608681865,0.9999999999999791,0.9997038009395662,0.9999616441520377,2.0703125,3,12,21,2.8780487804878048,26,26,0.9998323772244179
1175,0.9999085510223015,0.999999999999988,0.9997506190725836,0.9999671144610248,2.015625,3,12,23,2.8214285714285716,26,25,0.9998604223664762
1200,0.9999206615548288,0.9999999999999943,0.999792775762559,0.9999703206710324,1.99609375,3,9,26,2.823529411764706,26,26,0.9998839622319414
1225,0.999931287316296,0.9999999999999973,0.9998248882945164,0.9999781825085694,2.00390625,3,23,24,2.9318181818181817,26,26,0.9999019094352757
1250,0.999940638640064,0.9999999999999973,0.9998530572481215,0.999984763905079,2.03515625,3,14,24,1.6666666666666667,26,26,0.9999162244354627
1275,0.9999483890642522,0.9999999999999973,0.9998762942992552,0.9999882105526136,2.03125,3,12,25,2.0,26,26,0.9999323263369568
1300,0.9999549916410766,0.9999999999999973,0.9998958328808003,0.9999903973074997,1.984375,3,15,24,2.0,26,25,0.9999457552814954
1325,0.9999615631644272,0.9999999999999973,0.9999124377622299,0.999992178474598,1.94140625,3,24,22,2.03125,25,26,0.9999537006488532
1350,0.9999670917598584,0.9999999999999973,0.9999260333237935,0.9999936292906654,1.96875,3,26,24,1.8181818181818181,26,27,0.9999618044210599
1375,0.9999715588901441,0.9999999999999973,0.9999378523426474,0.9999953169074397,1.96875,3,19,24,1.4444444444444444,26,26,0.9999675350632009
1400,0.9999751092945155,0.9999999999999973,0.9999479962077074,0.9999965574796199,1.90625,3,11,25,1.8076923076923077,26,26,0.9999734835265464
1425,0.99997913324056,0.9999999999999973,0.999956764036944,0.999997196039198,1.91796875,3,15,21,1.9642857142857142,26,26,0.9999778596375386
1450,0.9999818826542626,0.9999999999999973,0.9999636483314648,0.9999978303365973,1.90625,3,14,23,1.4444444444444444,26,26,0.9999812622713554
1475,0.9999843035599218,0.9999999999999973,0.9999696006521739,0.9999984050932622,1.8984375,3,13,20,2.0,26,25,0.9999852970652591
1500,0.9999863546474141,0.9999999999999973,0.9999743315079296,0.9999987658869428,1.9140625,3,16,19,2.0,26,27,0.9999876078598458
1525,0.9999878931890209,0.9999999999999973,0.9999783865841105,0.9999989418975268,1.91796875,3,18,17,2.0277777777777777,26,27,0.9999896678516829
1550,0.9999893503186846,0.9999999999999973,0.9999819025542863,0.9999991381675719,1.90234375,3,20,18,1.9583333333333333,26,26,0.9999919035550033
1575,0.999990904309132,0.9999999999999973,0.9999848463917045,0.999999298031628,1.90625,3,10,23,1.55,26,26,0.9999927935062008
1600,0.9999920862605733,0.9999999999999973,0.9999873252718121,0.999999456828027,1.87109375,3,8,24,1.55,26,26,0.9999943184822725
1625,0.9999931873224328,0.9999999999999973,0.9999893034830535,0.9999995575824759,1.83984375,3,10,25,1.55,26,25,0.9999952450546012
1650,0.9999940340378484,0.9999999999999973,0.9999910179465201,0.9999996206805065,1.89453125,3,14,25,1.6923076923076923,26,26,0.9999960036423032
1675,0.9999948118639248,0.9999999999999973,0.9999925875436826,0.9999996747797053,1.9140625,3,11,23,2.32,26,25,0.9999966680736251
1700,0.9999955706624797,0.9999999999999973,0.9999938224473746,0.9999997950284202,1.91796875,3,13,25,1.8,26,26,0.9999972272855999
1725,0.9999960823912358,0.9999999999999973,0.9999947554484424,0.9999998242618054,1.8828125,3,10,25,2.5833333333333335,26,26,0.9999976793430584
1750,0.9999965402981332,0.9999999999999973,0.9999956427626847,0.9999998493254846,1.8984375,3,11,27,2.3225806451612905,26,26,0.9999981349364466
1775,0.9999969149181438,0.9999999999999973,0.9999963250522148,0.9999998640155786,1.88671875,3,8,29,1.7083333333333333,26,26,0.9999984015123333
1800,0.9999972580413752,0.9999999999999973,0.9999969246115241,0.9999998834096622,1.875,3,16,29,1.7272727272727273,26,26,0.9999986289996058
1825,0.9999976879399115,0.9999999999999973,0.9999974399319423,0.9999998947769551,1.83203125,3,9,29,1.7272727272727273,26,26,0.9999988469658487
1850,0.9999980245016902,0.9999999999999973,0.9999978512732595,0.9999999097842319,1.83203125,3,9,30,1.7272727272727273,26,26,0.9999990425750683
1875,0.9999982997472904,0.9999999999999973,0.999998190012571,0.9999999226510855,1.8046875,3,8,30,1.7272727272727273,26,26,0.9999992385703832
1900,0.9999985282471955,0.9999999999999973,0.9999984744021708,0.9999999401487779,1.7734375,3,12,27,2.1724137931034484,26,26,0.999999379435012
1925,0.9999987009120885,0.9999999999999973,0.9999987290815575,0.9999999512506895,1.80859375,3,11,27,1.7692307692307692,26,26,0.9999994827901783
1950,0.9999988749921305,0.9999999999999973,0.999998952836785,0.9999999582035206,1.77734375,3,11,27,1.7083333333333333,26,26,0.9999995613473331
