t,captures_total,captures_in,captures_out,M_total,M_in,M_out,G_total,G_in,G_out,frac_M_in_cum,frac_M_out_cum,delta_cum,frac_M_in_roll,frac_M_out_roll,delta_roll,locked_like,mean_edge_mem,mean_theta_step
0,21,4,17,0,0,0,21,4,17,0.0,0.0,0.0,0.0,0.0,0.0,0.3592880978865406,3.9501091485078445e-18,2.3100053500045893e-18
1,13,1,12,0,0,0,13,1,12,0.0,0.0,0.0,0.0,0.0,0.0,0.15350389321468297,0.027749103322568372,0.0030404958641433574
2,11,2,9,0,0,0,11,2,9,0.0,0.0,0.0,0.0,0.0,0.0,0.15906562847608455,0.06945965998701947,0.004701171323097806
3,11,0,11,0,0,0,11,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.1635150166852058,0.12048300228362063,0.005914724509889899
4,16,3,13,0,0,0,16,3,13,0.0,0.0,0.0,0.0,0.0,0.0,0.19021134593993325,0.1745421170103211,0.006499668412874839
5,14,3,11,0,0,0,14,3,11,0.0,0.0,0.0,0.0,0.0,0.0,0.1724137931034483,0.23276325138367043,0.007095970355819911
6,14,0,14,0,0,0,14,0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.1724137931034483,0.2911362695136737,0.007217447729898368
7,8,2,6,0,0,0,8,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.16907675194660735,0.3508785741174093,0.007712900020069209
8,18,3,15,0,0,0,18,3,15,0.0,0.0,0.0,0.0,0.0,0.0,0.1646273637374861,0.4066864626362052,0.007631675313686962
9,19,4,15,0,0,0,19,4,15,0.0,0.0,0.0,0.0,0.0,0.0,0.1546162402669633,0.46622484878653797,0.008220538385827472
10,14,4,10,0,0,0,14,4,10,0.0,0.0,0.0,0.0,0.0,0.0,0.15127919911012236,0.5281771092056998,0.008782008437509089
11,13,3,10,0,0,0,13,3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.1568409343715239,0.59136351206858,0.009293821838990572
12,8,2,6,0,0,0,8,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.16017797552836485,0.6525841325794908,0.009636634584661581
13,11,3,8,2,1,1,9,2,7,0.029411764705881485,0.006369426751592316,0.023042337954289168,0.029411764705881485,0.006369426751592316,0.023042337954289168,0.17130144605116795,0.7077009076934722,0.009813627220335448
14,16,6,10,0,0,0,16,6,10,0.024999999999999373,0.005988023952095772,0.0190119760479036,0.024999999999999373,0.005988023952095772,0.0190119760479036,0.15016685205784205,0.7607409040799747,0.010241160145969845
15,15,6,9,0,0,0,15,6,9,0.021739130434782136,0.00568181818181815,0.016057312252963987,0.021739130434782136,0.00568181818181815,0.016057312252963987,0.15127919911012236,0.8125789974426316,0.010453164359073714
16,10,0,10,0,0,0,10,0,10,0.021739130434782136,0.005376344086021476,0.01636278634876066,0.021739130434782136,0.005376344086021476,0.01636278634876066,0.15127919911012236,0.8634014039810342,0.010857184131363615
17,9,1,8,0,0,0,9,1,8,0.021276595744680396,0.005154639175257706,0.01612195656942269,0.021276595744680396,0.005154639175257706,0.01612195656942269,0.15016685205784205,0.9118423710080121,0.01135325048605125
18,11,3,8,0,0,0,11,3,8,0.019999999999999598,0.004950495049504926,0.01504950495049467,0.019999999999999598,0.004950495049504926,0.01504950495049467,0.15016685205784205,0.9586696086430253,0.011785362836916847
19,9,3,6,0,0,0,9,3,6,0.01886792452830153,0.0048076923076922845,0.014060232220609245,0.01886792452830153,0.0048076923076922845,0.014060232220609245,0.15016685205784205,1.0039684053130653,0.01220768316170783
20,19,3,16,0,0,0,19,3,16,0.017857142857142537,0.004464285714285694,0.013392857142856842,0.017857142857142537,0.004464285714285694,0.013392857142856842,0.15016685205784205,1.047911451643942,0.012474509870866613
