seed,label,spatial_dim,energy_gamma,energy_total,death_rate,memory_total,bandwidth,birth_attempts,frontier_bias,step_frac_min,step_frac_max,no_signaling,spatial_exclusion,exclusion_radius,nsteps,max_subsystems,siteN_final,totalN_final,R_final,fit_type,alpha,power_r2,frontier_speed,frontier_r2,valid_alpha,invalid_reason
0,v2_dim1,1,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,777.0,2329.0,715.2859259246852,power_law,0.5258771150549755,0.9984680306957128,0.7362383826641371,0.9932150779913901,1,
1,v2_dim1,1,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,730.0,2188.0,671.7404769607163,power_law,0.5040693567174153,0.9990881102387036,0.6738609303554806,0.9867171246762146,1,
2,v2_dim1,1,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,778.0,2332.0,719.55562749358,power_law,0.5403119603275347,0.9994489226556572,0.7556399652124797,0.9876884741597891,1,
3,v2_dim1,1,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,755.0,2263.0,695.0846706841904,power_law,0.5597707060434286,0.9982043427074851,0.7543694434476433,0.9931328879853532,1,
4,v2_dim1,1,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,759.0,2275.0,700.1363870217938,power_law,0.5539191423825363,0.9988479967211673,0.737629084174389,0.9879559575477151,1,
5,v2_dim1,1,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,791.0,2371.0,732.218970114177,power_law,0.5368737900636412,0.9975498439012493,0.7663723747828547,0.9917118126119089,1,
6,v2_dim1,1,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,753.0,2257.0,693.8246330350173,power_law,0.5419847264515979,0.9991533061472591,0.7268509506752018,0.9924637851527495,1,
7,v2_dim1,1,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,738.0,2212.0,677.6804730198046,power_law,0.5138181869541429,0.9994267118787975,0.6852314109185396,0.9897094520803148,1,
8,v2_dim1,1,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,760.0,2278.0,700.5431993291684,power_law,0.5131355506455095,0.9994649935938205,0.7117921656456444,0.9886692955498909,1,
9,v2_dim1,1,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,745.0,2233.0,685.8505567216681,power_law,0.4961900986740673,0.9995477738685487,0.6750395498792783,0.9858478127393039,1,
10,v2_dim1,1,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,761.0,2281.0,700.7601821430451,power_law,0.5125586014153545,0.998113138453421,0.7051177384881268,0.992687948255577,1,
11,v2_dim1,1,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,753.0,2257.0,694.9165248285681,power_law,0.5334780373483647,0.9991818980938499,0.7220397724847877,0.9894181005109426,1,
12,v2_dim1,1,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,745.0,2233.0,686.9163657945655,power_law,0.5179509980264448,0.9989773300437071,0.7041634380023178,0.9890907771117954,1,
13,v2_dim1,1,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,765.0,2293.0,706.1019770975108,power_law,0.5320886618461645,0.9986703164204236,0.7330818074779245,0.9915984781760334,1,
14,v2_dim1,1,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,769.0,2305.0,710.1077632000276,power_law,0.5296572285458203,0.9985712749430399,0.7403715868152114,0.9919312106013705,1,
15,v2_dim1,1,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,751.0,2251.0,694.7466581129045,power_law,0.5337534712256119,0.9986489719622028,0.7255967659616424,0.9919223114361041,1,
16,v2_dim1,1,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,790.0,2368.0,728.3571015239597,power_law,0.5271388255808666,0.9979019763866326,0.7506680032168005,0.9947640369638181,1,
17,v2_dim1,1,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,807.0,2419.0,745.5175031172834,power_law,0.54585474928137,0.9989261008713672,0.7785242465729871,0.9857663552761798,1,
18,v2_dim1,1,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,796.0,2386.0,735.8637200937,power_law,0.5634127407793258,0.9994588151668534,0.7916523494223905,0.9907450601377903,1,
19,v2_dim1,1,0.0,,0.0,,4,220,0.15,0.85,1.0,1,1,0.15,700,250000,753.0,2257.0,696.0060406991581,power_law,0.5256749388890142,0.9993565807856677,0.7123229683499435,0.9900103400864869,1,
