step,mean_node_activity,max_node_activity,mean_link_energy,max_link_energy,mean_link_rank,max_link_rank,largest_cluster,n_clusters,mean_active_shortest_path,hot_nodes,persistent_nodes,edge_energy_threshold
1100,0.992583344584683,0.9999985946241485,0.9713310454642821,0.9896056702846157,2.09375,3,19,17,4.811320754716981,26,26,0.9809184499756863
1125,0.9931896283460369,0.9999988971780661,0.9735748037087754,0.9901718289343668,2.08984375,3,20,19,4.243243243243243,26,26,0.9823395656231776
1150,0.9936298088111901,0.9999991519052415,0.9753231191684923,0.9913153968023617,2.05078125,3,21,22,3.1904761904761907,26,26,0.9837279318054721
1175,0.9941134045899629,0.9999994104593695,0.9771251511360312,0.9917475270159934,2.0625,3,14,18,1.9047619047619047,26,26,0.9850001920903448
1200,0.9946399808316351,0.9999995983856891,0.9789316678516649,0.9927511418658805,2.109375,3,14,19,1.894736842105263,26,26,0.9861852955053557
1225,0.9950042986118001,0.9999996848465338,0.9805056271185705,0.9934514862984506,2.09375,3,14,18,2.3703703703703702,26,26,0.9868821074695029
1250,0.9953591709331941,0.9999997526938046,0.9819526955396441,0.9936368575461492,2.10546875,3,21,18,2.864864864864865,26,26,0.988396922401679
1275,0.9957388014133435,0.9999997979328329,0.9832892161388105,0.9942498356947528,2.10546875,3,25,18,4.4375,26,26,0.9891363376500946
1300,0.9960300519627618,0.999999853744245,0.984522123246665,0.9948037323255815,2.08984375,3,23,16,3.142857142857143,26,26,0.9899712119308044
1325,0.9963350247630135,0.9999998983324576,0.985637459128786,0.9953666765602521,2.1171875,3,23,18,2.9583333333333335,26,26,0.9908516370135092
1350,0.9965862799612697,0.9999999218153836,0.9867577026448155,0.9961117398095191,2.109375,3,23,18,3.238095238095238,26,26,0.9915205967705221
1375,0.9968443470921304,0.999999943410153,0.9877808850459712,0.996534097175806,2.1015625,3,15,21,1.7857142857142858,26,26,0.9921202310477664
1400,0.9971027869269435,0.9999999582044875,0.9887626355257997,0.9970257044002864,2.09375,3,22,21,2.4,26,26,0.992804720868669
1425,0.9973067247107839,0.9999999709464626,0.9895505601319144,0.9974470721404124,2.07421875,3,17,21,1.8333333333333333,26,25,0.9936192487664299
1450,0.997525132307306,0.9999999776571795,0.9903090862693339,0.9975727712490149,2.0859375,3,18,18,2.8421052631578947,26,25,0.9941257813429094
1475,0.9977031468195994,0.9999999841517511,0.9910502793628845,0.9979867253691629,2.08984375,3,22,20,2.2,26,26,0.9945600098303191
1500,0.9978443311800531,0.9999999885290736,0.9917482925725405,0.9983561425825948,2.12890625,3,28,18,3.75,26,26,0.9950270621893651
1525,0.9980007175943478,0.9999999916973696,0.9924204730867189,0.9985881828346487,2.08984375,3,28,17,3.6451612903225805,25,26,0.9954144382292658
1550,0.9981559452917661,0.9999999937427895,0.9930058759619943,0.99865783731132,2.0625,3,25,18,2.88,26,25,0.9957848489126333
1575,0.9982805594826526,0.9999999950898624,0.9935414405847919,0.9988441800040496,2.0703125,3,36,18,7.2727272727272725,26,26,0.9961079516368359
1600,0.9983978328020984,0.999999996787514,0.9940519140420716,0.9988441800040496,2.08984375,3,24,19,2.4642857142857144,26,26,0.9964318295406679
1625,0.9985245089154144,0.9999999972669357,0.9944528779328103,0.9990544341105247,2.05859375,3,24,17,3.5588235294117645,26,26,0.9966279457700238
1650,0.9986301749230219,0.9999999979814429,0.9948405215089003,0.9991013333819134,2.0625,3,15,19,2.4482758620689653,26,26,0.9968819033836656
1675,0.9987309139246319,0.9999999985091562,0.9952440610042184,0.9991446899973198,2.08203125,3,23,18,2.423076923076923,26,26,0.9971975808145079
1700,0.9988252687621813,0.9999999987818721,0.9955934495042511,0.9992259361154436,2.0625,3,14,18,2.642857142857143,26,26,0.9973572946428811
1725,0.9989049862592544,0.9999999990246068,0.9959195457264367,0.9992641101247686,2.09375,3,23,20,2.4285714285714284,26,25,0.9975575781280908
1750,0.9989707189927017,0.9999999993355303,0.9962419722742859,0.9993345165126607,2.0703125,3,22,20,2.8620689655172415,26,26,0.9977492157232802
1775,0.9990352187263498,0.9999999995286775,0.996548743259302,0.9994265402922029,2.0625,3,27,20,4.5,26,26,0.9979603498128156
1800,0.9991121666545835,0.9999999996225973,0.9967984043466207,0.9994546630277314,2.08203125,3,13,22,1.4705882352941178,26,26,0.9980977385955272
1825,0.9991657536762917,0.999999999703846,0.9970112977389405,0.9994813564452235,2.0703125,3,14,21,1.9523809523809523,26,26,0.9982603574094757
1850,0.9992445336330913,0.9999999997722511,0.9972623621110192,0.9995766867062886,2.06640625,3,12,23,1.3333333333333333,26,26,0.9984391247658431
1875,0.9992929105392154,0.9999999998176345,0.9974582353747116,0.9996176432376863,2.08203125,3,16,22,1.3076923076923077,26,26,0.998578506728693
1900,0.9993472716635653,0.9999999998706444,0.9976542432460274,0.9996362542894379,2.109375,3,17,22,1.3076923076923077,26,26,0.9986840553538149
1925,0.9993857420911941,0.9999999998899491,0.9978205982140064,0.9996873251031323,2.109375,3,17,21,1.9090909090909092,26,26,0.9987835253633681
1950,0.9994233470643369,0.9999999999136413,0.9979787132029534,0.9997169407294672,2.06640625,3,14,21,1.5555555555555556,26,26,0.9988961068797333
1975,0.9994629150249165,0.9999999999335881,0.9981343071987663,0.9997439367472364,2.09765625,3,16,22,1.5555555555555556,26,26,0.9989767612693943
2000,0.9994993834079515,0.9999999999519311,0.9982624487305393,0.9997564765649269,2.125,3,11,25,1.5555555555555556,26,26,0.9990644607300387
