seed,label,spatial_dim,energy_gamma,energy_total,energy_cost,bandwidth,no_signaling,spatial_exclusion,exclusion_radius,interaction_rate,spawn_rate,nsteps,max_subsystems,N_final,R_final,E_final,modifier_final,fit_type,alpha,power_r2,exp_rate,exp_r2,frontier_speed,frontier_r2,fit_t_start,fit_t_end
0,v2_dim2,2,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,6613.0,8.748111832036123,0.0,1.0,power_law,2.3683739266088684,0.9970531214819955,0.011826604171752176,0.9198086327076292,0.018660202024906224,0.9841343190106483,57,400
1,v2_dim2,2,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,6118.0,7.893464416768281,0.0,1.0,power_law,2.51751891756806,0.9988497492755307,0.012652672994007741,0.9334237583215593,0.02122990302982866,0.9901485765659439,57,400
2,v2_dim2,2,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,6864.0,9.129774553707923,0.0,1.0,power_law,2.228903313223159,0.9981351179296717,0.011162896389854068,0.9262330365657919,0.02142554960269961,0.983494050555869,57,400
3,v2_dim2,2,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,6784.0,9.257184905138306,0.0,1.0,power_law,2.8763379401678986,0.9812607825232252,0.014090259775899892,0.8711686245962635,0.02254201568472109,0.9629672011723971,57,400
4,v2_dim2,2,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,5038.0,6.8500575228438025,0.0,1.0,power_law,3.2655926870239558,0.9784418095124848,0.015967989607514558,0.8655079440949406,0.01831537489523306,0.9930469835086193,57,400
5,v2_dim2,2,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,6841.0,8.031445761496377,0.0,1.0,power_law,1.6831281290649518,0.9981671303117575,0.008572742351803485,0.9580056147640326,0.01688024911673946,0.9903490119899768,57,400
6,v2_dim2,2,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,6269.0,8.911405497533599,0.0,1.0,power_law,2.43503120044413,0.9940932056910734,0.012084527394376612,0.9058097465948152,0.021451618506288683,0.9847023240750873,57,400
7,v2_dim2,2,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,6296.0,7.7894439470382535,0.0,1.0,power_law,1.9290735979685234,0.9981468636461,0.009678997517837773,0.9296451597675787,0.01457074220121826,0.974067587619452,57,400
8,v2_dim2,2,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,6681.0,7.8956544111168725,0.0,1.0,power_law,2.1080590197659386,0.997823851171287,0.010565654024283945,0.9273436949663898,0.016789980191639235,0.989088012601423,57,400
9,v2_dim2,2,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,7383.0,7.859849880066409,0.0,1.0,power_law,2.0604274518988084,0.9954502230389318,0.010260744928210375,0.9133185526483805,0.018500386112292426,0.9737598783870733,57,400
