t,site_subsystems,total_subsystems,interface_subsystems,n_links,mean_degree,hilbert_log2_dim,frontier_radius,volume_proxy,density,energy_remaining,energy_density,creation_rate_modifier,births_attempted,births_accepted,births_reject_lightcone,births_reject_exclusion,births_reject_energy,links_added_from_births,random_links_attempts,random_links_added
0,2,4,2,1,1.0,6.339850002884624,0.0,0.19999999999999998,10.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0
1,2,4,2,1,1.0,6.339850002884624,0.09794741683587314,0.19999999999999998,10.0,0.0,0.0,1.0,0,0,0,0,0,0,4,0
2,2,4,2,1,1.0,6.339850002884624,0.09794741683587314,0.19999999999999998,10.0,0.0,0.0,1.0,0,0,0,0,0,0,4,0
3,2,4,2,1,1.0,6.339850002884624,0.09794741683587314,0.19999999999999998,10.0,0.0,0.0,1.0,0,0,0,0,0,0,4,0
4,2,4,2,1,1.0,6.339850002884624,0.09794741683587314,0.19999999999999998,10.0,0.0,0.0,1.0,0,0,0,0,0,0,4,0
5,2,4,2,1,1.0,6.339850002884624,0.09794741683587314,0.19999999999999998,10.0,0.0,0.0,1.0,0,0,0,0,0,0,4,0
6,2,4,2,1,1.0,6.339850002884624,0.09794741683587314,0.19999999999999998,10.0,0.0,0.0,1.0,0,0,0,0,0,0,4,0
7,2,4,2,1,1.0,6.339850002884624,0.09794741683587314,0.19999999999999998,10.0,0.0,0.0,1.0,0,0,0,0,0,0,4,0
8,2,4,2,1,1.0,6.339850002884624,0.09794741683587314,0.19999999999999998,10.0,0.0,0.0,1.0,0,0,0,0,0,0,4,0
9,2,4,2,1,1.0,6.339850002884624,0.09794741683587314,0.19999999999999998,10.0,0.0,0.0,1.0,0,0,0,0,0,0,4,0
10,2,4,2,1,1.0,6.339850002884624,0.09794741683587314,0.19999999999999998,10.0,0.0,0.0,1.0,0,0,0,0,0,0,4,0
11,3,7,4,2,1.3333333333333333,11.094737505048093,0.5795635214782072,1.1591270429564142,2.5881546101696866,0.0,0.0,1.0,1,1,0,0,0,1,6,0
12,3,7,4,2,1.3333333333333333,11.094737505048093,0.5795635214782072,1.1591270429564142,2.5881546101696866,0.0,0.0,1.0,0,0,0,0,0,0,6,0
13,3,7,4,2,1.3333333333333333,11.094737505048093,0.5795635214782072,1.1591270429564142,2.5881546101696866,0.0,0.0,1.0,1,0,0,1,0,0,6,0
14,3,7,4,2,1.3333333333333333,11.094737505048093,0.5795635214782072,1.1591270429564142,2.5881546101696866,0.0,0.0,1.0,0,0,0,0,0,0,6,0
15,3,7,4,2,1.3333333333333333,11.094737505048093,0.5795635214782072,1.1591270429564142,2.5881546101696866,0.0,0.0,1.0,0,0,0,0,0,0,6,0
16,4,10,6,3,1.5,15.84962500721156,0.5795635214782072,1.1591270429564142,3.4508728135595823,0.0,0.0,1.0,1,1,0,0,0,1,8,0
17,4,12,8,4,2.0,19.019550008653873,0.5795635214782072,1.1591270429564142,3.4508728135595823,0.0,0.0,1.0,1,0,0,1,0,0,8,1
18,4,14,10,5,2.5,22.189475010096185,0.5795635214782072,1.1591270429564142,3.4508728135595823,0.0,0.0,1.0,0,0,0,0,0,0,8,1
19,4,14,10,5,2.5,22.189475010096185,0.5795635214782072,1.1591270429564142,3.4508728135595823,0.0,0.0,1.0,0,0,0,0,0,0,8,0
20,5,17,12,6,2.4,26.94436251225965,0.5886737574426801,1.17734751488536,4.246834462029554,0.0,0.0,1.0,1,1,0,0,0,1,10,0
21,5,19,14,7,2.8,30.114287513701967,0.5886737574426801,1.17734751488536,4.246834462029554,0.0,0.0,1.0,0,0,0,0,0,0,10,1
22,5,19,14,7,2.8,30.114287513701967,0.5886737574426801,1.17734751488536,4.246834462029554,0.0,0.0,1.0,0,0,0,0,0,0,10,0
23,5,19,14,7,2.8,30.114287513701967,0.5886737574426801,1.17734751488536,4.246834462029554,0.0,0.0,1.0,1,0,0,1,0,0,10,0
24,5,19,14,7,2.8,30.114287513701967,0.5886737574426801,1.17734751488536,4.246834462029554,0.0,0.0,1.0,0,0,0,0,0,0,10,0
25,6,22,16,8,2.6666666666666665,34.86917501586544,1.079280184711402,2.1585603694228035,2.779630389306366,0.0,0.0,1.0,1,1,0,0,0,1,12,0
26,7,25,18,9,2.5714285714285716,39.6240625180289,1.079280184711402,2.1585603694228035,3.2429021208574267,0.0,0.0,1.0,2,1,0,1,0,1,14,0
27,7,25,18,9,2.5714285714285716,39.6240625180289,1.079280184711402,2.1585603694228035,3.2429021208574267,0.0,0.0,1.0,0,0,0,0,0,0,14,0
28,7,27,20,10,2.857142857142857,42.793987519471216,1.079280184711402,2.1585603694228035,3.2429021208574267,0.0,0.0,1.0,0,0,0,0,0,0,14,1
29,7,27,20,10,2.857142857142857,42.793987519471216,1.079280184711402,2.1585603694228035,3.2429021208574267,0.0,0.0,1.0,1,0,0,1,0,0,14,0
30,7,27,20,10,2.857142857142857,42.793987519471216,1.079280184711402,2.1585603694228035,3.2429021208574267,0.0,0.0,1.0,1,0,0,1,0,0,14,0
31,8,30,22,11,2.75,47.548875021634686,1.159334913445027,2.3186698268900536,3.450254066888905,0.0,0.0,1.0,1,1,0,0,0,1,16,0
32,9,31,22,11,2.4444444444444446,49.13383752235584,1.159334913445027,2.3186698268900536,3.8815358252500176,0.0,0.0,1.0,3,1,0,2,0,0,18,0
33,9,31,22,11,2.4444444444444446,49.13383752235584,1.159334913445027,2.3186698268900536,3.8815358252500176,0.0,0.0,1.0,1,0,0,1,0,0,18,0
34,9,31,22,11,2.4444444444444446,49.13383752235584,1.159334913445027,2.3186698268900536,3.8815358252500176,0.0,0.0,1.0,2,0,0,2,0,0,18,0
35,10,34,24,12,2.4,53.8887250245193,1.159334913445027,2.3186698268900536,4.312817583611131,0.0,0.0,1.0,1,1,0,0,0,1,20,0
36,10,34,24,12,2.4,53.8887250245193,1.159334913445027,2.3186698268900536,4.312817583611131,0.0,0.0,1.0,0,0,0,0,0,0,20,0
37,10,34,24,12,2.4,53.8887250245193,1.159334913445027,2.3186698268900536,4.312817583611131,0.0,0.0,1.0,0,0,0,0,0,0,20,0
38,10,34,24,12,2.4,53.8887250245193,1.159334913445027,2.3186698268900536,4.312817583611131,0.0,0.0,1.0,1,0,0,1,0,0,20,0
39,10,38,28,14,2.8,60.228575027403934,1.159334913445027,2.3186698268900536,4.312817583611131,0.0,0.0,1.0,1,0,0,1,0,0,20,2
40,10,38,28,14,2.8,60.228575027403934,1.159334913445027,2.3186698268900536,4.312817583611131,0.0,0.0,1.0,3,0,0,3,0,0,20,0
41,10,38,28,14,2.8,60.228575027403934,1.159334913445027,2.3186698268900536,4.312817583611131,0.0,0.0,1.0,1,0,0,1,0,0,20,0
42,10,38,28,14,2.8,60.228575027403934,1.159334913445027,2.3186698268900536,4.312817583611131,0.0,0.0,1.0,0,0,0,0,0,0,20,0
43,11,39,28,14,2.5454545454545454,61.81353752812509,1.3287328785359782,2.657465757071956,4.139281934575142,0.0,0.0,1.0,1,1,0,0,0,0,22,0
44,11,39,28,14,2.5454545454545454,61.81353752812509,1.3287328785359782,2.657465757071956,4.139281934575142,0.0,0.0,1.0,2,0,0,2,0,0,22,0
45,11,39,28,14,2.5454545454545454,61.81353752812509,1.3287328785359782,2.657465757071956,4.139281934575142,0.0,0.0,1.0,0,0,0,0,0,0,22,0
46,11,39,28,14,2.5454545454545454,61.81353752812509,1.3287328785359782,2.657465757071956,4.139281934575142,0.0,0.0,1.0,2,0,0,2,0,0,22,0
47,11,39,28,14,2.5454545454545454,61.81353752812509,1.3287328785359782,2.657465757071956,4.139281934575142,0.0,0.0,1.0,0,0,0,0,0,0,22,0
48,11,39,28,14,2.5454545454545454,61.81353752812509,1.3287328785359782,2.657465757071956,4.139281934575142,0.0,0.0,1.0,1,0,0,1,0,0,22,0
49,11,41,30,15,2.727272727272727,64.9834625295674,1.3287328785359782,2.657465757071956,4.139281934575142,0.0,0.0,1.0,3,0,0,3,0,0,22,1
50,11,41,30,15,2.727272727272727,64.9834625295674,1.3287328785359782,2.657465757071956,4.139281934575142,0.0,0.0,1.0,3,0,0,3,0,0,22,0
51,11,41,30,15,2.727272727272727,64.9834625295674,1.3287328785359782,2.657465757071956,4.139281934575142,0.0,0.0,1.0,1,0,0,1,0,0,22,0
52,11,41,30,15,2.727272727272727,64.9834625295674,1.3287328785359782,2.657465757071956,4.139281934575142,0.0,0.0,1.0,0,0,0,0,0,0,22,0
53,11,41,30,15,2.727272727272727,64.9834625295674,1.3287328785359782,2.657465757071956,4.139281934575142,0.0,0.0,1.0,1,0,0,1,0,0,22,0
54,12,44,32,16,2.6666666666666665,69.73835003173087,1.5381380351864316,3.0762760703728627,3.9008202532829017,0.0,0.0,1.0,3,1,0,2,0,1,24,0
55,12,44,32,16,2.6666666666666665,69.73835003173087,1.5381380351864316,3.0762760703728627,3.9008202532829017,0.0,0.0,1.0,3,0,0,3,0,0,24,0
56,12,46,34,17,2.8333333333333335,72.90827503317317,1.5381380351864316,3.0762760703728627,3.9008202532829017,0.0,0.0,1.0,0,0,0,0,0,0,24,1
57,12,46,34,17,2.8333333333333335,72.90827503317317,1.5381380351864316,3.0762760703728627,3.9008202532829017,0.0,0.0,1.0,2,0,0,2,0,0,24,0
58,12,46,34,17,2.8333333333333335,72.90827503317317,1.5381380351864316,3.0762760703728627,3.9008202532829017,0.0,0.0,1.0,3,0,0,3,0,0,24,0
59,12,46,34,17,2.8333333333333335,72.90827503317317,1.5381380351864316,3.0762760703728627,3.9008202532829017,0.0,0.0,1.0,0,0,0,0,0,0,24,0
60,12,46,34,17,2.8333333333333335,72.90827503317317,1.5381380351864316,3.0762760703728627,3.9008202532829017,0.0,0.0,1.0,0,0,0,0,0,0,24,0
61,12,46,34,17,2.8333333333333335,72.90827503317317,1.5381380351864316,3.0762760703728627,3.9008202532829017,0.0,0.0,1.0,0,0,0,0,0,0,24,0
62,12,46,34,17,2.8333333333333335,72.90827503317317,1.5381380351864316,3.0762760703728627,3.9008202532829017,0.0,0.0,1.0,3,0,0,3,0,0,24,0
63,12,46,34,17,2.8333333333333335,72.90827503317317,1.5381380351864316,3.0762760703728627,3.9008202532829017,0.0,0.0,1.0,0,0,0,0,0,0,24,0
64,12,46,34,17,2.8333333333333335,72.90827503317317,1.5381380351864316,3.0762760703728627,3.9008202532829017,0.0,0.0,1.0,1,0,0,1,0,0,24,0
65,12,46,34,17,2.8333333333333335,72.90827503317317,1.5381380351864316,3.0762760703728627,3.9008202532829017,0.0,0.0,1.0,0,0,0,0,0,0,24,0
66,12,46,34,17,2.8333333333333335,72.90827503317317,1.5381380351864316,3.0762760703728627,3.9008202532829017,0.0,0.0,1.0,0,0,0,0,0,0,24,0
67,12,46,34,17,2.8333333333333335,72.90827503317317,1.5381380351864316,3.0762760703728627,3.9008202532829017,0.0,0.0,1.0,2,0,0,2,0,0,24,0
68,13,49,36,18,2.769230769230769,77.66316253533665,1.5381380351864316,3.0762760703728627,4.225888607723143,0.0,0.0,1.0,2,1,0,1,0,1,26,0
69,13,49,36,18,2.769230769230769,77.66316253533665,1.5381380351864316,3.0762760703728627,4.225888607723143,0.0,0.0,1.0,3,0,0,3,0,0,26,0
70,13,49,36,18,2.769230769230769,77.66316253533665,1.5381380351864316,3.0762760703728627,4.225888607723143,0.0,0.0,1.0,1,0,0,1,0,0,26,0
71,14,52,38,19,2.7142857142857144,82.41805003750012,1.7256053430764302,3.45121068615286,4.056547476562813,0.0,0.0,1.0,1,1,0,0,0,1,28,0
