t,site_subsystems,total_subsystems,interface_subsystems,n_links,mean_degree,hilbert_log2_dim,frontier_radius,volume_proxy,density,energy_remaining,energy_density,creation_rate_modifier,births_attempted,births_accepted,births_reject_lightcone,births_reject_exclusion,births_reject_energy,links_added_from_births,random_links_attempts,random_links_added
0,2,4,2,1,1.0,6.339850002884624,0.0,0.19999999999999998,5.629073431721206,0.0,0.0,1.0,0,0,0,0,0,0,0,0
1,2,4,2,1,1.0,6.339850002884624,0.1776491303816993,0.35529826076339854,5.629073431721206,0.0,0.0,1.0,0,0,0,0,0,0,4,0
2,2,4,2,1,1.0,6.339850002884624,0.1776491303816993,0.35529826076339854,5.629073431721206,0.0,0.0,1.0,0,0,0,0,0,0,4,0
3,3,7,4,2,1.3333333333333333,11.094737505048093,0.4719985411459934,0.9439970822919866,3.1779759241587078,0.0,0.0,1.0,1,1,0,0,0,1,6,0
4,3,7,4,2,1.3333333333333333,11.094737505048093,0.4719985411459934,0.9439970822919866,3.1779759241587078,0.0,0.0,1.0,0,0,0,0,0,0,6,0
5,3,7,4,2,1.3333333333333333,11.094737505048093,0.4719985411459934,0.9439970822919866,3.1779759241587078,0.0,0.0,1.0,0,0,0,0,0,0,6,0
6,3,7,4,2,1.3333333333333333,11.094737505048093,0.4719985411459934,0.9439970822919866,3.1779759241587078,0.0,0.0,1.0,0,0,0,0,0,0,6,0
7,3,7,4,2,1.3333333333333333,11.094737505048093,0.4719985411459934,0.9439970822919866,3.1779759241587078,0.0,0.0,1.0,0,0,0,0,0,0,6,0
8,3,7,4,2,1.3333333333333333,11.094737505048093,0.4719985411459934,0.9439970822919866,3.1779759241587078,0.0,0.0,1.0,0,0,0,0,0,0,6,0
9,3,7,4,2,1.3333333333333333,11.094737505048093,0.4719985411459934,0.9439970822919866,3.1779759241587078,0.0,0.0,1.0,0,0,0,0,0,0,6,0
10,3,7,4,2,1.3333333333333333,11.094737505048093,0.4719985411459934,0.9439970822919866,3.1779759241587078,0.0,0.0,1.0,0,0,0,0,0,0,6,0
11,3,7,4,2,1.3333333333333333,11.094737505048093,0.4719985411459934,0.9439970822919866,3.1779759241587078,0.0,0.0,1.0,0,0,0,0,0,0,6,0
12,3,7,4,2,1.3333333333333333,11.094737505048093,0.4719985411459934,0.9439970822919866,3.1779759241587078,0.0,0.0,1.0,0,0,0,0,0,0,6,0
13,3,7,4,2,1.3333333333333333,11.094737505048093,0.4719985411459934,0.9439970822919866,3.1779759241587078,0.0,0.0,1.0,0,0,0,0,0,0,6,0
14,3,7,4,2,1.3333333333333333,11.094737505048093,0.4719985411459934,0.9439970822919866,3.1779759241587078,0.0,0.0,1.0,0,0,0,0,0,0,6,0
15,3,7,4,2,1.3333333333333333,11.094737505048093,0.4719985411459934,0.9439970822919866,3.1779759241587078,0.0,0.0,1.0,0,0,0,0,0,0,6,0
16,4,10,6,3,1.5,15.84962500721156,0.4719985411459934,0.9439970822919866,4.23730123221161,0.0,0.0,1.0,1,1,0,0,0,1,8,0
17,4,10,6,3,1.5,15.84962500721156,0.4719985411459934,0.9439970822919866,4.23730123221161,0.0,0.0,1.0,0,0,0,0,0,0,8,0
18,4,10,6,3,1.5,15.84962500721156,0.4719985411459934,0.9439970822919866,4.23730123221161,0.0,0.0,1.0,0,0,0,0,0,0,8,0
19,4,10,6,3,1.5,15.84962500721156,0.4719985411459934,0.9439970822919866,4.23730123221161,0.0,0.0,1.0,1,0,0,1,0,0,8,0
20,4,10,6,3,1.5,15.84962500721156,0.4719985411459934,0.9439970822919866,4.23730123221161,0.0,0.0,1.0,0,0,0,0,0,0,8,0
21,4,10,6,3,1.5,15.84962500721156,0.4719985411459934,0.9439970822919866,4.23730123221161,0.0,0.0,1.0,0,0,0,0,0,0,8,0
22,4,10,6,3,1.5,15.84962500721156,0.4719985411459934,0.9439970822919866,4.23730123221161,0.0,0.0,1.0,0,0,0,0,0,0,8,0
23,4,10,6,3,1.5,15.84962500721156,0.4719985411459934,0.9439970822919866,4.23730123221161,0.0,0.0,1.0,0,0,0,0,0,0,8,0
24,4,10,6,3,1.5,15.84962500721156,0.4719985411459934,0.9439970822919866,4.23730123221161,0.0,0.0,1.0,0,0,0,0,0,0,8,0
25,5,13,8,4,1.6,20.604512509375027,0.7380545307746392,1.4761090615492782,3.387283589162548,0.0,0.0,1.0,2,1,0,1,0,1,10,0
26,5,13,8,4,1.6,20.604512509375027,0.7380545307746392,1.4761090615492782,3.387283589162548,0.0,0.0,1.0,1,0,0,1,0,0,10,0
27,5,13,8,4,1.6,20.604512509375027,0.7380545307746392,1.4761090615492782,3.387283589162548,0.0,0.0,1.0,0,0,0,0,0,0,10,0
28,5,13,8,4,1.6,20.604512509375027,0.7380545307746392,1.4761090615492782,3.387283589162548,0.0,0.0,1.0,0,0,0,0,0,0,10,0
29,5,13,8,4,1.6,20.604512509375027,0.7380545307746392,1.4761090615492782,3.387283589162548,0.0,0.0,1.0,0,0,0,0,0,0,10,0
30,6,16,10,5,1.6666666666666667,25.359400011538497,0.8916888523999531,1.783377704799906,3.364402270955382,0.0,0.0,1.0,1,1,0,0,0,1,12,0
31,6,16,10,5,1.6666666666666667,25.359400011538497,0.8916888523999531,1.783377704799906,3.364402270955382,0.0,0.0,1.0,2,0,0,2,0,0,12,0
32,6,16,10,5,1.6666666666666667,25.359400011538497,0.8916888523999531,1.783377704799906,3.364402270955382,0.0,0.0,1.0,0,0,0,0,0,0,12,0
33,6,16,10,5,1.6666666666666667,25.359400011538497,0.8916888523999531,1.783377704799906,3.364402270955382,0.0,0.0,1.0,0,0,0,0,0,0,12,0
34,6,16,10,5,1.6666666666666667,25.359400011538497,0.8916888523999531,1.783377704799906,3.364402270955382,0.0,0.0,1.0,0,0,0,0,0,0,12,0
35,6,16,10,5,1.6666666666666667,25.359400011538497,0.8916888523999531,1.783377704799906,3.364402270955382,0.0,0.0,1.0,0,0,0,0,0,0,12,0
36,7,19,12,6,1.7142857142857142,30.114287513701967,1.4117602943554242,2.823520588710848,2.4791744136691536,0.0,0.0,1.0,1,1,0,0,0,1,14,0
37,7,19,12,6,1.7142857142857142,30.114287513701967,1.4117602943554242,2.823520588710848,2.4791744136691536,0.0,0.0,1.0,0,0,0,0,0,0,14,0
