step,mean_local_activity,max_local_activity,mean_bond_entropy,max_bond_entropy,mean_bond_rank,max_bond_rank,largest_cluster,n_clusters,mean_active_path,step_truncation_loss,total_truncation_loss,mean_bond_persistence,max_bond_persistence
0,0.5143001094215398,0.97450715280015,0.0,0.0,0.0,0,48,1,47.0,0.0,0.0,0.0,0.0
10,0.9815231997035809,1.0,4.246401134541044,4.888545115900829,26.4468085106383,37,4,8,1.5,0.00019476809377997196,0.00033056011663231533,0.06704064845235871,0.2625758731050717
20,0.9844641478453954,1.0,4.393267285684569,5.052907970170029,31.78723404255319,48,5,5,2.4,0.006992120983481244,0.030944123287515616,0.11647804010380917,0.45620565707325267
30,0.9853036097371709,1.0,4.508032808678859,5.1868609118132625,36.61702127659574,48,4,5,2.4,0.020314865604539323,0.1719828165297992,0.15293436547834263,0.598992931456842
40,0.984328395316814,1.0,4.587778344098146,5.264650349888804,38.87234042553192,48,4,4,3.0,0.032522033525520126,0.4428731106461424,0.1798181393874554,0.7042877126008669
50,0.9889933245079986,0.9999999999999999,4.643490772613351,5.310490550048268,39.91489361702128,48,4,5,2.4,0.04372620033878466,0.8316846827929154,0.19964288289002358,0.7819346246525922
60,0.9883460206261844,1.0,4.680995923216598,5.323693687711923,40.255319148936174,48,4,5,2.4,0.052569286435804684,1.319781212616173,0.21426212705832073,0.8391933309784231
70,0.9890575006067621,1.0,4.709682961010353,5.3372543835183635,40.40425531914894,48,4,5,2.4,0.060097916041253314,1.8855233628256203,0.2250427104249911,0.881417282497882
80,0.9903506350994498,1.0,4.731525017695867,5.358916728815009,40.42553191489362,48,4,5,2.4,0.06563061015589346,2.517350766148945,0.23299257270157597,0.9125542430811727
90,0.9890672369430638,1.0,4.748057021030194,5.367890945866306,40.42553191489362,48,5,4,3.0,0.07038103722865362,3.1976204917978355,0.23885499294982152,0.9355153890534678
100,0.9894919808402977,1.0,4.7613037212712745,5.387752741466814,40.42553191489362,48,4,5,2.4,0.0743960061715298,3.924930536829002,0.24317808308287506,0.9524474920745943
110,0.9894311840350424,1.0,4.772433478595421,5.390509162282277,40.42553191489362,48,4,5,2.4,0.07878765367859446,4.698508698900506,0.24636603404973023,0.9626629161732079
120,0.9882163028368378,0.9999999999999999,4.780850179514066,5.3919527135240575,40.42553191489362,48,4,5,2.4,0.08150132791653972,5.497603317202298,0.24871690600804722,0.9724667335582251
130,0.9904033927417745,1.0,4.787920071157167,5.404477771233328,40.42553191489362,48,4,5,2.4,0.08294195871708385,6.322545097134871,0.2504504957093509,0.9796963050336087
