step,mean_local_activity,max_local_activity,mean_bond_entropy,max_bond_entropy,mean_bond_rank,max_bond_rank,largest_cluster,n_clusters,mean_active_path,step_truncation_loss,total_truncation_loss,mean_bond_persistence,max_bond_persistence
360,0.9855839327977257,1.0,4.820654447257788,5.433256184165296,40.42553191489362,48,6,5,2.4,0.09065707752741764,27.255453134166764,0.25531473416981687,0.9999810543664412
370,0.9854342459010633,1.0,4.819577302056303,5.43163976881848,40.42553191489362,48,5,5,2.4,0.09202761180213259,28.171207556290963,0.2553158933809466,0.9999860290327144
380,0.9849318950153342,1.0,4.820776699759914,5.434450481826737,40.42553191489362,48,5,5,2.4,0.09142333498759657,29.087547501121232,0.2553167482112019,0.9999896974716477
390,0.9853372198996709,0.9999999999999999,4.8197007193689885,5.428231680996786,40.42553191489362,48,6,5,2.4,0.09102265469980807,29.999114830993943,0.25531737858365655,0.9999924026670249
400,0.9864601122533951,1.0,4.818325496824087,5.424491754923203,40.42553191489362,48,5,5,2.4,0.09108335991872643,30.910239217571895,0.2553178434355136,0.9999943975433642
410,0.9849203819847362,1.0,4.81800027416777,5.435865199675121,40.42553191489362,48,6,5,2.4,0.09110191046595009,31.82139644344847,0.2553181862284883,0.9999958686133068
420,0.9829691630083581,1.0,4.817281246051887,5.435205645715856,40.42553191489362,48,4,6,2.0,0.0904082439590592,32.73219036477045,0.25531843901229845,0.999996953415775
430,0.9856333611159652,1.0,4.81786388608079,5.438111579004848,40.42553191489362,48,4,6,2.0,0.08977131215861182,33.63179579357977,0.2553186254211789,0.999997753375288
440,0.9841236000317727,1.0,4.818269386005423,5.428221342567818,40.42553191489362,48,6,5,2.4,0.08904106546589448,34.525463673400694,0.2553187628835848,0.9999983432847332
450,0.9843461242192726,1.0,4.818283541457483,5.428340115603941,40.42553191489362,48,4,6,2.0,0.0892766349741462,35.417658948242426,0.2553188642516795,0.9999987782981908
460,0.9872706548299489,1.0,4.817009747698813,5.430461015789764,40.42553191489362,48,6,5,2.4,0.08909920973120286,36.3106407085603,0.25531893900295827,0.99999909908761
470,0.9845419365707065,1.0,4.816296120622865,5.428200476421064,40.42553191489362,48,6,5,2.4,0.08896353395002657,37.19953711601723,0.25531899412635467,0.9999993356454674
480,0.9864822699914381,1.0,4.814138499082016,5.431011792895594,40.42553191489362,48,6,5,2.4,0.08894150843972698,38.08463648021626,0.25531903477567713,0.9999995100889388
490,0.9871237047943172,0.9999999999999999,4.8147877912997155,5.430365419196989,40.42553191489362,48,6,5,2.4,0.08849561794244197,38.97490560287636,0.25531906475146826,0.9999996387277633
500,0.9839604769097722,1.0,4.814904761547083,5.43416338700969,40.42553191489362,48,6,5,2.4,0.08819159679522799,39.86094695221347,0.2553190868563399,0.9999997335891363
510,0.9845186367009013,1.0,4.8150244672939015,5.4343818444093355,40.42553191489362,48,6,5,2.4,0.08831125499923927,40.74524036636882,0.25531910315700557,0.9999998035422014
520,0.9860907297630187,1.0,4.815665044144274,5.4323602804290605,40.42553191489362,48,6,5,2.4,0.08850265208238288,41.62681451202976,0.2553191151775097,0.9999998551272793
530,0.9836348536731429,1.0,4.815946019845645,5.437284471163419,40.42553191489362,48,6,5,2.4,0.0890895024387136,42.514690916378,0.2553191240417194,0.9999998931673605
540,0.9850160255387791,1.0,4.817147117678113,5.435805592035368,40.42553191489362,48,6,5,2.4,0.08798257283978662,43.402105820703106,0.25531913057840155,0.9999999212190341
550,0.9849026571656094,1.0,4.816347252357858,5.436711001184364,40.42553191489362,48,6,5,2.4,0.08842377084738597,44.28631659461243,0.2553191353987087,0.9999999419050148
560,0.9834415318556852,1.0,4.816647275663314,5.432341913050907,40.42553191489362,48,6,5,2.4,0.08776701917002223,45.166928107881596,0.2553191389533195,0.9999999571593563
570,0.9832466617019048,1.0,4.814034181113374,5.429442119530346,40.42553191489362,48,6,5,2.4,0.08879620179549934,46.05040106950985,0.25531914157457525,0.9999999684082758
580,0.9843507564929368,1.0,4.81592011843947,5.432578456625754,40.42553191489362,48,6,5,2.4,0.08882717073285451,46.93459769037841,0.25531914350755247,0.9999999767035004
590,0.9807686466088672,0.9999999999999999,4.8171482975848585,5.4340407198481575,40.42553191489362,48,6,5,2.4,0.08906226701435471,47.82843648858968,0.2553191449329765,0.9999999828205991
600,0.9821431976314994,1.0,4.81709530615535,5.433641224698746,40.42553191489362,48,6,5,2.4,0.08822568583028573,48.71754785367871,0.25531914598411853,0.9999999873314954
