seed,label,spatial_dim,energy_gamma,energy_total,energy_cost,bandwidth,no_signaling,spatial_exclusion,exclusion_radius,interaction_rate,spawn_rate,nsteps,max_subsystems,siteN_final,totalN_final,R_final,E_final,modifier_final,fit_type,alpha_site,power_r2,exp_rate,exp_r2,frontier_speed,frontier_r2,fit_t_start,fit_t_end,saturated,sat_t_index
0,v2_dim2,2,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,4121.0,10501.0,10.900317788377723,0.0,1.0,power_law,2.3887546411905904,0.9992811088627114,0.009610068035619037,0.9337196686083935,0.020282465819645403,0.9839956480134804,71,500,0,-1
1,v2_dim2,2,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,3901.0,10059.0,10.10632382544935,0.0,1.0,power_law,2.596854939648857,0.9994598358091651,0.010465735344441774,0.9371917448226361,0.020834455852115186,0.99288767884913,71,500,0,-1
2,v2_dim2,2,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,4338.0,11102.0,10.607903099122622,0.0,1.0,power_law,2.306676910036746,0.9995543912125109,0.009304638295236244,0.9389681869232176,0.02024467406944514,0.9881977982776646,71,500,0,-1
3,v2_dim2,2,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,4398.0,11200.0,10.626914971356019,0.0,1.0,power_law,2.731536890166011,0.9926133763074589,0.010846252491555188,0.9035337854256965,0.02199216944307021,0.975578662686108,71,500,0,-1
4,v2_dim2,2,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,3222.0,8320.0,8.959272374879664,0.0,1.0,power_law,3.0935129061432733,0.9785691080402567,0.012127687909834243,0.8682857129464929,0.018818981206832654,0.9928977314853443,71,500,0,-1
5,v2_dim2,2,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,4275.0,11093.0,10.919137022050203,0.0,1.0,power_law,1.893874684205261,0.9944339103794395,0.00779671715738113,0.9730070790893467,0.02003604851646495,0.9712199369922264,71,500,0,-1
6,v2_dim2,2,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,3948.0,10204.0,11.722247476355912,0.0,1.0,power_law,2.4109497907962107,0.997745876636597,0.009657135270397155,0.9241856737882723,0.022592999801292497,0.986601991880232,71,500,0,-1
7,v2_dim2,2,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,3727.0,9739.0,10.202658612023903,0.0,1.0,power_law,1.986068728128596,0.9993944693889695,0.00805045354391733,0.9479994486373055,0.015445305074645544,0.978244769809193,71,500,0,-1
8,v2_dim2,2,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,4017.0,10433.0,9.04874710589531,0.0,1.0,power_law,2.149231027307801,0.999315962079386,0.008701427497922049,0.9456634984585625,0.01606235826540894,0.992598813348636,71,500,0,-1
9,v2_dim2,2,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,4511.0,11649.0,9.930968488640575,0.0,1.0,power_law,2.0983146076239554,0.9992419881019735,0.008455935701283111,0.9368537590162078,0.017637472994996527,0.9836921269129603,71,500,0,-1
