t,captures_total,captures_in,captures_out,M_total,M_in,M_out,G_total,G_in,G_out,frac_M_in_cum,frac_M_out_cum,delta_cum,frac_M_in_roll,frac_M_out_roll,delta_roll,locked_like,mean_edge_mem,mean_theta_step
0,14,4,10,1,0,1,13,4,9,0.0,0.09999999999999,-0.09999999999999,0.0,0.09999999999999,-0.09999999999999,0.37337662337662336,4.105002154301027e-18,2.4005860551468058e-18
1,9,3,6,1,1,0,8,2,6,0.14285714285712245,0.0624999999999961,0.08035714285712635,0.14285714285712245,0.0624999999999961,0.08035714285712635,0.44372294372294374,0.022194887323581127,0.002520136127559389
2,14,0,14,0,0,0,14,0,14,0.14285714285712245,0.03333333333333222,0.10952380952379023,0.14285714285712245,0.03333333333333222,0.10952380952379023,0.1645021645021645,0.051919034589492555,0.003641025614317129
3,13,1,12,0,0,0,13,1,12,0.12499999999998437,0.023809523809523243,0.10119047619046113,0.12499999999998437,0.023809523809523243,0.10119047619046113,0.15800865800865802,0.09670468888595392,0.005404528470108776
4,16,1,15,0,0,0,16,1,15,0.11111111111109877,0.017543859649122497,0.09356725146197627,0.11111111111109877,0.017543859649122497,0.09356725146197627,0.15692640692640691,0.14582415183039255,0.006175679339841954
5,11,2,9,0,0,0,11,2,9,0.09090909090908264,0.015151515151514923,0.07575757575756772,0.09090909090908264,0.015151515151514923,0.07575757575756772,0.15043290043290045,0.20483659406829904,0.007368446706103565
6,14,2,12,0,0,0,14,2,12,0.076923076923071,0.012820512820512657,0.06410256410255835,0.076923076923071,0.012820512820512657,0.06410256410255835,0.18722943722943722,0.2660994961933839,0.007856621661695847
7,20,5,15,0,0,0,20,5,15,0.05555555555555247,0.010752688172042895,0.044802867383509574,0.05555555555555247,0.010752688172042895,0.044802867383509574,0.17424242424242425,0.3301139752845843,0.008524820799964885
8,14,2,12,0,0,0,14,2,12,0.049999999999997505,0.009523809523809433,0.04047619047618807,0.049999999999997505,0.009523809523809433,0.04047619047618807,0.17424242424242425,0.39626188154578507,0.009190731606599738
9,13,0,13,0,0,0,13,0,13,0.049999999999997505,0.00847457627118637,0.041525423728811135,0.049999999999997505,0.00847457627118637,0.041525423728811135,0.1829004329004329,0.46063370232897866,0.009432936957484412
10,12,3,9,1,0,1,11,3,8,0.04347826086956333,0.01574803149606287,0.02773022937350046,0.04347826086956333,0.01574803149606287,0.02773022937350046,0.18073593073593072,0.523995395556534,0.00976894031231595
11,10,2,8,0,0,0,10,2,8,0.039999999999998405,0.014814814814814706,0.0251851851851837,0.039999999999998405,0.014814814814814706,0.0251851851851837,0.15043290043290045,0.5845283727865226,0.009756446116119198
12,12,2,10,1,0,1,11,2,9,0.03703703703703567,0.02068965517241365,0.016347381864622017,0.03703703703703567,0.02068965517241365,0.016347381864622017,0.15367965367965367,0.6420674154632253,0.009978236204084674
13,16,4,12,0,0,0,16,4,12,0.03225806451612799,0.019108280254776948,0.013149784261351043,0.03225806451612799,0.019108280254776948,0.013149784261351043,0.15043290043290045,0.6994490876849571,0.010420450874415182
14,10,4,6,0,0,0,10,4,6,0.028571428571427755,0.01840490797546001,0.010166520595967746,0.028571428571427755,0.01840490797546001,0.010166520595967746,0.15043290043290045,0.7567934050564268,0.01094311680088994
15,15,5,10,0,0,0,15,5,10,0.024999999999999373,0.017341040462427647,0.007658959537571727,0.024999999999999373,0.017341040462427647,0.007658959537571727,0.15151515151515152,0.8126887953529699,0.011270405929011048
16,11,4,7,1,0,1,10,4,6,0.02272727272727221,0.022222222222222098,0.0005050505050501128,0.02272727272727221,0.022222222222222098,0.0005050505050501128,0.15043290043290045,0.865122168129734,0.011538522788454172
17,15,4,11,1,1,0,14,3,11,0.0416666666666658,0.02094240837696324,0.020724258289702556,0.0416666666666658,0.02094240837696324,0.020724258289702556,0.15043290043290045,0.915301106568186,0.011912970208409885
18,11,0,11,1,0,1,10,0,10,0.0416666666666658,0.024752475247524632,0.016914191419141165,0.0416666666666658,0.024752475247524632,0.016914191419141165,0.15043290043290045,0.9638477352320881,0.012271316941140854
19,18,3,15,0,0,0,18,3,15,0.03921568627450903,0.023041474654377773,0.01617421162013126,0.03921568627450903,0.023041474654377773,0.01617421162013126,0.1525974025974026,1.0109564159047828,0.012681474445073919
20,15,4,11,2,1,1,13,3,10,0.05454545454545355,0.026315789473684095,0.028229665071769456,0.05454545454545355,0.026315789473684095,0.028229665071769456,0.15043290043290045,1.0586368666573076,0.013211127220411074
21,8,1,7,0,0,0,8,1,7,0.05357142857142761,0.025531914893616912,0.0280395136778107,0.05357142857142761,0.025531914893616912,0.0280395136778107,0.15043290043290045,1.1057396965066602,0.013491881996139184
22,10,1,9,0,0,0,10,1,9,0.052631578947367495,0.02459016393442613,0.028041415012941367,0.052631578947367495,0.02459016393442613,0.028041415012941367,0.15043290043290045,1.15118080020405,0.013854023683012967
23,21,4,17,0,0,0,21,4,17,0.04918032786885165,0.022988505747126346,0.026191822121725307,0.04918032786885165,0.022988505747126346,0.026191822121725307,0.15151515151515152,1.1944401384421275,0.014175732074094427
24,20,4,16,0,0,0,20,4,16,0.04615384615384545,0.021660649819494504,0.024493196334350945,0.04615384615384545,0.021660649819494504,0.024493196334350945,0.15151515151515152,1.2390935224122352,0.014682363399233683
25,15,2,13,0,0,0,15,2,13,0.04477611940298441,0.02068965517241372,0.024086464230570693,0.04477611940298441,0.02068965517241372,0.024086464230570693,0.15043290043290045,1.2843118535556763,0.015070519389296898
26,14,5,9,0,0,0,14,5,9,0.04166666666666609,0.020066889632106955,0.021599777034559134,0.04166666666666609,0.020066889632106955,0.021599777034559134,0.15043290043290045,1.3288708219755823,0.01547278972292623
27,12,1,11,0,0,0,12,1,11,0.04109589041095835,0.019354838709677354,0.021741051701280992,0.04109589041095835,0.019354838709677354,0.021741051701280992,0.15043290043290045,1.3723854036067291,0.01573416551198545
28,14,1,13,1,0,1,13,1,12,0.040540540540539995,0.021671826625386928,0.018868713915153067,0.040540540540539995,0.021671826625386928,0.018868713915153067,0.15043290043290045,1.4150247021117137,0.016043828396405106
29,17,5,12,0,0,0,17,5,12,0.03797468354430332,0.020895522388059636,0.017079161156243684,0.03797468354430332,0.020895522388059636,0.017079161156243684,0.15043290043290045,1.4569863874083184,0.016346330560563702
30,11,4,7,0,0,0,11,4,7,0.03614457831325258,0.02046783625730988,0.0156767420559427,0.03614457831325258,0.02046783625730988,0.0156767420559427,0.15043290043290045,1.4987664996109111,0.016658038599381836
31,10,1,9,0,0,0,10,1,9,0.03571428571428529,0.019943019943019884,0.015771265771265405,0.03571428571428529,0.019943019943019884,0.015771265771265405,0.15043290043290045,1.5401122051935872,0.016955356208338573
32,9,2,7,0,0,0,9,2,7,0.034883720930232155,0.01955307262569827,0.015330648304533886,0.034883720930232155,0.01955307262569827,0.015330648304533886,0.15043290043290045,1.5812632807284404,0.01726012696639012
33,9,1,8,0,0,0,9,1,8,0.03448275862068926,0.019125683060109235,0.015357075560580025,0.03448275862068926,0.019125683060109235,0.015357075560580025,0.15043290043290045,1.6221514394677765,0.017545937538694246
34,13,2,11,0,0,0,13,2,11,0.03370786516853895,0.01856763925729438,0.01514022591124457,0.03370786516853895,0.01856763925729438,0.01514022591124457,0.15043290043290045,1.6627002468518668,0.017805235892354367
35,9,0,9,0,0,0,9,0,9,0.03370786516853895,0.01813471502590669,0.015573150142632261,0.03370786516853895,0.01813471502590669,0.015573150142632261,0.15043290043290045,1.7029978583876368,0.018042807663125833
36,9,1,8,0,0,0,9,1,8,0.033333333333332965,0.017766497461928887,0.015566835871404078,0.033333333333332965,0.017766497461928887,0.015566835871404078,0.15043290043290045,1.7431945402934323,0.01829133604567787
37,15,5,10,2,0,2,13,5,8,0.03157894736842072,0.02227722772277222,0.0093017196456485,0.03157894736842072,0.02227722772277222,0.0093017196456485,0.15043290043290045,1.7836527789109073,0.01856082338252421
38,7,2,5,0,0,0,7,2,5,0.030927835051546074,0.022004889975550068,0.008922945075996006,0.030927835051546074,0.022004889975550068,0.008922945075996006,0.15043290043290045,1.8242303633511467,0.018795352863537562
39,12,5,7,2,0,2,10,5,5,0.029411764705882065,0.026442307692307626,0.0029694570135744384,0.029411764705882065,0.026442307692307626,0.0029694570135744384,0.15043290043290045,1.8644770876125163,0.018975130187804362
40,14,2,12,0,0,0,14,2,12,0.02884615384615357,0.02570093457943919,0.003145219266714381,0.02884615384615357,0.02570093457943919,0.003145219266714381,0.15043290043290045,1.9047200784396687,0.019165979077630933
41,14,4,10,0,0,0,14,4,10,0.027777777777777523,0.025114155251141492,0.002663622526636031,0.027777777777777523,0.025114155251141492,0.002663622526636031,0.15043290043290045,1.9462078842536588,0.019459996017648015
42,16,4,12,1,0,1,15,4,11,0.02678571428571405,0.026666666666666606,0.00011904761904744238,0.02678571428571405,0.026666666666666606,0.00011904761904744238,0.15043290043290045,1.9876034582636508,0.019613215083692518
43,14,1,13,1,0,1,13,1,12,0.02654867256637145,0.02807775377969756,-0.0015290812133261118,0.02654867256637145,0.02807775377969756,-0.0015290812133261118,0.15043290043290045,2.0287855170191254,0.019742285971549006
44,12,2,10,0,0,0,12,2,10,0.026086956521738904,0.02748414376321347,-0.0013971872414745672,0.026086956521738904,0.02748414376321347,-0.0013971872414745672,0.15043290043290045,2.0698566619689154,0.019867290538259714
45,8,1,7,0,0,0,8,1,7,0.02586206896551702,0.027083333333333275,-0.0012212643678162563,0.02586206896551702,0.027083333333333275,-0.0012212643678162563,0.15043290043290045,2.1107828788535543,0.0199733000734615
46,19,1,18,0,0,0,19,1,18,0.02564102564102542,0.026104417670682677,-0.0004633920296572558,0.02564102564102542,0.026104417670682677,-0.0004633920296572558,0.15043290043290045,2.151283512520017,0.020039012074887574
