t,site_subsystems,total_subsystems,interface_subsystems,n_links,mean_degree,frontier_radius,volume_proxy,density,energy_remaining,energy_density,creation_rate_modifier,memory_total,memory_bound,memory_free,birth_attempts,births_accepted,births_reject_exclusion,births_reject_memory,births_reject_energy,deaths_attempted,deaths_executed,links_attempted_random,links_added_random
0.0,2.0,4.0,2.0,1.0,1.0,0.05227484414807474,0.19999999999999998,10.0,0.0,0.0,1.0,inf,2.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,4.0,2.0,1.0,1.0,0.05227484414807474,0.19999999999999998,10.0,0.0,0.0,1.0,inf,2.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,38.0,112.0,74.0,37.0,1.9473684210526316,33.07261671657252,66.14523343314502,0.574493399262212,0.0,0.0,1.0,inf,38.0,inf,220.0,36.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,38.0,112.0,74.0,37.0,1.9473684210526316,33.07261671657252,66.14523343314502,0.574493399262212,0.0,0.0,1.0,inf,38.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,57.0,169.0,112.0,56.0,1.9649122807017543,50.91422816656623,101.82845633313245,0.559764942458954,0.0,0.0,1.0,inf,57.0,inf,220.0,19.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,57.0,169.0,112.0,56.0,1.9649122807017543,50.91422816656623,101.82845633313245,0.559764942458954,0.0,0.0,1.0,inf,57.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,70.0,208.0,138.0,69.0,1.9714285714285715,62.991032266950036,125.98206453390006,0.5556346473522344,0.0,0.0,1.0,inf,70.0,inf,220.0,13.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,70.0,208.0,138.0,69.0,1.9714285714285715,62.991032266950036,125.98206453390006,0.5556346473522344,0.0,0.0,1.0,inf,70.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,85.0,253.0,168.0,84.0,1.9764705882352942,76.77841778556093,153.55683557112184,0.5535409718744246,0.0,0.0,1.0,inf,85.0,inf,220.0,15.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,85.0,253.0,168.0,84.0,1.9764705882352942,76.77841778556093,153.55683557112184,0.5535409718744246,0.0,0.0,1.0,inf,85.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,89.0,265.0,176.0,88.0,1.9775280898876404,80.46342871155665,160.92685742311326,0.5530462809324536,0.0,0.0,1.0,inf,89.0,inf,220.0,4.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,89.0,265.0,176.0,88.0,1.9775280898876404,80.46342871155665,160.92685742311326,0.5530462809324536,0.0,0.0,1.0,inf,89.0,inf,149.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,94.0,280.0,186.0,93.0,1.9787234042553192,85.00446649138757,170.00893298277512,0.5529121226207793,0.0,0.0,1.0,inf,94.0,inf,220.0,5.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,94.0,280.0,186.0,93.0,1.9787234042553192,85.00446649138757,170.00893298277512,0.5529121226207793,0.0,0.0,1.0,inf,94.0,inf,137.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,100.0,298.0,198.0,99.0,1.98,90.50221627854003,181.00443255708004,0.552472658195621,0.0,0.0,1.0,inf,100.0,inf,220.0,6.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,100.0,298.0,198.0,99.0,1.98,90.50221627854003,181.00443255708004,0.552472658195621,0.0,0.0,1.0,inf,100.0,inf,126.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,109.0,325.0,216.0,108.0,1.981651376146789,98.76476324357239,197.52952648714475,0.5518162369872017,0.0,0.0,1.0,inf,109.0,inf,220.0,9.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,109.0,325.0,216.0,108.0,1.981651376146789,98.76476324357239,197.52952648714475,0.5518162369872017,0.0,0.0,1.0,inf,109.0,inf,102.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,111.0,331.0,220.0,110.0,1.981981981981982,100.5963749851711,201.19274997034216,0.5517097411132484,0.0,0.0,1.0,inf,111.0,inf,220.0,2.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,111.0,331.0,220.0,110.0,1.981981981981982,100.5963749851711,201.19274997034216,0.5517097411132484,0.0,0.0,1.0,inf,111.0,inf,205.0,0.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0,116.0,346.0,230.0,115.0,1.9827586206896552,105.18030206252385,210.36060412504767,0.5514340505080716,0.0,0.0,1.0,inf,116.0,inf,220.0,5.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,116.0,346.0,230.0,115.0,1.9827586206896552,105.18030206252385,210.36060412504767,0.5514340505080716,0.0,0.0,1.0,inf,116.0,inf,153.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,124.0,370.0,246.0,123.0,1.9838709677419355,112.69366379663776,225.3873275932755,0.5501640279606367,0.0,0.0,1.0,inf,124.0,inf,220.0,8.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,124.0,370.0,246.0,123.0,1.9838709677419355,112.69366379663776,225.3873275932755,0.5501640279606367,0.0,0.0,1.0,inf,124.0,inf,126.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,126.0,376.0,250.0,125.0,1.9841269841269842,114.62750969761427,229.25501939522852,0.5496062870613966,0.0,0.0,1.0,inf,126.0,inf,220.0,2.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,126.0,376.0,250.0,125.0,1.9841269841269842,114.62750969761427,229.25501939522852,0.5496062870613966,0.0,0.0,1.0,inf,126.0,inf,195.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,130.0,388.0,258.0,129.0,1.9846153846153847,118.23820442199238,236.47640884398473,0.5497377122542803,0.0,0.0,1.0,inf,130.0,inf,220.0,4.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,130.0,388.0,258.0,129.0,1.9846153846153847,118.23820442199238,236.47640884398473,0.5497377122542803,0.0,0.0,1.0,inf,130.0,inf,174.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0
28.0,133.0,397.0,264.0,132.0,1.9849624060150375,121.00159373831704,242.00318747663405,0.5495795381324944,0.0,0.0,1.0,inf,133.0,inf,220.0,3.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,133.0,397.0,264.0,132.0,1.9849624060150375,121.00159373831704,242.00318747663405,0.5495795381324944,0.0,0.0,1.0,inf,133.0,inf,191.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,138.0,412.0,274.0,137.0,1.9855072463768115,125.52326641799011,251.0465328359802,0.5496988882541608,0.0,0.0,1.0,inf,138.0,inf,220.0,5.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,138.0,412.0,274.0,137.0,1.9855072463768115,125.52326641799011,251.0465328359802,0.5496988882541608,0.0,0.0,1.0,inf,138.0,inf,159.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0
32.0,140.0,418.0,278.0,139.0,1.9857142857142858,127.46567962812149,254.93135925624296,0.5491674323961051,0.0,0.0,1.0,inf,140.0,inf,220.0,2.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0
33.0,140.0,418.0,278.0,139.0,1.9857142857142858,127.46567962812149,254.93135925624296,0.5491674323961051,0.0,0.0,1.0,inf,140.0,inf,200.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0
34.0,143.0,427.0,284.0,142.0,1.986013986013986,130.14468154944706,260.28936309889406,0.5493885662383704,0.0,0.0,1.0,inf,143.0,inf,220.0,3.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,143.0,427.0,284.0,142.0,1.986013986013986,130.14468154944706,260.28936309889406,0.5493885662383704,0.0,0.0,1.0,inf,143.0,inf,191.0,0.0,191.0,0.0,0.0,0.0,0.0,0.0,0.0
36.0,147.0,439.0,292.0,146.0,1.9863945578231292,133.6783550699469,267.3567101398937,0.5498272324007976,0.0,0.0,1.0,inf,147.0,inf,220.0,4.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0
37.0,147.0,439.0,292.0,146.0,1.9863945578231292,133.6783550699469,267.3567101398937,0.5498272324007976,0.0,0.0,1.0,inf,147.0,inf,183.0,0.0,183.0,0.0,0.0,0.0,0.0,0.0,0.0
38.0,154.0,460.0,306.0,153.0,1.9870129870129871,140.23222343441455,280.46444686882904,0.5490892044224933,0.0,0.0,1.0,inf,154.0,inf,220.0,7.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0
39.0,154.0,460.0,306.0,153.0,1.9870129870129871,140.23222343441455,280.46444686882904,0.5490892044224933,0.0,0.0,1.0,inf,154.0,inf,155.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,158.0,472.0,314.0,157.0,1.9873417721518987,143.9580847080215,287.9161694160429,0.5487708464601297,0.0,0.0,1.0,inf,158.0,inf,220.0,4.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0
41.0,158.0,472.0,314.0,157.0,1.9873417721518987,143.9580847080215,287.9161694160429,0.5487708464601297,0.0,0.0,1.0,inf,158.0,inf,182.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0
42.0,162.0,484.0,322.0,161.0,1.9876543209876543,147.57235056228185,295.14470112456365,0.5488833083661872,0.0,0.0,1.0,inf,162.0,inf,220.0,4.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0
43.0,162.0,484.0,322.0,161.0,1.9876543209876543,147.57235056228185,295.14470112456365,0.5488833083661872,0.0,0.0,1.0,inf,162.0,inf,185.0,0.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0
44.0,166.0,496.0,330.0,165.0,1.9879518072289157,151.3113554019777,302.62271080395533,0.5485378131700694,0.0,0.0,1.0,inf,166.0,inf,220.0,4.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0
45.0,166.0,496.0,330.0,165.0,1.9879518072289157,151.3113554019777,302.62271080395533,0.5485378131700694,0.0,0.0,1.0,inf,166.0,inf,186.0,0.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0
46.0,172.0,514.0,342.0,171.0,1.9883720930232558,156.9465538128043,313.89310762560854,0.547957237102353,0.0,0.0,1.0,inf,172.0,inf,220.0,6.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0
47.0,172.0,514.0,342.0,171.0,1.9883720930232558,156.9465538128043,313.89310762560854,0.547957237102353,0.0,0.0,1.0,inf,172.0,inf,165.0,0.0,165.0,0.0,0.0,0.0,0.0,0.0,0.0
48.0,179.0,535.0,356.0,178.0,1.988826815642458,163.4078885269773,326.81577705395455,0.5477091761406874,0.0,0.0,1.0,inf,179.0,inf,220.0,7.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0
49.0,179.0,535.0,356.0,178.0,1.988826815642458,163.4078885269773,326.81577705395455,0.5477091761406874,0.0,0.0,1.0,inf,179.0,inf,160.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,183.0,547.0,364.0,182.0,1.989071038251366,167.12816065143068,334.2563213028613,0.5474840364625095,0.0,0.0,1.0,inf,183.0,inf,220.0,4.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0
51.0,183.0,547.0,364.0,182.0,1.989071038251366,167.12816065143068,334.2563213028613,0.5474840364625095,0.0,0.0,1.0,inf,183.0,inf,181.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,187.0,559.0,372.0,186.0,1.9893048128342246,170.9710748037171,341.94214960743415,0.5468761315757209,0.0,0.0,1.0,inf,187.0,inf,220.0,4.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0
53.0,187.0,559.0,372.0,186.0,1.9893048128342246,170.9710748037171,341.94214960743415,0.5468761315757209,0.0,0.0,1.0,inf,187.0,inf,188.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0
54.0,190.0,568.0,378.0,189.0,1.9894736842105263,173.7685026215187,347.53700524303736,0.5467043714298292,0.0,0.0,1.0,inf,190.0,inf,220.0,3.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,190.0,568.0,378.0,189.0,1.9894736842105263,173.7685026215187,347.53700524303736,0.5467043714298292,0.0,0.0,1.0,inf,190.0,inf,201.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0
56.0,194.0,580.0,386.0,193.0,1.9896907216494846,177.53544609540273,355.0708921908054,0.5463697652122655,0.0,0.0,1.0,inf,194.0,inf,220.0,4.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0
57.0,194.0,580.0,386.0,193.0,1.9896907216494846,177.53544609540273,355.0708921908054,0.5463697652122655,0.0,0.0,1.0,inf,194.0,inf,182.0,0.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0
58.0,195.0,583.0,388.0,194.0,1.9897435897435898,178.43245585466642,356.8649117093328,0.5464252539314594,0.0,0.0,1.0,inf,195.0,inf,220.0,1.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0
59.0,195.0,583.0,388.0,194.0,1.9897435897435898,178.43245585466642,356.8649117093328,0.5464252539314594,0.0,0.0,1.0,inf,195.0,inf,211.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0
60.0,196.0,586.0,390.0,195.0,1.989795918367347,179.34617389157023,358.6923477831404,0.546429276262393,0.0,0.0,1.0,inf,196.0,inf,220.0,1.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0
61.0,196.0,586.0,390.0,195.0,1.989795918367347,179.34617389157023,358.6923477831404,0.546429276262393,0.0,0.0,1.0,inf,196.0,inf,209.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0
62.0,203.0,607.0,404.0,202.0,1.9901477832512315,185.59668932983325,371.19337865966645,0.5468847551457087,0.0,0.0,1.0,inf,203.0,inf,220.0,7.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0
63.0,203.0,607.0,404.0,202.0,1.9901477832512315,185.59668932983325,371.19337865966645,0.5468847551457087,0.0,0.0,1.0,inf,203.0,inf,163.0,0.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0
64.0,206.0,616.0,410.0,205.0,1.9902912621359223,188.362883326767,376.7257666535339,0.5468168578695959,0.0,0.0,1.0,inf,206.0,inf,220.0,3.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0
65.0,206.0,616.0,410.0,205.0,1.9902912621359223,188.362883326767,376.7257666535339,0.5468168578695959,0.0,0.0,1.0,inf,206.0,inf,201.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0
66.0,208.0,622.0,414.0,207.0,1.9903846153846154,190.14074880978703,380.281497619574,0.5469632398683751,0.0,0.0,1.0,inf,208.0,inf,220.0,2.0,218.0,0.0,0.0,0.0,0.0,0.0,0.0
67.0,208.0,622.0,414.0,207.0,1.9903846153846154,190.14074880978703,380.281497619574,0.5469632398683751,0.0,0.0,1.0,inf,208.0,inf,209.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0
68.0,214.0,640.0,426.0,213.0,1.9906542056074767,195.5942892798878,391.1885785597755,0.5470507364705683,0.0,0.0,1.0,inf,214.0,inf,220.0,6.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0
69.0,214.0,640.0,426.0,213.0,1.9906542056074767,195.5942892798878,391.1885785597755,0.5470507364705683,0.0,0.0,1.0,inf,214.0,inf,185.0,0.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,220.0,658.0,438.0,219.0,1.990909090909091,201.22098103751134,402.4419620750226,0.5466626761922703,0.0,0.0,1.0,inf,220.0,inf,220.0,6.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0
71.0,220.0,658.0,438.0,219.0,1.990909090909091,201.22098103751134,402.4419620750226,0.5466626761922703,0.0,0.0,1.0,inf,220.0,inf,187.0,0.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0
72.0,221.0,661.0,440.0,220.0,1.990950226244344,202.12008895937194,404.2401779187438,0.5467046871437483,0.0,0.0,1.0,inf,221.0,inf,220.0,1.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0
73.0,221.0,661.0,440.0,220.0,1.990950226244344,202.12008895937194,404.2401779187438,0.5467046871437483,0.0,0.0,1.0,inf,221.0,inf,212.0,0.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0
74.0,225.0,673.0,448.0,224.0,1.991111111111111,205.79834657486322,411.5966931497264,0.546651622194039,0.0,0.0,1.0,inf,225.0,inf,220.0,4.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0
75.0,225.0,673.0,448.0,224.0,1.991111111111111,205.79834657486322,411.5966931497264,0.546651622194039,0.0,0.0,1.0,inf,225.0,inf,187.0,0.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0
76.0,226.0,676.0,450.0,225.0,1.991150442477876,206.69719118334265,413.39438236668525,0.5466934473229865,0.0,0.0,1.0,inf,226.0,inf,220.0,1.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0
77.0,226.0,676.0,450.0,225.0,1.991150442477876,206.69719118334265,413.39438236668525,0.5466934473229865,0.0,0.0,1.0,inf,226.0,inf,214.0,0.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0
78.0,229.0,685.0,456.0,228.0,1.9912663755458515,209.4889968796363,418.9779937592725,0.5465680857013554,0.0,0.0,1.0,inf,229.0,inf,220.0,3.0,217.0,0.0,0.0,0.0,0.0,0.0,0.0
79.0,229.0,685.0,456.0,228.0,1.9912663755458515,209.4889968796363,418.9779937592725,0.5465680857013554,0.0,0.0,1.0,inf,229.0,inf,200.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,237.0,709.0,472.0,236.0,1.9915611814345993,217.0382173021395,434.0764346042789,0.5459867919714612,0.0,0.0,1.0,inf,237.0,inf,220.0,8.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0
81.0,237.0,709.0,472.0,236.0,1.9915611814345993,217.0382173021395,434.0764346042789,0.5459867919714612,0.0,0.0,1.0,inf,237.0,inf,164.0,0.0,164.0,0.0,0.0,0.0,0.0,0.0,0.0
82.0,241.0,721.0,480.0,240.0,1.991701244813278,220.77780179972814,441.5556035994562,0.5457976255661243,0.0,0.0,1.0,inf,241.0,inf,220.0,4.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0
83.0,241.0,721.0,480.0,240.0,1.991701244813278,220.77780179972814,441.5556035994562,0.5457976255661243,0.0,0.0,1.0,inf,241.0,inf,204.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0
84.0,246.0,736.0,490.0,245.0,1.991869918699187,225.38303172392784,450.76606344785563,0.5457376230108706,0.0,0.0,1.0,inf,246.0,inf,220.0,5.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
85.0,246.0,736.0,490.0,245.0,1.991869918699187,225.38303172392784,450.76606344785563,0.5457376230108706,0.0,0.0,1.0,inf,246.0,inf,179.0,0.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0
86.0,252.0,754.0,502.0,251.0,1.992063492063492,230.77462847879173,461.5492569575834,0.545987229317886,0.0,0.0,1.0,inf,252.0,inf,220.0,6.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0
87.0,252.0,754.0,502.0,251.0,1.992063492063492,230.77462847879173,461.5492569575834,0.545987229317886,0.0,0.0,1.0,inf,252.0,inf,188.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0
88.0,256.0,766.0,510.0,255.0,1.9921875,234.4315166323219,468.8630332646437,0.5460016717835464,0.0,0.0,1.0,inf,256.0,inf,220.0,4.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0
89.0,256.0,766.0,510.0,255.0,1.9921875,234.4315166323219,468.8630332646437,0.5460016717835464,0.0,0.0,1.0,inf,256.0,inf,193.0,0.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0
90.0,261.0,781.0,520.0,260.0,1.9923371647509578,239.02976866726118,478.0595373345223,0.5459571028647111,0.0,0.0,1.0,inf,261.0,inf,220.0,5.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
91.0,261.0,781.0,520.0,260.0,1.9923371647509578,239.02976866726118,478.0595373345223,0.5459571028647111,0.0,0.0,1.0,inf,261.0,inf,198.0,0.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0
92.0,262.0,784.0,522.0,261.0,1.9923664122137406,239.9202045588602,479.84040911772036,0.5460148729068854,0.0,0.0,1.0,inf,262.0,inf,220.0,1.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0
93.0,262.0,784.0,522.0,261.0,1.9923664122137406,239.9202045588602,479.84040911772036,0.5460148729068854,0.0,0.0,1.0,inf,262.0,inf,214.0,0.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0
94.0,266.0,796.0,530.0,265.0,1.9924812030075187,243.5873567063981,487.17471341279617,0.5460053501886316,0.0,0.0,1.0,inf,266.0,inf,220.0,4.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0
95.0,266.0,796.0,530.0,265.0,1.9924812030075187,243.5873567063981,487.17471341279617,0.5460053501886316,0.0,0.0,1.0,inf,266.0,inf,205.0,0.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0
96.0,272.0,814.0,542.0,271.0,1.9926470588235294,249.33432314212337,498.6686462842467,0.5454523801060414,0.0,0.0,1.0,inf,272.0,inf,220.0,6.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0
97.0,272.0,814.0,542.0,271.0,1.9926470588235294,249.33432314212337,498.6686462842467,0.5454523801060414,0.0,0.0,1.0,inf,272.0,inf,188.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0
98.0,273.0,817.0,544.0,272.0,1.9926739926739927,250.25289818338192,500.5057963667638,0.545448228535498,0.0,0.0,1.0,inf,273.0,inf,220.0,1.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0
99.0,273.0,817.0,544.0,272.0,1.9926739926739927,250.25289818338192,500.5057963667638,0.545448228535498,0.0,0.0,1.0,inf,273.0,inf,219.0,0.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0
100.0,277.0,829.0,552.0,276.0,1.9927797833935017,253.9825957134121,507.96519142682416,0.5453129558384391,0.0,0.0,1.0,inf,277.0,inf,220.0,4.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0
101.0,277.0,829.0,552.0,276.0,1.9927797833935017,253.9825957134121,507.96519142682416,0.5453129558384391,0.0,0.0,1.0,inf,277.0,inf,200.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0
102.0,278.0,832.0,554.0,277.0,1.9928057553956835,254.91252774825514,509.82505549651023,0.545285087507636,0.0,0.0,1.0,inf,278.0,inf,220.0,1.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0
