t,site_subsystems,total_subsystems,interface_subsystems,n_links,mean_degree,frontier_radius,volume_proxy,density,energy_remaining,energy_density,creation_rate_modifier,memory_total,memory_bound,memory_free,birth_attempts,births_accepted,births_reject_exclusion,births_reject_memory,births_reject_energy,deaths_attempted,deaths_executed,links_attempted_random,links_added_random
0.0,2.0,4.0,2.0,1.0,1.0,0.13507473233305595,0.27014946466611184,7.403309136562152,0.0,0.0,1.0,inf,2.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,4.0,2.0,1.0,1.0,0.13507473233305595,0.27014946466611184,7.403309136562152,0.0,0.0,1.0,inf,2.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,35.0,103.0,68.0,34.0,1.9428571428571428,30.666858245800046,61.333716491600086,0.5706486089880661,0.0,0.0,1.0,inf,35.0,inf,220.0,33.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,35.0,103.0,68.0,34.0,1.9428571428571428,30.666858245800046,61.333716491600086,0.5706486089880661,0.0,0.0,1.0,inf,35.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,46.0,136.0,90.0,45.0,1.9565217391304348,41.075771663422685,82.15154332684536,0.5599407891460536,0.0,0.0,1.0,inf,46.0,inf,220.0,11.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,46.0,136.0,90.0,45.0,1.9565217391304348,41.075771663422685,82.15154332684536,0.5599407891460536,0.0,0.0,1.0,inf,46.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,58.0,172.0,114.0,57.0,1.9655172413793103,52.2230326612444,104.44606532248879,0.5553105310469914,0.0,0.0,1.0,inf,58.0,inf,220.0,12.0,208.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,58.0,172.0,114.0,57.0,1.9655172413793103,52.2230326612444,104.44606532248879,0.5553105310469914,0.0,0.0,1.0,inf,58.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,69.0,205.0,136.0,68.0,1.9710144927536233,62.41646617908953,124.83293235817905,0.5527387580868529,0.0,0.0,1.0,inf,69.0,inf,220.0,11.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,69.0,205.0,136.0,68.0,1.9710144927536233,62.41646617908953,124.83293235817905,0.5527387580868529,0.0,0.0,1.0,inf,69.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,78.0,232.0,154.0,77.0,1.9743589743589745,70.77017367272929,141.54034734545854,0.5510796141373374,0.0,0.0,1.0,inf,78.0,inf,220.0,9.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0
11.0,78.0,232.0,154.0,77.0,1.9743589743589745,70.77017367272929,141.54034734545854,0.5510796141373374,0.0,0.0,1.0,inf,78.0,inf,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,92.0,274.0,182.0,91.0,1.9782608695652173,83.95611278709494,167.91222557418985,0.5479053099641693,0.0,0.0,1.0,inf,92.0,inf,220.0,14.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,92.0,274.0,182.0,91.0,1.9782608695652173,83.95611278709494,167.91222557418985,0.5479053099641693,0.0,0.0,1.0,inf,92.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,97.0,289.0,192.0,96.0,1.9793814432989691,88.47726232546769,176.95452465093535,0.5481634345962302,0.0,0.0,1.0,inf,97.0,inf,220.0,5.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
15.0,97.0,289.0,192.0,96.0,1.9793814432989691,88.47726232546769,176.95452465093535,0.5481634345962302,0.0,0.0,1.0,inf,97.0,inf,143.0,0.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,102.0,304.0,202.0,101.0,1.9803921568627452,93.15612471975655,186.31224943951307,0.5474680291116053,0.0,0.0,1.0,inf,102.0,inf,220.0,5.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,102.0,304.0,202.0,101.0,1.9803921568627452,93.15612471975655,186.31224943951307,0.5474680291116053,0.0,0.0,1.0,inf,102.0,inf,156.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,108.0,322.0,214.0,107.0,1.9814814814814814,98.7314960813914,197.46299216278277,0.5469379290625148,0.0,0.0,1.0,inf,108.0,inf,220.0,6.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0
19.0,108.0,322.0,214.0,107.0,1.9814814814814814,98.7314960813914,197.46299216278277,0.5469379290625148,0.0,0.0,1.0,inf,108.0,inf,131.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.0
