t,site_subsystems,total_subsystems,interface_subsystems,n_links,mean_degree,frontier_radius,volume_proxy,density,energy_remaining,energy_density,creation_rate_modifier,memory_total,memory_bound,memory_free,birth_attempts,births_accepted,births_reject_exclusion,births_reject_memory,births_reject_energy,deaths_attempted,deaths_executed,links_attempted_random,links_added_random
0.0,2.0,4.0,2.0,1.0,1.0,0.3078331910198034,0.6156663820396067,3.248512600889969,0.0,0.0,1.0,inf,2.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.0,4.0,2.0,1.0,1.0,0.3078331910198034,0.6156663820396067,3.248512600889969,0.0,0.0,1.0,inf,2.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,38.0,112.0,74.0,37.0,1.9473684210526316,33.58084949153728,67.16169898307454,0.5657986706020703,0.0,0.0,1.0,inf,38.0,inf,220.0,36.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,38.0,112.0,74.0,37.0,1.9473684210526316,33.58084949153728,67.16169898307454,0.5657986706020703,0.0,0.0,1.0,inf,38.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,52.0,154.0,102.0,51.0,1.9615384615384615,46.60789993927638,93.21579987855274,0.5578453445418994,0.0,0.0,1.0,inf,52.0,inf,220.0,14.0,206.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,52.0,154.0,102.0,51.0,1.9615384615384615,46.60789993927638,93.21579987855274,0.5578453445418994,0.0,0.0,1.0,inf,52.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,59.0,175.0,116.0,58.0,1.9661016949152543,52.976290665827854,105.9525813316557,0.5568528794528995,0.0,0.0,1.0,inf,59.0,inf,220.0,7.0,213.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,59.0,175.0,116.0,58.0,1.9661016949152543,52.976290665827854,105.9525813316557,0.5568528794528995,0.0,0.0,1.0,inf,59.0,inf,39.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,74.0,220.0,146.0,73.0,1.972972972972973,67.16721786932108,134.33443573864213,0.5508639656921077,0.0,0.0,1.0,inf,74.0,inf,220.0,15.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,74.0,220.0,146.0,73.0,1.972972972972973,67.16721786932108,134.33443573864213,0.5508639656921077,0.0,0.0,1.0,inf,74.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
