N,graph,edges,restart,penalty_power,cost_spatial_target,cost_harmonion_diag,cost_scrambled,cost_final,basin_label,elapsed_sec,probed,eps,threshold,t_max,t_steps,mds_dim,dim95
6,grid2d,[(0, 3), (0, 1), (1, 4), (1, 2), (2, 5), (3, 4), (4, 5)],0,4,16.0,5.853737975931569,534.3146728306762,18.440039782464567,spatial,112.53090691566467,True,0.25,0.01,12.0,241,3,3
6,grid2d,[(0, 3), (0, 1), (1, 4), (1, 2), (2, 5), (3, 4), (4, 5)],1,4,16.0,5.853737975931569,530.3030943056195,17.322194275145822,spatial,112.19335579872131,True,0.25,0.01,12.0,241,3,3
6,grid2d,[(0, 3), (0, 1), (1, 4), (1, 2), (2, 5), (3, 4), (4, 5)],2,4,16.0,5.853737975931569,532.0581287599837,17.14933475761769,spatial,110.51888799667358,True,0.25,0.01,12.0,241,3,2
6,grid2d,[(0, 3), (0, 1), (1, 4), (1, 2), (2, 5), (3, 4), (4, 5)],3,4,16.0,5.853737975931569,541.5103970894415,18.72441944488571,spatial,109.25845718383789,True,0.25,0.01,12.0,241,3,3
6,grid2d,[(0, 3), (0, 1), (1, 4), (1, 2), (2, 5), (3, 4), (4, 5)],4,4,16.0,5.853737975931569,542.2807215662865,16.292771814378913,spatial,123.00929951667786,True,0.25,0.01,12.0,241,3,2
6,grid2d,[(0, 3), (0, 1), (1, 4), (1, 2), (2, 5), (3, 4), (4, 5)],5,4,16.0,5.853737975931569,552.8316430778098,18.612485030505514,spatial,127.76631474494934,True,0.25,0.01,12.0,241,3,3
6,grid2d,[(0, 3), (0, 1), (1, 4), (1, 2), (2, 5), (3, 4), (4, 5)],6,4,16.0,5.853737975931569,540.8861678265025,17.703477641689076,spatial,126.8508129119873,True,0.25,0.01,12.0,241,3,3
6,grid2d,[(0, 3), (0, 1), (1, 4), (1, 2), (2, 5), (3, 4), (4, 5)],7,4,16.0,5.853737975931569,531.8513831839971,19.14625919518197,intermediate,127.16454696655273,False,0.25,0.01,12.0,241,3,None
6,grid2d,[(0, 3), (0, 1), (1, 4), (1, 2), (2, 5), (3, 4), (4, 5)],8,4,16.0,5.853737975931569,540.9335139157139,19.43861002997084,intermediate,84.84743523597717,False,0.25,0.01,12.0,241,3,None
6,grid2d,[(0, 3), (0, 1), (1, 4), (1, 2), (2, 5), (3, 4), (4, 5)],9,4,16.0,5.853737975931569,543.2217166187347,15.892695945892239,spatial,137.54115676879883,True,0.25,0.01,12.0,241,3,3
6,grid2d,[(0, 3), (0, 1), (1, 4), (1, 2), (2, 5), (3, 4), (4, 5)],10,4,16.0,5.853737975931569,547.106868949286,18.53997768869238,spatial,143.48981308937073,True,0.25,0.01,12.0,241,3,2
6,grid2d,[(0, 3), (0, 1), (1, 4), (1, 2), (2, 5), (3, 4), (4, 5)],11,4,16.0,5.853737975931569,544.2333258427756,17.630134668391836,spatial,117.92890882492065,True,0.25,0.01,12.0,241,3,2
