t,site_subsystems,total_subsystems,interface_subsystems,n_links,mean_degree,hilbert_log2_dim,frontier_radius,volume_proxy,density,energy_remaining,energy_density,creation_rate_modifier,births_attempted,births_accepted,births_reject_lightcone,births_reject_exclusion,births_reject_energy,links_added_from_births,random_links_attempts,random_links_added
0,2,4,2,1,1.0,6.339850002884624,0.0,0.004188790204786391,49.756373916066394,0.0,0.0,1.0,0,0,0,0,0,0,0,0
1,2,4,2,1,1.0,6.339850002884624,0.21250258683475443,0.04019585517573654,49.756373916066394,0.0,0.0,1.0,0,0,0,0,0,0,4,0
2,2,4,2,1,1.0,6.339850002884624,0.21250258683475443,0.04019585517573654,49.756373916066394,0.0,0.0,1.0,0,0,0,0,0,0,4,0
3,2,4,2,1,1.0,6.339850002884624,0.21250258683475443,0.04019585517573654,49.756373916066394,0.0,0.0,1.0,0,0,0,0,0,0,4,0
4,2,4,2,1,1.0,6.339850002884624,0.21250258683475443,0.04019585517573654,49.756373916066394,0.0,0.0,1.0,0,0,0,0,0,0,4,0
5,2,4,2,1,1.0,6.339850002884624,0.21250258683475443,0.04019585517573654,49.756373916066394,0.0,0.0,1.0,0,0,0,0,0,0,4,0
6,2,4,2,1,1.0,6.339850002884624,0.21250258683475443,0.04019585517573654,49.756373916066394,0.0,0.0,1.0,0,0,0,0,0,0,4,0
7,2,4,2,1,1.0,6.339850002884624,0.21250258683475443,0.04019585517573654,49.756373916066394,0.0,0.0,1.0,0,0,0,0,0,0,4,0
8,3,7,4,2,1.3333333333333333,11.094737505048093,0.9580838687373247,3.68382671734735,0.8143705527387674,0.0,0.0,1.0,1,1,0,0,0,1,6,0
9,3,7,4,2,1.3333333333333333,11.094737505048093,0.9580838687373247,3.68382671734735,0.8143705527387674,0.0,0.0,1.0,0,0,0,0,0,0,6,0
10,3,7,4,2,1.3333333333333333,11.094737505048093,0.9580838687373247,3.68382671734735,0.8143705527387674,0.0,0.0,1.0,0,0,0,0,0,0,6,0
11,4,10,6,3,1.5,15.84962500721156,0.9580838687373247,3.68382671734735,1.0858274036516897,0.0,0.0,1.0,1,1,0,0,0,1,8,0
12,5,13,8,4,1.6,20.604512509375027,0.9580838687373247,3.68382671734735,1.3572842545646122,0.0,0.0,1.0,1,1,0,0,0,1,10,0
13,5,13,8,4,1.6,20.604512509375027,0.9580838687373247,3.68382671734735,1.3572842545646122,0.0,0.0,1.0,0,0,0,0,0,0,10,0
14,6,16,10,5,1.6666666666666667,25.359400011538497,0.9580838687373247,3.68382671734735,1.6287411054775347,0.0,0.0,1.0,1,1,0,0,0,1,12,0
15,6,18,12,6,2.0,28.52932501298081,0.9580838687373247,3.68382671734735,1.6287411054775347,0.0,0.0,1.0,0,0,0,0,0,0,12,1
16,6,18,12,6,2.0,28.52932501298081,0.9580838687373247,3.68382671734735,1.6287411054775347,0.0,0.0,1.0,0,0,0,0,0,0,12,0
17,7,23,16,8,2.2857142857142856,36.45413751658659,0.9580838687373247,3.68382671734735,1.900197956390457,0.0,0.0,1.0,1,1,0,0,0,1,14,1
18,7,23,16,8,2.2857142857142856,36.45413751658659,0.9580838687373247,3.68382671734735,1.900197956390457,0.0,0.0,1.0,0,0,0,0,0,0,14,0
19,7,23,16,8,2.2857142857142856,36.45413751658659,0.9580838687373247,3.68382671734735,1.900197956390457,0.0,0.0,1.0,0,0,0,0,0,0,14,0
20,7,23,16,8,2.2857142857142856,36.45413751658659,0.9580838687373247,3.68382671734735,1.900197956390457,0.0,0.0,1.0,0,0,0,0,0,0,14,0
21,8,26,18,9,2.25,41.209025018750054,0.9580838687373247,3.68382671734735,2.1716548073033795,0.0,0.0,1.0,1,1,0,0,0,1,16,0
22,11,33,22,11,2.0,52.303762523798156,1.084385681752221,5.341213436387295,2.0594571123224408,0.0,0.0,1.0,3,3,0,0,0,2,22,0
23,11,33,22,11,2.0,52.303762523798156,1.084385681752221,5.341213436387295,2.0594571123224408,0.0,0.0,1.0,0,0,0,0,0,0,22,0
24,14,42,28,14,2.0,66.56842503028855,1.084385681752221,5.341213436387295,2.6211272338649247,0.0,0.0,1.0,3,3,0,0,0,2,28,1
25,15,45,30,15,2.0,71.32331253245204,1.084385681752221,5.341213436387295,2.8083506077124194,0.0,0.0,1.0,1,1,0,0,0,1,30,0
26,15,51,36,18,2.4,80.83308753677896,1.084385681752221,5.341213436387295,2.8083506077124194,0.0,0.0,1.0,0,0,0,0,0,0,30,3
27,16,56,40,20,2.5,88.75790004038474,1.084385681752221,5.341213436387295,2.995573981559914,0.0,0.0,1.0,1,1,0,0,0,1,32,1
28,17,59,42,21,2.4705882352941178,93.51278754254821,1.1700897690609107,6.710365181530337,2.533394165609785,0.0,0.0,1.0,1,1,0,0,0,1,34,0
29,18,62,44,22,2.4444444444444446,98.26767504471168,1.1700897690609107,6.710365181530337,2.6824173518221253,0.0,0.0,1.0,1,1,0,0,0,1,36,0
30,19,65,46,23,2.4210526315789473,103.02256254687515,1.1700897690609107,6.710365181530337,2.831440538034465,0.0,0.0,1.0,1,1,0,0,0,1,38,0
31,20,66,46,23,2.3,104.60752504759631,1.1700897690609107,6.710365181530337,2.9804637242468055,0.0,0.0,1.0,1,1,0,0,0,0,40,0
32,23,73,50,25,2.1739130434782608,115.70226255264438,1.1700897690609107,6.710365181530337,3.4275332828838265,0.0,0.0,1.0,4,3,0,1,0,1,46,1
33,25,83,58,29,2.32,131.55188755985594,1.1700897690609107,6.710365181530337,3.725579655308507,0.0,0.0,1.0,2,2,0,0,0,2,50,2
34,28,90,62,31,2.2142857142857144,142.64662506490404,1.40494066768339,11.61615934566716,2.4104352537522677,0.0,0.0,1.0,4,3,0,1,0,2,56,0
35,29,99,70,35,2.413793103448276,156.91128757139444,1.40494066768339,11.61615934566716,2.4965222271005634,0.0,0.0,1.0,3,1,0,2,0,1,58,3
36,32,106,74,37,2.3125,168.00602507644254,1.40494066768339,11.61615934566716,2.754783147145449,0.0,0.0,1.0,3,3,0,0,0,2,64,0
37,36,116,80,40,2.2222222222222223,183.8556500836541,1.40494066768339,11.61615934566716,3.09913104053863,0.0,0.0,1.0,5,4,0,1,0,2,72,1
38,37,119,82,41,2.2162162162162162,188.61053758581758,1.40494066768339,11.61615934566716,3.1852180138869253,0.0,0.0,1.0,3,1,0,2,0,1,74,0
39,37,125,88,44,2.3783783783783785,198.12031259014452,1.40494066768339,11.61615934566716,3.1852180138869253,0.0,0.0,1.0,1,0,0,1,0,0,74,3
40,42,136,94,47,2.238095238095238,215.5549000980772,1.40494066768339,11.61615934566716,3.615652880628402,0.0,0.0,1.0,5,5,0,0,0,3,84,0
41,43,137,94,47,2.186046511627907,217.13986259879837,1.40494066768339,11.61615934566716,3.7017398539766972,0.0,0.0,1.0,1,1,0,0,0,0,86,0
42,47,147,100,50,2.127659574468085,232.98948760600993,1.40494066768339,11.61615934566716,4.046087747369878,0.0,0.0,1.0,6,4,0,2,0,3,94,0
43,49,153,104,52,2.122448979591837,242.49926261033687,1.40494066768339,11.61615934566716,4.218261694066469,0.0,0.0,1.0,4,2,0,2,0,2,98,0
44,52,162,110,55,2.1153846153846154,256.7639251168273,1.40494066768339,11.61615934566716,4.476522614111355,0.0,0.0,1.0,3,3,0,0,0,2,104,1
45,53,163,110,55,2.0754716981132075,258.3488876175484,1.40494066768339,11.61615934566716,4.56260958745965,0.0,0.0,1.0,2,1,0,1,0,0,106,0
46,58,170,112,56,1.9310344827586208,269.44362512259653,1.40494066768339,11.61615934566716,4.993044454201127,0.0,0.0,1.0,8,5,0,3,0,1,116,0
47,62,182,120,60,1.935483870967742,288.4631751312504,1.40494066768339,11.61615934566716,5.3373923475943075,0.0,0.0,1.0,4,4,0,0,0,3,124,1
48,69,195,126,63,1.826086956521739,309.0676876406254,1.6215676721939574,17.86050943670788,3.8632716633595843,0.0,0.0,1.0,8,7,0,1,0,3,138,0
