t,site_subsystems,total_subsystems,interface_subsystems,n_links,mean_degree,hilbert_log2_dim,frontier_radius,volume_proxy,density,energy_remaining,energy_density,creation_rate_modifier,births_attempted,births_accepted,births_reject_lightcone,births_reject_exclusion,births_reject_energy,links_added_from_births,random_links_attempts,random_links_added
0,2,4,2,1,1.0,6.339850002884624,0.0,0.004188790204786391,106.60406764506115,0.0,0.0,1.0,0,0,0,0,0,0,0,0
1,2,4,2,1,1.0,6.339850002884624,0.1648374433936455,0.01876101019577425,106.60406764506115,0.0,0.0,1.0,0,0,0,0,0,0,4,0
2,2,4,2,1,1.0,6.339850002884624,0.1648374433936455,0.01876101019577425,106.60406764506115,0.0,0.0,1.0,0,0,0,0,0,0,4,0
3,2,4,2,1,1.0,6.339850002884624,0.1648374433936455,0.01876101019577425,106.60406764506115,0.0,0.0,1.0,0,0,0,0,0,0,4,0
4,2,4,2,1,1.0,6.339850002884624,0.1648374433936455,0.01876101019577425,106.60406764506115,0.0,0.0,1.0,0,0,0,0,0,0,4,0
5,2,4,2,1,1.0,6.339850002884624,0.1648374433936455,0.01876101019577425,106.60406764506115,0.0,0.0,1.0,0,0,0,0,0,0,4,0
6,2,4,2,1,1.0,6.339850002884624,0.1648374433936455,0.01876101019577425,106.60406764506115,0.0,0.0,1.0,0,0,0,0,0,0,4,0
7,3,7,4,2,1.3333333333333333,11.094737505048093,0.8425398859913454,2.5053016136547255,1.1974606105903594,0.0,0.0,1.0,1,1,0,0,0,1,6,0
8,3,7,4,2,1.3333333333333333,11.094737505048093,0.8425398859913454,2.5053016136547255,1.1974606105903594,0.0,0.0,1.0,0,0,0,0,0,0,6,0
9,3,7,4,2,1.3333333333333333,11.094737505048093,0.8425398859913454,2.5053016136547255,1.1974606105903594,0.0,0.0,1.0,0,0,0,0,0,0,6,0
10,3,7,4,2,1.3333333333333333,11.094737505048093,0.8425398859913454,2.5053016136547255,1.1974606105903594,0.0,0.0,1.0,0,0,0,0,0,0,6,0
11,3,7,4,2,1.3333333333333333,11.094737505048093,0.8425398859913454,2.5053016136547255,1.1974606105903594,0.0,0.0,1.0,0,0,0,0,0,0,6,0
12,3,7,4,2,1.3333333333333333,11.094737505048093,0.8425398859913454,2.5053016136547255,1.1974606105903594,0.0,0.0,1.0,0,0,0,0,0,0,6,0
13,3,7,4,2,1.3333333333333333,11.094737505048093,0.8425398859913454,2.5053016136547255,1.1974606105903594,0.0,0.0,1.0,0,0,0,0,0,0,6,0
14,3,7,4,2,1.3333333333333333,11.094737505048093,0.8425398859913454,2.5053016136547255,1.1974606105903594,0.0,0.0,1.0,0,0,0,0,0,0,6,0
15,3,7,4,2,1.3333333333333333,11.094737505048093,0.8425398859913454,2.5053016136547255,1.1974606105903594,0.0,0.0,1.0,0,0,0,0,0,0,6,0
16,3,7,4,2,1.3333333333333333,11.094737505048093,0.8425398859913454,2.5053016136547255,1.1974606105903594,0.0,0.0,1.0,0,0,0,0,0,0,6,0
17,3,7,4,2,1.3333333333333333,11.094737505048093,0.8425398859913454,2.5053016136547255,1.1974606105903594,0.0,0.0,1.0,0,0,0,0,0,0,6,0
18,3,7,4,2,1.3333333333333333,11.094737505048093,0.8425398859913454,2.5053016136547255,1.1974606105903594,0.0,0.0,1.0,0,0,0,0,0,0,6,0
19,3,7,4,2,1.3333333333333333,11.094737505048093,0.8425398859913454,2.5053016136547255,1.1974606105903594,0.0,0.0,1.0,0,0,0,0,0,0,6,0
20,3,7,4,2,1.3333333333333333,11.094737505048093,0.8425398859913454,2.5053016136547255,1.1974606105903594,0.0,0.0,1.0,0,0,0,0,0,0,6,0
21,3,7,4,2,1.3333333333333333,11.094737505048093,0.8425398859913454,2.5053016136547255,1.1974606105903594,0.0,0.0,1.0,0,0,0,0,0,0,6,0
22,4,10,6,3,1.5,15.84962500721156,0.8425398859913454,2.5053016136547255,1.5966141474538125,0.0,0.0,1.0,1,1,0,0,0,1,8,0
23,4,10,6,3,1.5,15.84962500721156,0.8425398859913454,2.5053016136547255,1.5966141474538125,0.0,0.0,1.0,0,0,0,0,0,0,8,0
24,4,10,6,3,1.5,15.84962500721156,0.8425398859913454,2.5053016136547255,1.5966141474538125,0.0,0.0,1.0,0,0,0,0,0,0,8,0
25,4,10,6,3,1.5,15.84962500721156,0.8425398859913454,2.5053016136547255,1.5966141474538125,0.0,0.0,1.0,0,0,0,0,0,0,8,0
26,4,10,6,3,1.5,15.84962500721156,0.8425398859913454,2.5053016136547255,1.5966141474538125,0.0,0.0,1.0,0,0,0,0,0,0,8,0
27,4,10,6,3,1.5,15.84962500721156,0.8425398859913454,2.5053016136547255,1.5966141474538125,0.0,0.0,1.0,0,0,0,0,0,0,8,0
28,4,10,6,3,1.5,15.84962500721156,0.8425398859913454,2.5053016136547255,1.5966141474538125,0.0,0.0,1.0,0,0,0,0,0,0,8,0
29,4,10,6,3,1.5,15.84962500721156,0.8425398859913454,2.5053016136547255,1.5966141474538125,0.0,0.0,1.0,0,0,0,0,0,0,8,0
30,5,13,8,4,1.6,20.604512509375027,0.8425398859913454,2.5053016136547255,1.9957676843172656,0.0,0.0,1.0,1,1,0,0,0,1,10,0
31,7,19,12,6,1.7142857142857142,30.114287513701967,0.9824649945140083,3.9722801054566856,1.762212083277854,0.0,0.0,1.0,2,2,0,0,0,2,14,0
32,7,19,12,6,1.7142857142857142,30.114287513701967,0.9824649945140083,3.9722801054566856,1.762212083277854,0.0,0.0,1.0,0,0,0,0,0,0,14,0
33,7,19,12,6,1.7142857142857142,30.114287513701967,0.9824649945140083,3.9722801054566856,1.762212083277854,0.0,0.0,1.0,0,0,0,0,0,0,14,0
