run_tag,active_dim,eta_AX,eta_XY,eta_YB,omega_site,n_cases,score_mean,score_std,best_capture_ratio_mean,best_capture_ratio_std,best_damage_active_power_mean,best_damage_active_power_std,best_leakage_gain_mean,best_leakage_gain_std,best_W_relational_mean,best_W_relational_std
om0p2,1,0.85,0.85,0.85,0.2,3,564.2423585127332,766.2862345298057,0.15785036821730286,0.020854060804556228,0.00022939694723069577,4.25918451577243e-05,560.0669322440572,766.2892101247207,1.929748067647114,0.02197345236055243
om0p35,1,0.85,0.85,0.85,0.35,3,561.4785626206344,761.2528511960041,0.1738946078946758,0.020501568716526357,0.00026019928331527637,4.451301387158994e-05,557.2742138776829,761.2545704260577,1.9281496639394458,0.022964398660577492
om0p5,1,0.85,0.85,0.85,0.5,3,559.0732879520629,756.5864755121411,0.1899343591673115,0.019994711275058436,0.00029144007290672847,4.690663308981553e-05,554.8405567029373,756.5864465701562,1.9262855453590528,0.0240328805368153
