t,site_subsystems,total_subsystems,interface_subsystems,n_links,mean_degree,hilbert_log2_dim,frontier_radius,volume_proxy,density,energy_remaining,energy_density,creation_rate_modifier,births_attempted,births_accepted,births_reject_lightcone,births_reject_exclusion,births_reject_energy,links_added_from_births,random_links_attempts,random_links_added
0,2,4,2,1,1.0,6.339850002884624,0.0,0.031415926535897934,20.057625777958922,0.0,0.0,1.0,0,0,0,0,0,0,0,0
1,2,4,2,1,1.0,6.339850002884624,0.17815593686535866,0.09971269890765314,20.057625777958922,0.0,0.0,1.0,0,0,0,0,0,0,4,0
2,2,4,2,1,1.0,6.339850002884624,0.17815593686535866,0.09971269890765314,20.057625777958922,0.0,0.0,1.0,0,0,0,0,0,0,4,0
3,2,4,2,1,1.0,6.339850002884624,0.17815593686535866,0.09971269890765314,20.057625777958922,0.0,0.0,1.0,0,0,0,0,0,0,4,0
4,2,4,2,1,1.0,6.339850002884624,0.17815593686535866,0.09971269890765314,20.057625777958922,0.0,0.0,1.0,0,0,0,0,0,0,4,0
5,2,4,2,1,1.0,6.339850002884624,0.17815593686535866,0.09971269890765314,20.057625777958922,0.0,0.0,1.0,0,0,0,0,0,0,4,0
6,2,4,2,1,1.0,6.339850002884624,0.17815593686535866,0.09971269890765314,20.057625777958922,0.0,0.0,1.0,0,0,0,0,0,0,4,0
7,2,4,2,1,1.0,6.339850002884624,0.17815593686535866,0.09971269890765314,20.057625777958922,0.0,0.0,1.0,0,0,0,0,0,0,4,0
8,2,4,2,1,1.0,6.339850002884624,0.17815593686535866,0.09971269890765314,20.057625777958922,0.0,0.0,1.0,0,0,0,0,0,0,4,0
9,2,4,2,1,1.0,6.339850002884624,0.17815593686535866,0.09971269890765314,20.057625777958922,0.0,0.0,1.0,0,0,0,0,0,0,4,0
10,2,4,2,1,1.0,6.339850002884624,0.17815593686535866,0.09971269890765314,20.057625777958922,0.0,0.0,1.0,0,0,0,0,0,0,4,0
11,2,4,2,1,1.0,6.339850002884624,0.17815593686535866,0.09971269890765314,20.057625777958922,0.0,0.0,1.0,0,0,0,0,0,0,4,0
12,2,4,2,1,1.0,6.339850002884624,0.17815593686535866,0.09971269890765314,20.057625777958922,0.0,0.0,1.0,0,0,0,0,0,0,4,0
13,2,4,2,1,1.0,6.339850002884624,0.17815593686535866,0.09971269890765314,20.057625777958922,0.0,0.0,1.0,0,0,0,0,0,0,4,0
14,3,7,4,2,1.3333333333333333,11.094737505048093,0.6112920753724079,1.173944064047529,2.5554880269649205,0.0,0.0,1.0,1,1,0,0,0,1,6,0
15,3,7,4,2,1.3333333333333333,11.094737505048093,0.6112920753724079,1.173944064047529,2.5554880269649205,0.0,0.0,1.0,0,0,0,0,0,0,6,0
16,3,7,4,2,1.3333333333333333,11.094737505048093,0.6112920753724079,1.173944064047529,2.5554880269649205,0.0,0.0,1.0,0,0,0,0,0,0,6,0
17,3,7,4,2,1.3333333333333333,11.094737505048093,0.6112920753724079,1.173944064047529,2.5554880269649205,0.0,0.0,1.0,0,0,0,0,0,0,6,0
18,3,7,4,2,1.3333333333333333,11.094737505048093,0.6112920753724079,1.173944064047529,2.5554880269649205,0.0,0.0,1.0,0,0,0,0,0,0,6,0
19,3,7,4,2,1.3333333333333333,11.094737505048093,0.6112920753724079,1.173944064047529,2.5554880269649205,0.0,0.0,1.0,0,0,0,0,0,0,6,0
20,3,7,4,2,1.3333333333333333,11.094737505048093,0.6112920753724079,1.173944064047529,2.5554880269649205,0.0,0.0,1.0,0,0,0,0,0,0,6,0
21,4,10,6,3,1.5,15.84962500721156,0.6112920753724079,1.173944064047529,3.407317369286561,0.0,0.0,1.0,1,1,0,0,0,1,8,0
22,4,10,6,3,1.5,15.84962500721156,0.6112920753724079,1.173944064047529,3.407317369286561,0.0,0.0,1.0,0,0,0,0,0,0,8,0
23,4,10,6,3,1.5,15.84962500721156,0.6112920753724079,1.173944064047529,3.407317369286561,0.0,0.0,1.0,0,0,0,0,0,0,8,0
24,4,10,6,3,1.5,15.84962500721156,0.6112920753724079,1.173944064047529,3.407317369286561,0.0,0.0,1.0,0,0,0,0,0,0,8,0
25,5,13,8,4,1.6,20.604512509375027,0.76711941195301,1.8487399158421072,2.7045448400579826,0.0,0.0,1.0,1,1,0,0,0,1,10,0
