t,captures_total,captures_in,captures_out,M_total,M_in,M_out,frac_M_in_cum,frac_M_out_cum,delta_cum,frac_M_in_roll,frac_M_out_roll,delta_roll,locked_like,mean_edge_mem,mean_theta_step,lambda_in_factor
842,22,2,20,1,0,1,0.0185614849187935,0.01766295393132538,0.0008985309874681192,0.0185614849187935,0.01766295393132538,0.0008985309874681192,0.15043290043290045,3.8672070098021942,0.0003542221184355271,1.0
843,29,6,23,1,0,1,0.01853281853281853,0.017702026849170834,0.0008307916836476949,0.01853281853281853,0.017702026849170834,0.0008307916836476949,0.15043290043290045,3.8671551937737756,0.00040641300906414917,1.0
844,17,5,12,1,1,0,0.01876606683804627,0.017688058916359807,0.0010780079216864621,0.01876606683804627,0.017688058916359807,0.0010780079216864621,0.15043290043290045,3.8671922593758743,0.000458454962751809,1.0
845,21,2,19,1,0,1,0.018756423432682422,0.01773166086556774,0.0010247625671146836,0.018756423432682422,0.01773166086556774,0.0010247625671146836,0.15043290043290045,3.8673107340409887,0.0005095607563602527,1.0
846,15,3,12,0,0,0,0.018741976893453142,0.017717698011680553,0.001024278881772589,0.018741976893453142,0.017717698011680553,0.001024278881772589,0.15043290043290045,3.8675184638253435,0.0005611092283823989,1.0
847,21,3,18,0,0,0,0.018727552591072342,0.017696794913810054,0.0010307576772622881,0.018727552591072342,0.017696794913810054,0.0010307576772622881,0.15043290043290045,3.8677664691282185,0.0006078001593186441,1.0
848,22,3,19,1,0,1,0.01871315047423737,0.01774024613773239,0.0009729043365049803,0.01871315047423737,0.01774024613773239,0.0009729043365049803,0.15043290043290045,3.8680920162429038,0.0006575783585319595,1.0
849,17,2,15,0,0,0,0.018703561363054056,0.01772284350271401,0.0009807178603400447,0.018703561363054056,0.01772284350271401,0.0009807178603400447,0.15043290043290045,3.868514361565194,0.0007087396428583351,1.0
850,20,6,14,0,0,0,0.018674852903555892,0.017706631819666772,0.0009682210838891196,0.018674852903555892,0.017706631819666772,0.0009682210838891196,0.15043290043290045,3.869009516137791,0.0007572427422105298,1.0
851,29,2,27,0,0,0,0.018665302991562258,0.017675450039133837,0.0009898529524284203,0.018665302991562258,0.017675450039133837,0.0009898529524284203,0.15043290043290045,3.869566503535,0.0008042538450894084,1.0
852,17,2,15,0,0,0,0.01865576284180935,0.017658174236007036,0.0009975886058023152,0.01865576284180935,0.017658174236007036,0.0009975886058023152,0.15043290043290045,3.8702112864082845,0.0008531555944083665,1.0
853,29,6,23,0,0,0,0.018627200816534826,0.01763175016265452,0.000995450653880306,0.018627200816534826,0.01763175016265452,0.000995450653880306,0.15043290043290045,3.8709355665906067,0.0009007402248062887,1.0
854,18,3,15,1,0,1,0.018612952575216724,0.01767955801104972,0.0009333945641670019,0.018612952575216724,0.01767955801104972,0.0009333945641670019,0.15043290043290045,3.871721466215803,0.0009460841711174898,1.0
855,27,2,25,0,0,0,0.018603465851172268,0.017650876054510056,0.0009525897966622121,0.018603465851172268,0.017650876054510056,0.0009525897966622121,0.15043290043290045,3.8725892519518412,0.0009926828652253848,1.0
856,22,2,20,2,0,2,0.018593988792664284,0.017757615035644846,0.0008363737570194381,0.018593988792664284,0.017757615035644846,0.0008363737570194381,0.15043290043290045,3.8735403053328947,0.0010387535422964936,1.0
857,19,4,15,0,0,0,0.018575063613231548,0.017740369051472967,0.000834694561758581,0.018575063613231548,0.017740369051472967,0.000834694561758581,0.15043290043290045,3.8745572654854876,0.0010825263722805953,1.0
858,27,4,23,0,0,0,0.01855617691916624,0.017713990173260925,0.0008421867459053149,0.01855617691916624,0.017713990173260925,0.0008421867459053149,0.15043290043290045,3.875671902007787,0.0011285158080292898,1.0
859,29,5,24,0,0,0,0.018532622493018527,0.017686547895688094,0.0008460745973304339,0.018532622493018527,0.017686547895688094,0.0008460745973304339,0.15043290043290045,3.8768600308172716,0.0011715092180661854,1.0
860,19,5,14,0,0,0,0.018509127789046648,0.017670579130659097,0.0008385486583875508,0.018509127789046648,0.017670579130659097,0.0008385486583875508,0.15043290043290045,3.878135397061588,0.0012149849276849496,1.0
861,24,5,19,1,0,1,0.018485692580400098,0.017713365539452495,0.0007723270409476027,0.018485692580400098,0.017713365539452495,0.0007723270409476027,0.15043290043290045,3.879464502635099,0.0012545373914694116,1.0
862,22,5,17,1,1,0,0.018715225088517952,0.017693990477416034,0.0010212346111019184,0.018715225088517952,0.017693990477416034,0.0010212346111019184,0.15043290043290045,3.880867178839403,0.0012950719031889696,1.0
863,20,6,14,0,0,0,0.018686868686868682,0.017678066340961685,0.001008802345906997,0.018686868686868682,0.017678066340961685,0.001008802345906997,0.15043290043290045,3.8823223175906114,0.0013327684045946412,1.0
864,35,1,34,1,0,1,0.018682150971976768,0.017703656189865295,0.0009784947821114727,0.018682150971976768,0.017703656189865295,0.0009784947821114727,0.15043290043290045,3.8838473126345936,0.0013711614083818807,1.0
865,12,3,9,0,0,0,0.018668012108980822,0.017693441887300466,0.0009745702216803556,0.018668012108980822,0.017693441887300466,0.0009745702216803556,0.15043290043290045,3.8854543306531246,0.0014097390628361893,1.0
866,19,7,12,0,0,0,0.018635104507680682,0.01767984113765934,0.0009552633700213413,0.018635104507680682,0.01767984113765934,0.0009552633700213413,0.15043290043290045,3.887116431504257,0.001444853110019865,1.0
867,25,7,18,0,0,0,0.018602312719959775,0.017659479173331626,0.0009428335466281496,0.018602312719959775,0.017659479173331626,0.0009428335466281496,0.15043290043290045,3.8888155058593994,0.0014772930271812015,1.0
868,18,6,12,0,0,0,0.018574297188755015,0.01764593056709929,0.0009283666216557268,0.018574297188755015,0.01764593056709929,0.0009283666216557268,0.15043290043290045,3.890546457299009,0.0015082368313187682,1.0
869,27,2,25,2,1,1,0.0188158554942298,0.017681603472488188,0.0011342520217416108,0.0188158554942298,0.017681603472488188,0.0011342520217416108,0.15043290043290045,3.892322533547062,0.001539357697973362,1.0
870,23,4,19,0,0,0,0.018796992481203003,0.01766018489002231,0.0011368075911806913,0.018796992481203003,0.01766018489002231,0.0011368075911806913,0.15043290043290045,3.8941710035165733,0.0015719303242666025,1.0
871,22,4,18,0,0,0,0.01877816725087631,0.017639941412468954,0.001138225838407357,0.01877816725087631,0.017639941412468954,0.001138225838407357,0.15043290043290045,3.8960823705623326,0.0016025285474843324,1.0
872,14,5,9,0,0,0,0.01875468867216804,0.017629837067209775,0.0011248516049582637,0.01875468867216804,0.017629837067209775,0.0011248516049582637,0.15043290043290045,3.8980355465693823,0.0016300564254392812,1.0
873,14,3,11,0,0,0,0.01874062968515742,0.01761750302105196,0.0011231266641054602,0.01874062968515742,0.01761750302105196,0.0011231266641054602,0.15043290043290045,3.9000401730410315,0.001657337107075674,1.0
874,26,2,24,0,0,0,0.01873126873126873,0.017590652187718294,0.0011406165435504344,0.01873126873126873,0.017590652187718294,0.0011406165435504344,0.15043290043290045,3.9021161178925894,0.0016852977465805256,1.0
