seed,perturb_eps,pair_scale,elapsed_sec,status,best_factorization,best_accessibility_score,runner_up_factorization,runner_up_accessibility_score,stderr_tail,fac_3x3x3x3_score,fac_3x3x3x3_mean_mi,fac_3x3x3x3_entropy,fac_3x3x3x3_anti_dom,fac_3x3x3x3_pair_count,fac_3x3x3x3_core_persist,fac_3x3x3x3_entropy_balance,fac_3x3x3x3_stability,fac_3x3x9_score,fac_3x3x9_mean_mi,fac_3x3x9_entropy,fac_3x3x9_anti_dom,fac_3x3x9_pair_count,fac_3x3x9_core_persist,fac_3x3x9_entropy_balance,fac_3x3x9_stability,fac_3x27_score,fac_3x27_mean_mi,fac_3x27_entropy,fac_3x27_anti_dom,fac_3x27_pair_count,fac_3x27_core_persist,fac_3x27_entropy_balance,fac_3x27_stability,fac_9x9_score,fac_9x9_mean_mi,fac_9x9_entropy,fac_9x9_anti_dom,fac_9x9_pair_count,fac_9x9_core_persist,fac_9x9_entropy_balance,fac_9x9_stability
1,0.01,0.08,10.174474700004794,ok,3x3x3x3,5.383006677186957,3x3x9,4.471665985560707,,5.383006677186957,0.0005657368324166705,0.9977448780773895,0.967995364385347,1.0,1.0,0.9490910380848462,0.9676096598069583,4.471665985560707,0.0029048294118368258,0.8644787309003946,0.7449571945395129,0.6131471927654585,1.0,0.8099346448505028,0.9362433930930014,1.917469255103056,0.004312654811387514,0.0,0.0,0.0,0.0,0.9999999999999272,0.9131566002917414,1.9169135003810571,0.0020198951502276383,0.0,0.0,0.0,0.0,0.9999999999998942,0.9148936052309352
1,0.01,0.12,10.201949599999352,ok,3x3x3x3,5.383869947959793,3x3x9,4.4488157076012875,,5.383869947959793,0.0005655998767858356,0.9977814590967479,0.9678769503625969,1.0,1.0,0.9501183140884993,0.9675276245351634,4.4488157076012875,0.004988169394477256,0.8491938117487193,0.7431752475371202,0.6131471927654585,1.0,0.8027038581808569,0.9356074279746562,1.9190110440504493,0.007718002273398129,0.0,0.0,0.0,0.0,0.9999999999999709,0.9112930417770805,1.916913421596517,0.0020198219894466195,0.0,0.0,0.0,0.0,0.9999999999999093,0.914893599607161
1,0.01,0.25,10.278749600001902,ok,3x3x3x3,5.389273200959333,3x3x9,4.436332079249576,,5.389273200959333,0.0005657445594972871,0.9978036416313781,0.9690912979476146,1.0,1.0,0.954932941573492,0.9668795752473515,4.436332079249576,0.012706747497542546,0.8321697456466233,0.7487009656799198,0.6131471927654585,1.0,0.7942250196943285,0.9353824079657034,1.9271124760500404,0.023531981884668672,0.0,0.0,0.0,0.0,0.9999999999999332,0.9035804941654386,1.9169131833047253,0.002019600694650554,0.0,0.0,0.0,0.0,0.9999999999999372,0.9148935826101378
1,0.01,0.5,9.939822000000277,ok,3x3x3x3,5.16025096969671,3x3x9,4.448061110705816,,5.16025096969671,0.0005655609664943467,0.9975401038183858,0.9685139021669289,1.0,0.5454545454545453,0.9549839299009958,0.9659202001166332,4.448061110705816,0.01787560083284714,0.8273996734355898,0.7627859321293965,0.6131471927654585,1.0,0.7910155374449451,0.9358371740975792,1.9467388640132173,0.052600172242197554,0.0,0.0,0.0,0.0,0.9999999999999809,0.8941386917710388,1.916912803761062,0.0020192481626125198,0.0,0.0,0.0,0.0,0.9999999999999446,0.914893555598505
1,0.02,0.08,9.974975299999642,ok,3x3x3x3,5.385048913186341,3x3x9,4.541218767148072,,5.385048913186341,0.0019868300390978194,0.9977472671765392,0.9677687602927488,1.0,1.0,0.9498532821632769,0.9676927735146784,4.541218767148072,0.00487931940412004,0.8980588040158477,0.759194963670572,0.6131471927654585,1.0,0.8256440317272639,0.9402944555648096,1.9207470404308138,0.007337661132744169,0.0,0.0,0.0,0.0,0.9999999999999819,0.9134093792980879,1.9221608004151796,0.007267231428506985,0.0,0.0,0.0,0.0,0.9999999999999774,0.9148935689866953
1,0.02,0.12,10.61282879999635,ok,3x3x3x3,5.38584743729873,3x3x9,4.501770383519806,,5.38584743729873,0.0019863855244319265,0.9977785928107608,0.9675891140597378,1.0,1.0,0.9508794500632706,0.9676138948405288,4.501770383519806,0.006865538250448839,0.879103470198687,0.7483899762180166,0.6131471927654585,1.0,0.8158447254287213,0.9384194806584739,1.922056953248624,0.010422721575509669,0.0,0.0,0.0,0.0,0.9999999999999861,0.9116342316731282,1.9221604778243926,0.007266931753519671,0.0,0.0,0.0,0.0,0.9999999999999695,0.9148935460709033
1,0.02,0.25,9.917751100001624,ok,3x3x3x3,5.390964959261448,3x3x9,4.46871509653882,,5.390964959261448,0.0019869356099063923,0.9977678857280772,0.9686693049315132,1.0,1.0,0.9555581706372486,0.9669826623547035,4.46871509653882,0.014357596969842158,0.8545095400474952,0.7453894955499437,0.6131471927654585,1.0,0.8036269499390688,0.9376843212670118,1.9295893212561057,0.02554242937719253,0.0,0.0,0.0,0.0,0.9999999999999872,0.9040468918789261,1.9221595018519455,0.00726602505931814,0.0,0.0,0.0,0.0,0.9999999999999833,0.9148934767926439
1,0.02,0.5,9.935110300000815,ok,3x3x3x3,5.162040944722072,3x3x9,4.480859144507335,,5.162040944722072,0.0019860040309816872,0.9975064398165077,0.9682082968711166,1.0,0.5454545454545453,0.9555825235520298,0.9660304077241633,4.480859144507335,0.019427062056558246,0.8469519583958941,0.7630609599832244,0.6131471927654585,1.0,0.7991929871685669,0.9390789841376329,1.9487213348426575,0.05416433504788654,0.0,0.0,0.0,0.0,0.9999999999999905,0.8945569997947805,1.9221579461691662,0.007264579558833894,0.0,0.0,0.0,0.0,0.9999999999999748,0.9148933666103576
1,0.05,0.08,10.108435400004964,ok,3x3x3x3,5.394883681073643,3x3x9,4.667349858070391,,5.394883681073643,0.010303595196523975,0.9977536100534028,0.9673836131529897,1.0,1.0,0.9513665056474814,0.9680763570232453,4.667349858070391,0.017629135347485593,0.9343659445569183,0.8028408083940977,0.6131471927654585,1.0,0.8478337154267099,0.9515330615797211,1.9423782654309387,0.02833900861442631,0.0,0.0,0.0,0.0,0.9999999999999943,0.914039256816518,1.9543770820224444,0.039483776643883244,0.0,0.0,0.0,0.0,0.9999999999999968,0.9148933053785645
1,0.05,0.12,10.032229800002824,ok,3x3x3x3,5.395548213478654,3x3x9,4.621770931197111,,5.395548213478654,0.010302521638706565,0.9977734110070984,0.9670705760666863,1.0,1.0,0.9524000948157568,0.9680016099504055,4.621770931197111,0.01928405163882699,0.920719176330275,0.7832574473897871,0.6131471927654585,1.0,0.8379321637443108,0.947430899328453,1.9430419398685754,0.03040582049102799,0.0,0.0,0.0,0.0,0.9999999999999933,0.912636119377554,1.9543749258933771,0.03948176926137867,0.0,0.0,0.0,0.0,0.9999999999999976,0.9148931566320008
