seed,perturb_eps,pair_scale,elapsed_sec,status,best_factorization,best_accessibility_score,runner_up_factorization,runner_up_accessibility_score,stderr_tail,fac_3x3x3x3_score,fac_3x3x3x3_locality,fac_3x3x3x3_leakage,fac_3x3x3x3_entropy,fac_3x3x3x3_anti_dom,fac_3x3x3x3_pair_count,fac_3x3x3x3_core_persist,fac_3x3x3x3_ccorr,fac_3x3x9_score,fac_3x3x9_locality,fac_3x3x9_leakage,fac_3x3x9_entropy,fac_3x3x9_anti_dom,fac_3x3x9_pair_count,fac_3x3x9_core_persist,fac_3x3x9_ccorr,fac_9x9_score,fac_9x9_locality,fac_9x9_leakage,fac_9x9_entropy,fac_9x9_anti_dom,fac_9x9_pair_count,fac_9x9_core_persist,fac_9x9_ccorr,fac_3x27_score,fac_3x27_locality,fac_3x27_leakage,fac_3x27_entropy,fac_3x27_anti_dom,fac_3x27_pair_count,fac_3x27_core_persist,fac_3x27_ccorr
1,0.01,0.08,0.5030495999963023,ok,3x3x3x3,5.188780493145609,3x3x9,4.520006661412486,,5.188780493145609,0.8651168905449307,0.9744127210808259,0.9930264165403734,0.9469777957097842,1.0,0.8181818181818182,0.00015576017878630275,4.520006661412486,0.7783938447855633,0.8878075087067223,0.9598234517681807,0.8715468252900744,0.6131471927654585,0.8181818181818182,0.00019692900557686832,1.0002046981803356,1.0,0.0,0.0,0.0,0.0,0.0,0.00020469818033555867,1.0001130686294548,1.0,0.0,0.0,0.0,0.0,0.0,0.00011306862945489734
1,0.01,0.12,0.49318249999487307,ok,3x3x3x3,5.13927225611123,3x3x9,4.424948438575912,,5.13927225611123,0.8626866441310278,0.9728827741171494,0.9928549256991244,0.94705502762264,1.0,0.7272727272727273,0.0001565209049252429,4.424948438575912,0.7774807866170967,0.8845785009532211,0.9595519522603347,0.8718102481871227,0.6131471927654585,0.6363636363636365,0.0001979396108592581,1.0002206647556633,1.0,0.0,0.0,0.0,0.0,0.0,0.00022066475566321307,1.0001130432949,1.0,0.0,0.0,0.0,0.0,0.0,0.0001130432948999708
1,0.01,0.25,0.4940461000005598,ok,3x3x3x3,5.097534718469521,3x3x9,4.40906703435766,,5.097534718469521,0.8441615359617849,0.9651462211793874,0.9904022499813657,0.9340336319522877,1.0,0.7272727272727273,0.0001547157583319183,4.40906703435766,0.7678732494265129,0.8630446964903807,0.9555084851147229,0.8456553642671178,0.6131471927654585,0.7272727272727273,0.0002016826571036405,1.0002646814177085,1.0,0.0,0.0,0.0,0.0,0.0,0.00026468141770841274,1.000113027122391,1.0,0.0,0.0,0.0,0.0,0.0,0.00011302712239110185
1,0.01,0.5,0.5028416999994079,ok,3x3x3x3,5.105648371994538,3x3x9,4.414409467245284,,5.105648371994538,0.8502812013948519,0.965749978993626,0.9909920014644712,0.934834586112975,1.0,0.7272727272727273,0.00015424039224990244,4.414409467245284,0.7709310420754666,0.8641949793133442,0.9562972985567618,0.8460030531148568,0.6131471927654585,0.7272727272727273,0.0001995377830332124,1.0002645715566456,1.0,0.0,0.0,0.0,0.0,0.0,0.00026457155664557275,1.0001131033830497,1.0,0.0,0.0,0.0,0.0,0.0,0.00011310338304975384
1,0.02,0.08,0.49529959999927087,ok,3x3x3x3,5.223635614594483,3x3x9,4.51919459768007,,5.223635614594483,0.8870885004554846,0.9744226835463682,0.9954304478330762,0.957280399537492,1.0,0.8181818181818182,0.0003226741311524602,4.51919459768007,0.7765232344014311,0.8852486345229102,0.9589201758815978,0.8758595188277325,0.6131471927654585,0.8181818181818182,0.0004049321900305428,1.0004216832157151,1.0,0.0,0.0,0.0,0.0,0.0,0.00042168321571518753,1.000234494411524,1.0,0.0,0.0,0.0,0.0,0.0,0.00023449441152405644
1,0.02,0.12,0.4888887999986764,ok,3x3x3x3,5.128747382528833,3x3x9,4.423102662258091,,5.128747382528833,0.8849623816458799,0.9729582923594926,0.9952872891011115,0.9570333740023781,1.0,0.6363636363636365,0.0003242272381532479,4.423102662258091,0.7757630013175741,0.8819912181319254,0.9586360584561189,0.8749763614312586,0.6131471927654585,0.6363636363636365,0.0004070119739377615,1.0004541948205903,1.0,0.0,0.0,0.0,0.0,0.0,0.00045419482059030116,1.0002343871477481,1.0,0.0,0.0,0.0,0.0,0.0,0.00023438714774821182
1,0.02,0.25,0.48757019999902695,ok,3x3x3x3,5.136969822593305,3x3x9,4.4112803196236925,,5.136969822593305,0.8687168490771323,0.9651402379073294,0.99358853995328,0.9455673171825648,1.0,0.7272727272727273,0.0003205148366348667,4.4112803196236925,0.7679802647606351,0.8605749951236028,0.9553440132067558,0.8501828871992267,0.6131471927654585,0.7272727272727273,0.0004146029316503546,1.0005435791422392,1.0,0.0,0.0,0.0,0.0,0.0,0.0005435791422391995,1.0002343087920977,1.0,0.0,0.0,0.0,0.0,0.0,0.0002343087920976315
1,0.02,0.5,0.4863039999981993,ok,3x3x3x3,5.142924734018751,3x3x9,4.4157712449878685,,5.142924734018751,0.873012799331839,0.96571982938483,0.9939250891989773,0.9463110874913215,1.0,0.7272727272727273,0.00031956497542076526,4.4157712449878685,0.7698584707414706,0.8617893567734751,0.9559184212957131,0.8510110921182169,0.6131471927654585,0.7272727272727273,0.0004103476571709596,1.000542634297878,1.0,0.0,0.0,0.0,0.0,0.0,0.0005426342978779329,1.000234620393291,1.0,0.0,0.0,0.0,0.0,0.0,0.0002346203932909605
1,0.05,0.08,0.49181650000537047,ok,3x3x3x3,5.252255183058261,3x3x9,4.505621601909236,,5.252255183058261,0.905115570238187,0.9744813635563829,0.996936063737283,0.9657335088999464,1.0,0.8181818181818182,0.0008977675355529812,4.505621601909236,0.7698751203967426,0.8803546962489958,0.9554504764918582,0.8765983594763461,0.6131471927654585,0.8181818181818182,0.0011048474389255625,1.0011515848024417,1.0,0.0,0.0,0.0,0.0,0.0,0.0011515848024416543,1.0006680131846426,1.0,0.0,0.0,0.0,0.0,0.0,0.0006680131846425832
1,0.05,0.12,0.49160130000382196,ok,3x3x3x3,5.111814978866848,3x3x9,4.362491654560829,,5.111814978866848,0.9032542179527817,0.9731109004971366,0.9968197131722828,0.9650010837328632,1.0,0.5454545454545453,0.0009017907845117637,4.362491654560829,0.7691505926426341,0.8769863557932486,0.9551261819999654,0.8742438067995806,0.6131471927654585,0.5454545454545453,0.0011102518326695976,1.001236885374318,1.0,0.0,0.0,0.0,0.0,0.0,0.0012368853743180707,1.0006672951586182,1.0,0.0,0.0,0.0,0.0,0.0,0.0006672951586180833
