label,spatial_dim,energy_gamma,energy_total,energy_cost,bandwidth,no_signaling,spatial_exclusion,exclusion_radius,interaction_rate,spawn_rate,nsteps,max_subsystems,n_seeds,alpha_mean,alpha_std,alpha_ci_lo,alpha_ci_hi,power_r2_mean,frontier_speed_mean,siteN_final_mean,totalN_final_mean,R_final_mean,saturation_rate
v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,30.0,1.038360796587374,0.18230123052969,0.9724397191415376,1.1069838421870193,0.9811575615628387,0.017350598243259255,75.96666666666667,311.9,8.979146119530201,0.0
v2_dim2,2,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,30.0,2.347241048760263,0.2747911795090675,2.2518883861256,2.446696310231212,0.9963599253856383,0.019761029950065064,4123.366666666667,10598.5,10.487131933630618,0.0
v2_dim3,3,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,30.0,3.791803724059846,0.4512148328973638,3.6395356442926747,3.961749374129532,0.9987524897306588,0.010674065835866884,20000.0,46251.86666666667,6.2731294399454445,1.0
