t,total_subsystems,site_subsystems,interface_subsystems,n_links,mean_degree,hilbert_log2_dim,frontier_radius,volume_proxy,density,energy_remaining,energy_density,creation_rate_modifier,births_attempted,births_accepted,births_reject_lightcone,births_reject_exclusion,births_reject_energy,links_added_from_births,random_links_attempts,random_links_added
0,4,2,2,1,1.0,6.339850002884624,0.0,0.031415926535897934,21.768356497544453,0.0,0.0,1.0,0,0,0,0,0,0,0,0
1,4,2,2,1,1.0,6.339850002884624,0.1710122578205894,0.09187648136071307,21.768356497544453,0.0,0.0,1.0,0,0,0,0,0,0,4,0
2,4,2,2,1,1.0,6.339850002884624,0.1710122578205894,0.09187648136071307,21.768356497544453,0.0,0.0,1.0,0,0,0,0,0,0,4,0
3,4,2,2,1,1.0,6.339850002884624,0.1710122578205894,0.09187648136071307,21.768356497544453,0.0,0.0,1.0,0,0,0,0,0,0,4,0
4,4,2,2,1,1.0,6.339850002884624,0.1710122578205894,0.09187648136071307,21.768356497544453,0.0,0.0,1.0,0,0,0,0,0,0,4,0
5,4,2,2,1,1.0,6.339850002884624,0.1710122578205894,0.09187648136071307,21.768356497544453,0.0,0.0,1.0,0,0,0,0,0,0,4,0
6,4,2,2,1,1.0,6.339850002884624,0.1710122578205894,0.09187648136071307,21.768356497544453,0.0,0.0,1.0,0,0,0,0,0,0,4,0
7,4,2,2,1,1.0,6.339850002884624,0.1710122578205894,0.09187648136071307,21.768356497544453,0.0,0.0,1.0,0,0,0,0,0,0,4,0
8,4,2,2,1,1.0,6.339850002884624,0.1710122578205894,0.09187648136071307,21.768356497544453,0.0,0.0,1.0,0,0,0,0,0,0,4,0
9,7,3,4,2,1.3333333333333333,11.094737505048093,0.5793860916386386,1.0545957186842512,2.844691996040815,0.0,0.0,1.0,1,1,0,0,0,1,6,0
10,7,3,4,2,1.3333333333333333,11.094737505048093,0.5793860916386386,1.0545957186842512,2.844691996040815,0.0,0.0,1.0,0,0,0,0,0,0,6,0
11,7,3,4,2,1.3333333333333333,11.094737505048093,0.5793860916386386,1.0545957186842512,2.844691996040815,0.0,0.0,1.0,0,0,0,0,0,0,6,0
