t,total_subsystems,site_subsystems,interface_subsystems,n_links,mean_degree,hilbert_log2_dim,frontier_radius,volume_proxy,density,energy_remaining,energy_density,creation_rate_modifier,births_attempted,births_accepted,births_reject_lightcone,births_reject_exclusion,births_reject_energy,links_added_from_births,random_links_attempts,random_links_added
0,4,2,2,1,1.0,6.339850002884624,0.0,0.031415926535897934,13.240337070435736,0.0,0.0,1.0,0,0,0,0,0,0,0,0
1,4,2,2,1,1.0,6.339850002884624,0.21927571750438718,0.1510535562169174,13.240337070435736,0.0,0.0,1.0,0,0,0,0,0,0,4,0
2,4,2,2,1,1.0,6.339850002884624,0.21927571750438718,0.1510535562169174,13.240337070435736,0.0,0.0,1.0,0,0,0,0,0,0,4,0
3,4,2,2,1,1.0,6.339850002884624,0.21927571750438718,0.1510535562169174,13.240337070435736,0.0,0.0,1.0,0,0,0,0,0,0,4,0
4,4,2,2,1,1.0,6.339850002884624,0.21927571750438718,0.1510535562169174,13.240337070435736,0.0,0.0,1.0,0,0,0,0,0,0,4,0
5,7,3,4,2,1.3333333333333333,11.094737505048093,0.5672674815849863,1.0109406261983684,2.967533327136598,0.0,0.0,1.0,1,1,0,0,0,1,6,0
6,7,3,4,2,1.3333333333333333,11.094737505048093,0.5672674815849863,1.0109406261983684,2.967533327136598,0.0,0.0,1.0,0,0,0,0,0,0,6,0
7,7,3,4,2,1.3333333333333333,11.094737505048093,0.5672674815849863,1.0109406261983684,2.967533327136598,0.0,0.0,1.0,0,0,0,0,0,0,6,0
8,7,3,4,2,1.3333333333333333,11.094737505048093,0.5672674815849863,1.0109406261983684,2.967533327136598,0.0,0.0,1.0,0,0,0,0,0,0,6,0
9,10,4,6,3,1.5,15.84962500721156,0.7818626826167725,1.9204846629103085,2.0828075731354123,0.0,0.0,1.0,1,1,0,0,0,1,8,0
10,10,4,6,3,1.5,15.84962500721156,0.7818626826167725,1.9204846629103085,2.0828075731354123,0.0,0.0,1.0,0,0,0,0,0,0,8,0
11,10,4,6,3,1.5,15.84962500721156,0.7818626826167725,1.9204846629103085,2.0828075731354123,0.0,0.0,1.0,0,0,0,0,0,0,8,0
12,10,4,6,3,1.5,15.84962500721156,0.7818626826167725,1.9204846629103085,2.0828075731354123,0.0,0.0,1.0,0,0,0,0,0,0,8,0
13,13,5,8,4,1.6,20.604512509375027,0.7818626826167725,1.9204846629103085,2.6035094664192653,0.0,0.0,1.0,1,1,0,0,0,1,10,0
14,13,5,8,4,1.6,20.604512509375027,0.7818626826167725,1.9204846629103085,2.6035094664192653,0.0,0.0,1.0,0,0,0,0,0,0,10,0
15,13,5,8,4,1.6,20.604512509375027,0.7818626826167725,1.9204846629103085,2.6035094664192653,0.0,0.0,1.0,0,0,0,0,0,0,10,0
16,15,5,10,5,2.0,23.774437510817343,0.7818626826167725,1.9204846629103085,2.6035094664192653,0.0,0.0,1.0,0,0,0,0,0,0,10,1
17,16,6,10,5,1.6666666666666667,25.359400011538497,0.7818626826167725,1.9204846629103085,3.1242113597031183,0.0,0.0,1.0,1,1,0,0,0,0,12,0
18,16,6,10,5,1.6666666666666667,25.359400011538497,0.7818626826167725,1.9204846629103085,3.1242113597031183,0.0,0.0,1.0,0,0,0,0,0,0,12,0
19,19,7,12,6,1.7142857142857142,30.114287513701967,0.8984910122587022,2.5361640783080923,2.7600737901270924,0.0,0.0,1.0,1,1,0,0,0,1,14,0
20,20,8,12,6,1.5,31.69925001442312,0.8984910122587022,2.5361640783080923,3.154370045859534,0.0,0.0,1.0,1,1,0,0,0,0,16,0
21,20,8,12,6,1.5,31.69925001442312,0.8984910122587022,2.5361640783080923,3.154370045859534,0.0,0.0,1.0,0,0,0,0,0,0,16,0
22,20,8,12,6,1.5,31.69925001442312,0.8984910122587022,2.5361640783080923,3.154370045859534,0.0,0.0,1.0,0,0,0,0,0,0,16,0
23,20,8,12,6,1.5,31.69925001442312,0.8984910122587022,2.5361640783080923,3.154370045859534,0.0,0.0,1.0,0,0,0,0,0,0,16,0
24,20,8,12,6,1.5,31.69925001442312,0.8984910122587022,2.5361640783080923,3.154370045859534,0.0,0.0,1.0,0,0,0,0,0,0,16,0
25,22,8,14,7,1.75,34.86917501586544,0.8984910122587022,2.5361640783080923,3.154370045859534,0.0,0.0,1.0,0,0,0,0,0,0,16,1
26,23,9,14,7,1.5555555555555556,36.45413751658659,0.8984910122587022,2.5361640783080923,3.5486663015919757,0.0,0.0,1.0,1,1,0,0,0,0,18,0
27,23,9,14,7,1.5555555555555556,36.45413751658659,0.8984910122587022,2.5361640783080923,3.5486663015919757,0.0,0.0,1.0,0,0,0,0,0,0,18,0
28,23,9,14,7,1.5555555555555556,36.45413751658659,0.8984910122587022,2.5361640783080923,3.5486663015919757,0.0,0.0,1.0,0,0,0,0,0,0,18,0
29,23,9,14,7,1.5555555555555556,36.45413751658659,0.8984910122587022,2.5361640783080923,3.5486663015919757,0.0,0.0,1.0,0,0,0,0,0,0,18,0
30,25,9,16,8,1.7777777777777777,39.6240625180289,0.8984910122587022,2.5361640783080923,3.5486663015919757,0.0,0.0,1.0,0,0,0,0,0,0,18,1
31,28,10,18,9,1.8,44.37895002019237,1.0739526324508193,3.6234320918392444,2.7598143822046977,0.0,0.0,1.0,1,1,0,0,0,1,20,0
32,32,12,20,10,1.6666666666666667,50.718800023076994,1.0739526324508193,3.6234320918392444,3.311777258645637,0.0,0.0,1.0,2,2,0,0,0,1,24,0
33,34,12,22,11,1.8333333333333333,53.88872502451931,1.0739526324508193,3.6234320918392444,3.311777258645637,0.0,0.0,1.0,0,0,0,0,0,0,24,1
34,34,12,22,11,1.8333333333333333,53.88872502451931,1.0739526324508193,3.6234320918392444,3.311777258645637,0.0,0.0,1.0,0,0,0,0,0,0,24,0
35,34,12,22,11,1.8333333333333333,53.88872502451931,1.0739526324508193,3.6234320918392444,3.311777258645637,0.0,0.0,1.0,0,0,0,0,0,0,24,0
36,37,13,24,12,1.8461538461538463,58.64361252668277,1.0739526324508193,3.6234320918392444,3.587758696866107,0.0,0.0,1.0,1,1,0,0,0,1,26,0
37,44,16,28,14,1.75,69.73835003173087,1.2953988711854652,5.271775424843934,3.0350306510777942,0.0,0.0,1.0,3,3,0,0,0,2,32,0
38,48,18,30,15,1.6666666666666667,76.07820003461549,1.4483619001089827,6.590282880739903,2.731293986272575,0.0,0.0,1.0,2,2,0,0,0,1,36,0
39,52,18,34,17,1.8888888888888888,82.41805003750011,1.4483619001089827,6.590282880739903,2.731293986272575,0.0,0.0,1.0,0,0,0,0,0,0,36,2
40,54,18,36,18,2.0,85.58797503894243,1.4483619001089827,6.590282880739903,2.731293986272575,0.0,0.0,1.0,1,0,0,1,0,0,36,1
41,54,18,36,18,2.0,85.58797503894243,1.4483619001089827,6.590282880739903,2.731293986272575,0.0,0.0,1.0,0,0,0,0,0,0,36,0
42,56,18,38,19,2.111111111111111,88.75790004038474,1.4483619001089827,6.590282880739903,2.731293986272575,0.0,0.0,1.0,0,0,0,0,0,0,36,1
43,59,19,40,20,2.1052631578947367,93.51278754254821,1.4483619001089827,6.590282880739903,2.883032541065496,0.0,0.0,1.0,4,1,0,3,0,1,38,0
44,60,20,40,20,2.0,95.09775004326937,1.4483619001089827,6.590282880739903,3.034771095858417,0.0,0.0,1.0,1,1,0,0,0,0,40,0
45,61,21,40,20,1.9047619047619047,96.68271254399052,1.4483619001089827,6.590282880739903,3.1865096506513377,0.0,0.0,1.0,3,1,0,2,0,0,42,0
46,61,21,40,20,1.9047619047619047,96.68271254399052,1.4483619001089827,6.590282880739903,3.1865096506513377,0.0,0.0,1.0,0,0,0,0,0,0,42,0
47,66,24,42,21,1.75,104.6075250475963,1.5862393452028007,7.904734880953692,3.036154957938886,0.0,0.0,1.0,3,3,0,0,0,1,48,0
48,67,25,42,21,1.68,106.19248754831744,1.5862393452028007,7.904734880953692,3.1626614145196728,0.0,0.0,1.0,1,1,0,0,0,0,50,0
49,70,26,44,22,1.6923076923076923,110.94737505048093,1.5862393452028007,7.904734880953692,3.2891678711004597,0.0,0.0,1.0,1,1,0,0,0,1,52,0
50,76,28,48,24,1.7142857142857142,120.45715005480787,1.5862393452028007,7.904734880953692,3.5421807842620336,0.0,0.0,1.0,2,2,0,0,0,2,56,0
51,77,29,48,24,1.6551724137931034,122.04211255552902,1.5862393452028007,7.904734880953692,3.6686872408428206,0.0,0.0,1.0,3,1,0,2,0,0,58,0
52,78,30,48,24,1.6,123.62707505625018,1.5862393452028007,7.904734880953692,3.7951936974236076,0.0,0.0,1.0,1,1,0,0,0,0,60,0
53,83,31,52,26,1.6774193548387097,131.55188755985594,1.5862393452028007,7.904734880953692,3.921700154004394,0.0,0.0,1.0,2,1,0,1,0,1,62,1
54,83,31,52,26,1.6774193548387097,131.55188755985594,1.5862393452028007,7.904734880953692,3.921700154004394,0.0,0.0,1.0,2,0,0,2,0,0,62,0
55,87,33,54,27,1.6363636363636365,137.8917375627406,1.6824265206635711,8.892463351885269,3.7110077032821005,0.0,0.0,1.0,2,2,0,0,0,0,66,1
56,88,34,54,27,1.588235294117647,139.47670006346175,1.6824265206635711,8.892463351885269,3.823462482169437,0.0,0.0,1.0,3,1,0,2,0,0,68,0
57,92,36,56,28,1.5555555555555556,145.81655006634637,1.6824265206635711,8.892463351885269,4.04837203994411,0.0,0.0,1.0,3,2,0,1,0,1,72,0
58,97,37,60,30,1.6216216216216217,153.74136256995214,1.6824265206635711,8.892463351885269,4.160826818831446,0.0,0.0,1.0,3,1,0,2,0,0,74,2
59,100,38,62,31,1.631578947368421,158.49625007211563,1.6824265206635711,8.892463351885269,4.273281597718783,0.0,0.0,1.0,1,1,0,0,0,1,76,0
60,103,39,64,32,1.641025641025641,163.25113757427908,1.6824265206635711,8.892463351885269,4.385736376606118,0.0,0.0,1.0,3,1,0,2,0,0,78,1
61,108,40,68,34,1.7,171.17595007788486,1.936733716190235,11.78391765457848,3.394456849794648,0.0,0.0,1.0,2,1,0,1,0,1,80,1
