t,mean_HIP,mean_edge_perm,mean_rank_spearman,mean_topk_overlap
0.2,9.226253529292029e-05,0.10969942047676357,1.0,1.0
0.5,0.0006839515345760349,0.25911824907153824,0.9030303030303031,0.6666666666666666
1.0,0.001861126241397929,0.4297107574384174,0.8303030303030303,0.6666666666666666
2.0,0.004007243280156393,0.4517396702614675,0.5515151515151515,0.3333333333333333
