t,captures_total,captures_in,captures_out,M_total,M_in,M_out,frac_M_in_cum,frac_M_out_cum,delta_cum,frac_M_in_roll,frac_M_out_roll,delta_roll,locked_like,mean_edge_mem,mean_theta_step
0,24,13,11,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,18,6,12,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16557017543859648,0.028792232790281033,0.0027133709761569566
2,23,2,21,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.15789473684210525,0.07451452239058967,0.004309388384652871
3,17,3,14,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.15021929824561403,0.14207148730986977,0.006369966802986523
4,25,4,21,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.22807017543859648,0.21861344892611756,0.0072340762105327855
5,31,5,26,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.20065789473684212,0.30071242716389096,0.0077973281230013175
6,17,2,15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.18640350877192982,0.3806765977928348,0.007621336028217815
7,20,6,14,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.15460526315789475,0.4561690229805523,0.007250821334700693
8,17,1,16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1513157894736842,0.5259834633725974,0.0067424753237442505
9,24,4,20,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.15021929824561403,0.5892450045469777,0.006192541495953938
10,25,6,19,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16447368421052633,0.6509161756083091,0.006076391558319683
11,22,3,19,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.17982456140350878,0.7115327940424462,0.006057787631720762
12,30,6,24,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.15021929824561403,0.7675690243456547,0.005725011055437281
13,32,5,27,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.15460526315789475,0.823076224961256,0.005749939263174367
14,15,1,14,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.15021929824561403,0.8759681333886268,0.005578083207007249
15,22,3,19,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1524122807017544,0.9250155558217105,0.005278280962337247
16,24,5,19,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.15021929824561403,0.9711049522289291,0.005058029760182833
17,17,1,16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.15021929824561403,1.0152322174880821,0.0049354398702262945
18,26,4,22,1,0,1,0.0,0.0028653295128939745,-0.0028653295128939745,0.0,0.0028653295128939745,-0.0028653295128939745,0.1513157894736842,1.0560026840619552,0.004678019691372585
19,20,5,15,0,0,0,0.0,0.0027472527472527397,-0.0027472527472527397,0.0,0.0027472527472527397,-0.0027472527472527397,0.1513157894736842,1.0940998940757258,0.004479960488503281
20,26,5,21,1,1,0,0.011111111111110988,0.0025974025974025905,0.008513708513708397,0.011111111111110988,0.0025974025974025905,0.008513708513708397,0.15021929824561403,1.1313695430424509,0.004455167811180633
21,19,3,16,0,0,0,0.010752688172042895,0.002493765586034906,0.008258922586007989,0.010752688172042895,0.002493765586034906,0.008258922586007989,0.15021929824561403,1.1675834848328424,0.004395149635137111
22,21,6,15,0,0,0,0.01010101010101,0.002403846153846148,0.007697163947163852,0.01010101010101,0.002403846153846148,0.007697163947163852,0.15021929824561403,1.2014067677590938,0.004224318569956282
23,24,1,23,0,0,0,0.009999999999999901,0.002277904328018218,0.007722095671981684,0.009999999999999901,0.002277904328018218,0.007722095671981684,0.15021929824561403,1.2325003442606444,0.004007879325093379
24,21,2,19,0,0,0,0.009803921568627355,0.002183406113537113,0.007620515455090243,0.009803921568627355,0.002183406113537113,0.007620515455090243,0.15021929824561403,1.2628491530906543,0.003987292695057451
25,23,6,17,0,0,0,0.009259259259259174,0.0021052631578947325,0.007153996101364441,0.009259259259259174,0.0021052631578947325,0.007153996101364441,0.15021929824561403,1.2914566513939736,0.0038718159176270653
26,30,7,23,1,0,1,0.008695652173912969,0.004016064257028104,0.004679587916884865,0.008695652173912969,0.004016064257028104,0.004679587916884865,0.15021929824561403,1.318590678351348,0.0037683355928087494
27,24,6,18,0,0,0,0.008264462809917288,0.003875968992248054,0.004388493817669234,0.008264462809917288,0.003875968992248054,0.004388493817669234,0.15021929824561403,1.344904308299172,0.0037415818644607134
28,23,3,20,1,0,1,0.008064516129032194,0.005597014925373124,0.00246750120365907,0.008064516129032194,0.005597014925373124,0.00246750120365907,0.15021929824561403,1.3695563462466993,0.0036240448980229024
29,24,4,20,1,0,1,0.007812499999999939,0.007194244604316533,0.000618255395683406,0.007812499999999939,0.007194244604316533,0.000618255395683406,0.15021929824561403,1.3938807189278568,0.003632860612090889
30,15,3,12,0,0,0,0.0076335877862594844,0.007042253521126748,0.0005913342651327367,0.0076335877862594844,0.007042253521126748,0.0005913342651327367,0.15021929824561403,1.4167409917646645,0.0035350893709110757
31,23,4,19,0,0,0,0.007407407407407353,0.006814310051107313,0.0005930973563000397,0.007407407407407353,0.006814310051107313,0.0005930973563000397,0.15021929824561403,1.4387937025734432,0.0034944209470139454
32,20,2,18,1,0,1,0.007299270072992648,0.008264462809917342,-0.0009651927369246941,0.007299270072992648,0.008264462809917342,-0.0009651927369246941,0.15021929824561403,1.459785378516872,0.003429400203472576
33,16,1,15,0,0,0,0.007246376811594151,0.008064516129032244,-0.000818139317438093,0.007246376811594151,0.008064516129032244,-0.000818139317438093,0.15021929824561403,1.4802665313046248,0.003414925266684977
34,23,6,17,1,0,1,0.006944444444444396,0.009419152276295119,-0.0024747078318507225,0.006944444444444396,0.009419152276295119,-0.0024747078318507225,0.15021929824561403,1.5003472528091872,0.0034081431743002706
35,26,5,21,0,0,0,0.00671140939597311,0.009118541033434636,-0.002407131637461526,0.00671140939597311,0.009118541033434636,-0.002407131637461526,0.15021929824561403,1.520110079333059,0.003407637006716599
36,20,3,17,0,0,0,0.00657894736842101,0.008888888888888875,-0.0023099415204678652,0.00657894736842101,0.008888888888888875,-0.0023099415204678652,0.15021929824561403,1.539625262514612,0.003411855923461785
37,11,2,9,0,0,0,0.0064935064935064514,0.008771929824561391,-0.0022784233310549394,0.0064935064935064514,0.008771929824561391,-0.0022784233310549394,0.15021929824561403,1.5583424566802946,0.003364143232433244
38,18,4,14,1,0,1,0.006329113924050593,0.010028653295128925,-0.003699539371078332,0.006329113924050593,0.010028653295128925,-0.003699539371078332,0.15021929824561403,1.5760258081990732,0.0032914270432374748
39,31,7,24,1,0,1,0.006060606060606024,0.011080332409972284,-0.005019726349366259,0.006060606060606024,0.011080332409972284,-0.005019726349366259,0.15021929824561403,1.5936025454796292,0.003303872389384556
40,15,2,13,0,0,0,0.005988023952095772,0.010884353741496584,-0.004896329789400812,0.005988023952095772,0.010884353741496584,-0.004896329789400812,0.15021929824561403,1.6110867368854007,0.0033160070497608787
41,18,3,15,0,0,0,0.005882352941176436,0.010666666666666652,-0.004784313725490217,0.005882352941176436,0.010666666666666652,-0.004784313725490217,0.15021929824561403,1.628323039062103,0.003312488700229721
42,24,3,21,1,0,1,0.005780346820809215,0.011673151750972747,-0.005892804930163532,0.005780346820809215,0.011673151750972747,-0.005892804930163532,0.15021929824561403,1.6450793350031072,0.0032858679767335942
43,22,4,18,0,0,0,0.005649717514124262,0.011406844106463863,-0.005757126592339601,0.005649717514124262,0.011406844106463863,-0.005757126592339601,0.15021929824561403,1.6617702442167042,0.0032961388081198103
44,28,4,24,0,0,0,0.005524861878453008,0.011070110701106996,-0.005545248822653988,0.005524861878453008,0.011070110701106996,-0.005545248822653988,0.15021929824561403,1.678223290543141,0.003288888838334163
45,18,4,14,0,0,0,0.005405405405405376,0.01088270858524787,-0.005477303179842494,0.005405405405405376,0.01088270858524787,-0.005477303179842494,0.15021929824561403,1.6950880209989447,0.0033400886874188065
46,21,3,18,0,0,0,0.005319148936170185,0.010650887573964485,-0.0053317386377943,0.005319148936170185,0.010650887573964485,-0.0053317386377943,0.15021929824561403,1.7116508471890561,0.0033238616731340247
47,24,5,19,0,0,0,0.005181347150259041,0.010416666666666654,-0.005235319516407613,0.005181347150259041,0.010416666666666654,-0.005235319516407613,0.15021929824561403,1.7280568976799542,0.003319561846621772
48,14,1,13,0,0,0,0.005154639175257706,0.01026225769669326,-0.005107618521435555,0.005154639175257706,0.01026225769669326,-0.005107618521435555,0.15021929824561403,1.7438105192159303,0.00326762829487309
49,26,6,20,0,0,0,0.004999999999999975,0.0100334448160535,-0.005033444816053525,0.004999999999999975,0.0100334448160535,-0.005033444816053525,0.15021929824561403,1.7586849771180728,0.0031930742099115926
50,20,3,17,0,0,0,0.004926108374384212,0.0098468271334792,-0.004920718759094988,0.004926108374384212,0.0098468271334792,-0.004920718759094988,0.15021929824561403,1.7731192172352646,0.0031575408977332644
51,24,3,21,0,0,0,0.004854368932038811,0.009625668449197851,-0.00477129951715904,0.004854368932038811,0.009625668449197851,-0.00477129951715904,0.15021929824561403,1.7870089833317393,0.003110754743832152
52,26,1,25,0,0,0,0.0048309178743961125,0.00937499999999999,-0.004544082125603877,0.0048309178743961125,0.00937499999999999,-0.004544082125603877,0.15021929824561403,1.8009620219552853,0.003118659326694949
