t,captures_total,captures_in,captures_out,M_total,M_in,M_out,frac_M_in_cum,frac_M_out_cum,delta_cum,frac_M_in_roll,frac_M_out_roll,delta_roll,locked_like,mean_edge_mem,mean_theta_step
0,27,9,18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,24,6,18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.20238095238095238,0.03512454620179674,0.0032861704073695527
2,33,6,27,2,0,2,0.0,0.03174603174603124,-0.03174603174603124,0.0,0.03174603174603124,-0.03174603174603124,0.18722943722943722,0.08802655098010126,0.004944836811408965
3,24,6,18,1,1,0,0.03703703703703567,0.024691358024691055,0.012345679012344613,0.03703703703703567,0.024691358024691055,0.012345679012344613,0.16883116883116883,0.1598036548407273,0.006688737141952907
4,15,2,13,0,0,0,0.03448275862068847,0.021276595744680625,0.013206162876007843,0.03448275862068847,0.021276595744680625,0.013206162876007843,0.15692640692640691,0.24296621934171145,0.007785128859983278
5,27,8,19,0,0,0,0.027027027027026296,0.01769911504424763,0.009327911982778665,0.027027027027026296,0.01769911504424763,0.009327911982778665,0.15151515151515152,0.32463889085023845,0.007664583668804894
6,28,6,22,1,1,0,0.04651162790697566,0.014814814814814706,0.03169681309216096,0.04651162790697566,0.014814814814814706,0.03169681309216096,0.17857142857142858,0.40881108842630165,0.00798486165005047
7,27,5,22,0,0,0,0.0416666666666658,0.012738853503184632,0.028927813163481163,0.0416666666666658,0.012738853503184632,0.028927813163481163,0.17532467532467533,0.49180121324771736,0.007870538219064015
8,17,3,14,0,0,0,0.03921568627450903,0.01169590643274847,0.027519779841760565,0.03921568627450903,0.01169590643274847,0.027519779841760565,0.18614718614718614,0.5694428351113057,0.007422235866766289
9,14,3,11,0,0,0,0.03703703703703635,0.01098901098901093,0.02604802604802542,0.03703703703703635,0.01098901098901093,0.02604802604802542,0.19696969696969696,0.639522724440907,0.006819715113994003
10,16,5,11,0,0,0,0.03389830508474519,0.010362694300518081,0.023535610784227105,0.03389830508474519,0.010362694300518081,0.023535610784227105,0.1525974025974026,0.7039630053507259,0.006284966207858481
11,24,3,21,2,1,1,0.04838709677419277,0.014018691588784982,0.03436840518540779,0.04838709677419277,0.014018691588784982,0.03436840518540779,0.1525974025974026,0.7611205601420018,0.005632012229351095
12,15,2,13,2,1,1,0.06249999999999903,0.01762114537444926,0.04487885462554977,0.06249999999999903,0.01762114537444926,0.04487885462554977,0.1525974025974026,0.811641963005435,0.0051089827071157225
13,25,4,21,1,1,0,0.0735294117647048,0.01612903225806445,0.057400379506640356,0.0735294117647048,0.01612903225806445,0.057400379506640356,0.15043290043290045,0.8588710603070213,0.0048643094611219235
