seed,label,spatial_dim,energy_gamma,energy_total,energy_cost,bandwidth,no_signaling,spatial_exclusion,exclusion_radius,interaction_rate,spawn_rate,nsteps,max_subsystems,N_final,R_final,E_final,modifier_final,fit_type,alpha,power_r2,exp_rate,exp_r2,frontier_speed,frontier_r2,fit_t_start,fit_t_end
0,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,279.0,7.809287870351898,0.0,1.0,power_law,0.9409053033443644,0.988642377138803,0.004797931344219825,0.9510756241230387,0.016370069936221587,0.9735840655424163,57,400
1,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,274.0,7.409608133981143,0.0,1.0,power_law,1.6426822561082661,0.9282058079016924,0.0077868202148369675,0.7716441145925763,0.02134889340540826,0.8751397419185656,57,400
2,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,194.0,6.058643798747582,0.0,1.0,power_law,0.8960953748516014,0.9928733173096668,0.004492674202257929,0.9233254851464354,0.012198425000658307,0.9406166364179323,57,400
3,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,220.0,8.077599015078977,0.0,1.0,power_law,1.0583767680308518,0.9953224766186006,0.005298325870612028,0.9228266969161564,0.01981872568807075,0.9683348730715514,57,400
4,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,230.0,6.0327009426573825,0.0,1.0,power_law,1.6883567465106175,0.9513366068575203,0.008192463202972726,0.8286943453832646,0.018084171084195803,0.9649733970139598,57,400
5,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,347.0,9.147948135311664,0.0,1.0,power_law,0.8867937456015017,0.9788464961613924,0.00456829912640776,0.9610323730730437,0.01932727641060925,0.9671695687437467,57,400
6,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,284.0,11.217185692130403,0.0,1.0,power_law,1.2006899917997813,0.9959550354107338,0.006094991608057515,0.9494755325882429,0.027441241965420943,0.9785393756421704,57,400
7,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,217.0,6.0446652959408285,0.0,1.0,power_law,1.080208047203542,0.9838478254472629,0.005405219758285695,0.9113798617687934,0.014982853535927277,0.9139586557460821,57,400
8,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,240.0,7.662328243798335,0.0,1.0,power_law,1.264502316494386,0.9916135333228777,0.006283910937414685,0.9059888070550388,0.020288380385796563,0.9750495983093076,57,400
9,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,279.0,7.018429161762453,0.0,1.0,power_law,1.096723354042776,0.9949184014782344,0.00555250978749185,0.9434775031903431,0.015226442125885298,0.9721738062323835,57,400
10,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,261.0,8.160625880084469,0.0,1.0,power_law,1.0280982678929194,0.9943098906697657,0.005207642472531692,0.9438314151420035,0.018364745577031633,0.9752221517010516,57,400
11,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,204.0,7.449988087236818,0.0,1.0,exponential,1.034066855028269,0.941462906730444,0.005494871100432698,0.9835141202653156,0.016397747939845927,0.9531819278400195,57,400
12,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,256.0,7.078517102370665,0.0,1.0,power_law,1.0892128110957646,0.9887820970628878,0.005501913620430217,0.9333880828338518,0.015156980003806478,0.9686022711508719,57,400
13,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,237.0,6.477236784763312,0.0,1.0,power_law,0.7651412088711125,0.9780960071915009,0.003834555797074571,0.9088412431318732,0.009615718902190417,0.9065951986313705,57,400
14,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,286.0,9.69946467848057,0.0,1.0,power_law,1.0507246385043358,0.9889025480100292,0.005326494621009229,0.9401956823283492,0.02402119098229794,0.9835732970687423,57,400
15,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,400,6000,246.0,7.60622931414487,0.0,1.0,power_law,0.8323931751764535,0.9483608067537962,0.004053543108764705,0.8320430001593085,0.012465356191573296,0.8294577287889727,57,400
