t,S,L_flow,P,gini_flow,top10_flow,gini_mem,top10_mem,norm
0,6,0.4600000000000001,0.07666666666666667,0.9853316326530612,0.43478260869565205,0.9853316326530612,0.43478260869565205,0.9999999999999999
1,5,0.570767023098317,0.11415340461966339,0.9757353165278043,0.33996452030018093,0.9800129567391186,0.38223204843230557,1.0
2,2,0.45202603562752885,0.22601301781376443,0.9649743111016282,0.3142286586121411,0.9752670921470373,0.35769453106715454,1.0000000000000002
3,1,0.3832940717069001,0.3832940717069001,0.9579188988036063,0.316457819104896,0.9713149685367759,0.3437062749995835,1.0000000000000002
4,2,0.3595588252052201,0.17977941260261004,0.9534909706375042,0.3331385668842868,0.9677682085030482,0.3342071937025604,1.0000000000000004
5,2,0.3606703874041093,0.18033519370205464,0.9488879809025809,0.33429515027812146,0.9643994337545493,0.3273256438586501,1.0000000000000004
6,4,0.3731739971090895,0.09329349927727237,0.9439164595228925,0.32658732574427923,0.9611155425963157,0.3208924228961094,1.0000000000000004
7,5,0.3901742008304776,0.07803484016609552,0.939142562202933,0.3152372068256377,0.9578681984386391,0.31459171449926016,1.0000000000000002
8,6,0.40989741004246105,0.06831623500707684,0.9343575258263155,0.3031904871915702,0.9546435143011023,0.30878530211054545,1.0000000000000004
9,8,0.4312259891578942,0.05390324864473677,0.9296278893615655,0.291163390691416,0.9514441562172218,0.30344757222287294,0.9999999999999999
10,10,0.45373086280843106,0.045373086280843106,0.9249192733117948,0.27896881097292636,0.948250553449938,0.29795173534718256,1.0000000000000002
11,12,0.47717534346454604,0.03976461195537884,0.9201966931852937,0.26698612575279684,0.945065973235512,0.2931883070006772,0.9999999999999999
12,15,0.5013919464953568,0.03342612976635712,0.9153991729678838,0.25542240217763107,0.9418637672300495,0.28857701700993066,1.0
13,17,0.5262642917062351,0.030956723041543243,0.910515406793097,0.24437804980597214,0.9386372516013888,0.28368211115576214,1.0000000000000002
14,20,0.5516787982490817,0.027583939912454086,0.9055120191887059,0.23390323513971972,0.9353866221237401,0.27895736997454945,0.9999999999999996
