label,spatial_dim,energy_gamma,valid_alpha_fraction,alpha_mean,alpha_std,alpha_ci_lo,alpha_ci_hi,power_r2_mean,frontier_speed_mean,frontier_r2_mean,siteN_final_mean,R_final_mean,saturation_rate
v2_dim1,1,0.0,1.0,0.5327372489307635,0.01842759777965333,0.5264561020620371,0.539381380179892,0.998872660114974,0.729792238887123,0.9898797355997124,761.5333333333333,702.5528788536753,0.0
v2_dim2,2,0.0,1.0,0.849193269148754,0.042946914726649923,0.8341922406263766,0.8648835666301552,0.9988973431897463,0.04395829986913,0.9683547845953789,35893.36666666667,71.06945424462455,0.0
v2_dim3,3,0.0,1.0,0.9850445634752045,0.025138359370694707,0.9760367131115993,0.9940588940021164,0.9993556595274538,0.017001787794696608,0.9197234633578211,108606.4,38.838785574477164,0.0
