seed,label,spatial_dim,energy_gamma,energy_total,energy_cost,bandwidth,no_signaling,spatial_exclusion,exclusion_radius,interaction_rate,spawn_rate,nsteps,max_subsystems,siteN_final,totalN_final,R_final,E_final,modifier_final,fit_type,alpha_site,power_r2,exp_rate,exp_r2,frontier_speed,frontier_r2,fit_t_start,fit_t_end,saturated,sat_t_index
0,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,84.0,340.0,9.317465589861987,0.0,1.0,power_law,0.9011915254596675,0.9810658858250763,0.0036295545935279686,0.9187336760552327,0.01678651400544891,0.9852542148787622,71,500,0,-1
1,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,83.0,335.0,9.12518060195684,0.0,1.0,power_law,1.2221272710120592,0.9453954522893855,0.004679140918197016,0.8000771751391144,0.016631045680529793,0.8613141667420279,71,500,0,-1
2,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,67.0,269.0,7.752616954030227,0.0,1.0,power_law,0.895918615129872,0.9915074312967145,0.0036515508623747917,0.9508949797988694,0.013745809224240558,0.9558572696534797,71,500,0,-1
3,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,68.0,284.0,9.724443514150456,0.0,1.0,power_law,0.949298709118655,0.9898451703906587,0.0038058444898654087,0.9185071855921256,0.01758185880078397,0.9645753559502925,71,500,0,-1
4,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,74.0,306.0,8.093159062515811,0.0,1.0,power_law,1.3810339419829676,0.9865732458349823,0.005505745372690342,0.905256948484617,0.017268110117520233,0.9746391649747779,71,500,0,-1
5,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,103.0,429.0,10.625518838567908,0.0,1.0,power_law,0.8289060140066945,0.9780861366162791,0.0034061762492991654,0.9534979152179948,0.019574792093536353,0.9815421624354354,71,500,0,-1
6,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,93.0,375.0,12.8024922524824,0.0,1.0,power_law,1.1434438086294954,0.9926598680268702,0.0046544367711627245,0.9495636314577723,0.026171404615768223,0.9833560740085476,71,500,0,-1
7,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,68.0,282.0,7.949007653756141,0.0,1.0,power_law,1.007805465664736,0.9769627191423148,0.00397010589647842,0.8752814970822332,0.015469789488915428,0.9501998983849284,71,500,0,-1
8,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,66.0,274.0,8.4835200646403,0.0,1.0,power_law,0.9855759426854227,0.9756315739836537,0.0038600916797886377,0.8640122318130325,0.017039858108277045,0.9494846147398807,71,500,0,-1
9,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,76.0,322.0,8.119374430514627,0.0,1.0,power_law,0.9326110287151304,0.989520655800868,0.0037226104451666122,0.9102023378535666,0.014202685469398773,0.9761604829384665,71,500,0,-1
10,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,79.0,321.0,9.112977765227019,0.0,1.0,power_law,1.0302757530623068,0.9903275160243696,0.00409522942452463,0.9033319162624238,0.01840099141238179,0.9843821058091178,71,500,0,-1
11,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,66.0,268.0,8.175850320722066,0.0,1.0,exponential,1.1562167317588143,0.9621996087099914,0.004863470545835877,0.9828749112732944,0.01737747283717117,0.9722418024687938,71,500,0,-1
12,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,84.0,332.0,8.820184400085893,0.0,1.0,power_law,1.0423353345458115,0.9925808762258415,0.0042385187077141305,0.9475413789475249,0.016168055982958146,0.9799862345071537,71,500,0,-1
13,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,64.0,268.0,7.323703547931367,0.0,1.0,power_law,0.7672523114165669,0.9790194758434816,0.00310748417045025,0.9271537593268657,0.010652658817647926,0.9466189892203686,71,500,0,-1
14,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,84.0,348.0,10.464304040310802,0.0,1.0,power_law,0.9960453662907425,0.9888377482522558,0.003967782801411267,0.9059027382864341,0.022415036718858,0.9803964049739182,71,500,0,-1
15,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,72.0,294.0,9.19234147989529,0.0,1.0,power_law,0.7666807424702953,0.9632365427220501,0.0030948427457232093,0.9061498170791723,0.01394369733545086,0.9058837479247803,71,500,0,-1
16,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,58.0,236.0,6.594745992559794,0.0,1.0,power_law,0.9139447741355867,0.9839005771952117,0.0037400436531971363,0.9512258480714921,0.011940196752820457,0.9686488360993056,71,500,0,-1
17,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,70.0,286.0,7.409936402375239,0.0,1.0,power_law,1.2416537574291862,0.9782750305012885,0.005073982174911703,0.9431414281367556,0.01668396211571368,0.9830857331948988,71,500,0,-1
18,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,68.0,282.0,7.585016129845643,0.0,1.0,power_law,1.2451029638503281,0.9916944876596412,0.005102011199975022,0.9613226472107952,0.014721889194075721,0.9748679643535378,71,500,0,-1
19,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,82.0,344.0,10.282332601163919,0.0,1.0,power_law,0.9979392362309545,0.9684817716967602,0.00391026256838717,0.8584481892013853,0.018157904926926264,0.9534106722291789,71,500,0,-1
20,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,75.0,311.0,7.925463831392506,0.0,1.0,power_law,0.6998256783400706,0.9716574839182202,0.002915253324151952,0.973430711503498,0.012307132589435934,0.9650039692602881,71,500,0,-1
21,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,80.0,340.0,9.697677629049846,0.0,1.0,power_law,1.1334901389900904,0.986902454914891,0.004628875773678991,0.9501863367396143,0.022306229210356215,0.9467016308191161,71,500,0,-1
22,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,81.0,321.0,9.900020816295877,0.0,1.0,power_law,1.0752497249681465,0.9923514528962403,0.0043464656852955615,0.936134677472535,0.019561839483449927,0.9794972019765155,71,500,0,-1
23,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,75.0,313.0,9.392224623971698,0.0,1.0,power_law,1.0437526130641457,0.9912769126082976,0.0041458826990890055,0.9029274441377554,0.02052022427278777,0.9563901546998795,71,500,0,-1
24,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,70.0,280.0,8.230258341017949,0.0,1.0,power_law,1.4047113587080562,0.959723277488541,0.0054592051314731275,0.8368539297624549,0.017472003546941176,0.9750417671359739,71,500,0,-1
25,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,83.0,339.0,10.749898388781926,0.0,1.0,power_law,1.1900940419388761,0.9720481917797026,0.004911214443948478,0.9557009619527754,0.02330582696685462,0.9524652628580473,71,500,0,-1
26,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,77.0,325.0,8.544751019082604,0.0,1.0,power_law,1.006099048026185,0.9833030327847818,0.004128543031107939,0.9559133494704655,0.01724527575033802,0.9837031129349603,71,500,0,-1
27,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,78.0,326.0,9.51623165041123,0.0,1.0,power_law,0.8323459548236033,0.9904274829494142,0.0033113463528054304,0.904988679186803,0.01800399670336388,0.9603426983293016,71,500,0,-1
28,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,74.0,286.0,8.695250625912884,0.0,1.0,power_law,1.4022653968515943,0.9946640501013632,0.005703238823527359,0.949900456377714,0.017602563048624762,0.9882285609199108,71,500,0,-1
29,v2_dim1,1,0.0,,1.0,4,1,1,0.15,0.08,0.03,500,20000,77.0,321.0,9.768435017395731,0.0,1.0,power_law,0.9576306483151651,0.9865707334060171,0.003857392582389829,0.9241422572936322,0.017259122027202006,0.9703006574645053,71,500,0,-1
