t,rfront,global_diff
0,0.0,6.250000000000116e-10
1,1.0,6.250000000000446e-10
2,1.0,6.250000000000083e-10
3,1.0,6.250000000000643e-10
4,2.0,6.250000000000956e-10
5,1.0,6.250000000001539e-10
6,5.0,6.250000000002555e-10
7,5.0,6.25000000000381e-10
8,5.0,6.250000000002487e-10
9,5.0,6.250000000002653e-10
10,5.0,6.250000000002762e-10
11,5.0,6.250000000003895e-10
12,5.0,6.250000000002966e-10
13,5.0,6.250000000003458e-10
14,5.0,6.250000000001078e-10
15,5.0,6.250000000001051e-10
16,5.0,6.250000000001574e-10
17,5.0,6.250000000001722e-10
18,5.0,6.250000000003013e-10
19,5.0,6.250000000003417e-10
20,5.0,6.250000000002831e-10
21,5.0,6.25000000000182e-10
22,5.0,6.250000000000986e-10
23,5.0,6.249999999998918e-10
24,5.0,6.249999999997976e-10
25,5.0,6.249999999997568e-10
26,5.0,6.250000000000569e-10
27,5.0,6.249999999999708e-10
28,5.0,6.250000000000488e-10
29,5.0,6.250000000000835e-10
30,3.0,6.249999999999518e-10
31,5.0,6.249999999997501e-10
32,5.0,6.249999999996448e-10
33,5.0,6.249999999998725e-10
34,5.0,6.249999999999643e-10
35,5.0,6.249999999998787e-10
36,5.0,6.25000000000053e-10
37,5.0,6.250000000003401e-10
38,5.0,6.250000000004606e-10
39,5.0,6.250000000005165e-10
40,5.0,6.250000000003659e-10
41,5.0,6.250000000004323e-10
42,5.0,6.250000000005968e-10
43,5.0,6.250000000006975e-10
44,5.0,6.250000000003609e-10
45,5.0,6.250000000003884e-10
46,5.0,6.250000000001373e-10
47,5.0,6.250000000004335e-10
48,5.0,6.250000000005503e-10
49,5.0,6.250000000007275e-10
50,5.0,6.250000000005592e-10
51,5.0,6.250000000006486e-10
52,5.0,6.250000000006885e-10
53,5.0,6.250000000006973e-10
54,5.0,6.25000000000543e-10
55,5.0,6.250000000008609e-10
56,5.0,6.250000000008236e-10
57,5.0,6.250000000009005e-10
58,5.0,6.250000000008665e-10
59,5.0,6.250000000004969e-10
60,5.0,6.250000000004713e-10
61,5.0,6.250000000004199e-10
62,5.0,6.25000000000601e-10
63,5.0,6.250000000004421e-10
64,5.0,6.250000000003276e-10
65,5.0,6.250000000004377e-10
66,5.0,6.250000000006415e-10
67,5.0,6.250000000008835e-10
68,5.0,6.250000000009043e-10
69,5.0,6.250000000009149e-10
70,5.0,6.250000000008609e-10
71,5.0,6.250000000011487e-10
72,5.0,6.250000000012474e-10
73,5.0,6.2500000000142e-10
74,5.0,6.250000000013027e-10
75,5.0,6.250000000011947e-10
76,5.0,6.250000000009842e-10
77,5.0,6.250000000007932e-10
78,5.0,6.25000000000826e-10
79,5.0,6.250000000007799e-10
80,5.0,6.250000000008119e-10
81,5.0,6.250000000009801e-10
82,5.0,6.250000000007243e-10
83,5.0,6.250000000004885e-10
84,5.0,6.250000000004659e-10
85,5.0,6.250000000004341e-10
86,5.0,6.250000000006435e-10
87,5.0,6.250000000005472e-10
88,5.0,6.250000000006202e-10
89,5.0,6.250000000006873e-10
90,5.0,6.250000000006651e-10
91,5.0,6.250000000006354e-10
92,5.0,6.25000000000696e-10
93,5.0,6.250000000004398e-10
94,5.0,6.250000000006481e-10
95,5.0,6.250000000005467e-10
96,5.0,6.250000000006383e-10
97,5.0,6.250000000007455e-10
98,5.0,6.250000000008431e-10
99,5.0,6.25000000000909e-10
100,5.0,6.250000000008423e-10
101,5.0,6.250000000005811e-10
102,5.0,6.250000000006094e-10
103,5.0,6.250000000006208e-10
104,5.0,6.250000000003967e-10
105,5.0,6.250000000002404e-10
106,5.0,6.249999999998842e-10
107,5.0,6.249999999996809e-10
108,5.0,6.249999999996282e-10
109,5.0,6.249999999995792e-10
110,5.0,6.24999999999414e-10
111,5.0,6.249999999992036e-10
112,5.0,6.24999999999048e-10
113,5.0,6.249999999991052e-10
114,5.0,6.249999999987661e-10
115,5.0,6.249999999988048e-10
116,5.0,6.249999999988487e-10
117,5.0,6.249999999988616e-10
118,5.0,6.249999999989621e-10
119,5.0,6.249999999989325e-10
120,5.0,6.249999999989592e-10
121,5.0,6.249999999986988e-10
122,5.0,6.249999999990114e-10
123,5.0,6.249999999988836e-10
124,5.0,6.249999999989381e-10
125,5.0,6.249999999988975e-10
126,5.0,6.249999999989159e-10
127,5.0,6.249999999991091e-10
128,5.0,6.24999999999053e-10
129,5.0,6.249999999989585e-10
130,5.0,6.249999999988186e-10
131,5.0,6.249999999989455e-10
132,5.0,6.249999999987756e-10
133,5.0,6.249999999986147e-10
134,5.0,6.249999999986356e-10
135,5.0,6.249999999989517e-10
136,5.0,6.249999999990427e-10
137,5.0,6.249999999990737e-10
138,5.0,6.249999999993598e-10
139,5.0,6.24999999999501e-10
140,5.0,6.249999999992688e-10
141,5.0,6.249999999992634e-10
142,5.0,6.249999999991965e-10
143,5.0,6.249999999993039e-10
144,5.0,6.249999999993421e-10
145,5.0,6.249999999991431e-10
146,5.0,6.24999999999116e-10
147,5.0,6.249999999989199e-10
148,5.0,6.249999999991938e-10
149,5.0,6.249999999992177e-10
150,5.0,6.249999999991952e-10
151,5.0,6.249999999990101e-10
152,5.0,6.249999999990493e-10
