t,captures_total,captures_in,captures_out,M_total,M_in,M_out,frac_M_in_cum,frac_M_out_cum,delta_cum,frac_M_in_roll,frac_M_out_roll,delta_roll,locked_like,mean_edge_mem,mean_theta_step
0,18,3,15,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,26,4,22,1,1,0,0.14285714285712245,0.0,0.14285714285712245,0.14285714285712245,0.0,0.14285714285712245,0.1565040650406504,0.020873357875168502,0.0019892693322194903
2,21,6,15,1,0,1,0.076923076923071,0.01923076923076886,0.057692307692302144,0.076923076923071,0.01923076923076886,0.057692307692302144,0.25101626016260165,0.0645254457997922,0.004154093691998471
3,20,7,13,0,0,0,0.049999999999997505,0.01538461538461515,0.034615384615382355,0.049999999999997505,0.01538461538461515,0.034615384615382355,0.22967479674796748,0.12434753534172314,0.00564696110195499
4,20,7,13,1,0,1,0.03703703703703567,0.025641025641025314,0.011396011396010354,0.03703703703703567,0.025641025641025314,0.011396011396010354,0.21036585365853658,0.19366669209961174,0.00654971508875322
5,21,4,17,0,0,0,0.03225806451612799,0.02105263157894715,0.011205432937180841,0.03225806451612799,0.02105263157894715,0.011205432937180841,0.19817073170731708,0.270341999266794,0.007235725804088524
6,22,5,17,0,0,0,0.027777777777777006,0.0178571428571427,0.009920634920634306,0.027777777777777006,0.0178571428571427,0.009920634920634306,0.1798780487804878,0.34483280306369746,0.007071865645129418
7,22,4,18,0,0,0,0.024999999999999373,0.015384615384615268,0.009615384615384106,0.024999999999999373,0.015384615384615268,0.009615384615384106,0.18699186991869918,0.4194276959350389,0.0071171450248274344
8,26,5,21,0,0,0,0.022222222222221727,0.013245033112582695,0.008977189109639032,0.022222222222221727,0.013245033112582695,0.008977189109639032,0.1951219512195122,0.49354363388725564,0.00709494765214385
9,22,6,16,0,0,0,0.019607843137254517,0.011976047904191545,0.007631795233062972,0.019607843137254517,0.011976047904191545,0.007631795233062972,0.15040650406504066,0.5658255287614739,0.006998083052380794
10,28,7,21,0,0,0,0.01724137931034453,0.01063829787234037,0.006603081438004159,0.01724137931034453,0.01063829787234037,0.006603081438004159,0.15142276422764228,0.6334922937243238,0.006636290839942956
11,17,3,14,0,0,0,0.01639344262295055,0.009900990099009853,0.006492452523940697,0.01639344262295055,0.009900990099009853,0.006492452523940697,0.16565040650406504,0.7008831242045748,0.006715800892653346
12,23,7,16,0,0,0,0.014705882352940961,0.009174311926605463,0.005531570426335498,0.014705882352940961,0.009174311926605463,0.005531570426335498,0.15142276422764228,0.7619100169202806,0.006145326731622276
13,30,4,26,1,0,1,0.013888888888888697,0.012295081967213064,0.001593806921675633,0.013888888888888697,0.012295081967213064,0.001593806921675633,0.15040650406504066,0.8187578542133352,0.005827979978216447
14,28,5,23,0,0,0,0.01298701298701282,0.011235955056179732,0.001751057930833088,0.01298701298701282,0.011235955056179732,0.001751057930833088,0.15040650406504066,0.8751434359029292,0.005884298560397919
15,17,2,15,1,0,1,0.012658227848101106,0.014184397163120517,-0.0015261693150194107,0.012658227848101106,0.014184397163120517,-0.0015261693150194107,0.15040650406504066,0.9286274558310167,0.005701011212081063
16,24,5,19,0,0,0,0.011904761904761764,0.013289036544850454,-0.00138427464008869,0.011904761904761764,0.013289036544850454,-0.00138427464008869,0.15040650406504066,0.9763665863311597,0.005252959727843886
17,26,6,20,3,0,3,0.011111111111110988,0.021806853582554447,-0.010695742471443458,0.011111111111110988,0.021806853582554447,-0.010695742471443458,0.15040650406504066,1.0213265311610502,0.005056623509913691
18,23,2,21,1,0,1,0.010869565217391186,0.023391812865497005,-0.01252224764810582,0.010869565217391186,0.023391812865497005,-0.01252224764810582,0.15040650406504066,1.063440977237053,0.004854725140085194
19,25,8,17,0,0,0,0.009999999999999901,0.022284122562674032,-0.012284122562674131,0.009999999999999901,0.022284122562674032,-0.012284122562674131,0.15040650406504066,1.1049131890260149,0.004848451322787595
20,23,2,21,2,1,1,0.01960784313725471,0.023684210526315724,-0.0040763673890610135,0.01960784313725471,0.023684210526315724,-0.0040763673890610135,0.15142276422764228,1.1433367039587015,0.004609974845794297
21,19,3,16,1,0,1,0.019047619047618865,0.025252525252525186,-0.006204906204906321,0.019047619047618865,0.025252525252525186,-0.006204906204906321,0.15040650406504066,1.1799544458733118,0.004503922756664805
22,31,7,24,0,0,0,0.0178571428571427,0.023809523809523753,-0.005952380952381053,0.0178571428571427,0.023809523809523753,-0.005952380952381053,0.15040650406504066,1.2146766059835208,0.004379644988491814
23,29,8,21,0,0,0,0.016666666666666528,0.022675736961451195,-0.006009070294784667,0.016666666666666528,0.022675736961451195,-0.006009070294784667,0.15040650406504066,1.2482255253469583,0.004305334606814022
24,17,5,12,0,0,0,0.015999999999999872,0.02207505518763792,-0.006075055187638047,0.015999999999999872,0.02207505518763792,-0.006075055187638047,0.15040650406504066,1.278851484338041,0.004084341765311351
25,19,4,15,0,0,0,0.015503875968992128,0.02136752136752132,-0.005863645398529191,0.015503875968992128,0.02136752136752132,-0.005863645398529191,0.15040650406504066,1.3071295532112281,0.003918569749274124
26,20,3,17,1,1,0,0.022727272727272554,0.020618556701030886,0.0021087160262416686,0.022727272727272554,0.020618556701030886,0.0021087160262416686,0.15040650406504066,1.3333319617281645,0.0037783789809632106
27,24,8,16,1,0,1,0.021428571428571276,0.021956087824351253,-0.0005275163957799769,0.021428571428571276,0.021956087824351253,-0.0005275163957799769,0.15040650406504066,1.3574855276701179,0.0036358157601581414
28,19,2,17,0,0,0,0.021126760563380132,0.021235521235521193,-0.00010876067214106097,0.021126760563380132,0.021235521235521193,-0.00010876067214106097,0.15040650406504066,1.3818666564741455,0.003697866773483376
29,28,10,18,1,0,1,0.01973684210526303,0.022388059701492494,-0.002651217596229466,0.01973684210526303,0.022388059701492494,-0.002651217596229466,0.15040650406504066,1.4057969325297446,0.003699452523625017
30,23,5,18,0,0,0,0.019108280254776948,0.021660649819494546,-0.002552369564717598,0.019108280254776948,0.021660649819494546,-0.002552369564717598,0.15040650406504066,1.4292612211475797,0.0036998040293542062
31,23,0,23,2,0,2,0.019108280254776948,0.024263431542460964,-0.005155151287684016,0.019108280254776948,0.024263431542460964,-0.005155151287684016,0.15142276422764228,1.4519148302803646,0.003661420649533997
32,22,4,18,0,0,0,0.018633540372670693,0.02352941176470584,-0.004895871392035147,0.018633540372670693,0.02352941176470584,-0.004895871392035147,0.15040650406504066,1.4743913121263452,0.003681693595760711
33,26,6,20,0,0,0,0.017964071856287317,0.022764227642276386,-0.004800155785989069,0.017964071856287317,0.022764227642276386,-0.004800155785989069,0.15040650406504066,1.4968850158560711,0.0037191943201158118
34,18,3,15,0,0,0,0.017647058823529307,0.022222222222222185,-0.0045751633986928775,0.017647058823529307,0.022222222222222185,-0.0045751633986928775,0.15040650406504066,1.518554079162895,0.003673754246377977
35,24,4,20,0,0,0,0.01724137931034473,0.021538461538461503,-0.004297082228116773,0.01724137931034473,0.021538461538461503,-0.004297082228116773,0.15040650406504066,1.5385887747101308,0.0035555487616294834
36,22,9,13,1,0,1,0.01639344262295073,0.022624434389140236,-0.006230991766189506,0.01639344262295073,0.022624434389140236,-0.006230991766189506,0.15040650406504066,1.5578447707149525,0.003513707267829394
37,23,4,19,0,0,0,0.016042780748663017,0.02199413489736067,-0.005951354148697654,0.016042780748663017,0.02199413489736067,-0.005951354148697654,0.15040650406504066,1.575905647075881,0.003429831617558212
38,23,4,19,1,0,1,0.015706806282722433,0.022824536376604816,-0.007117730093882384,0.015706806282722433,0.022824536376604816,-0.007117730093882384,0.15040650406504066,1.593071256387457,0.0033734697094819424
39,19,2,17,0,0,0,0.015544041450777122,0.022284122562674064,-0.0067400811118969416,0.015544041450777122,0.022284122562674064,-0.0067400811118969416,0.15040650406504066,1.6104131400038175,0.003413906708475357
40,23,6,17,0,0,0,0.015075376884422035,0.021768707482993168,-0.006693330598571133,0.015075376884422035,0.021768707482993168,-0.006693330598571133,0.15040650406504066,1.6269900917827291,0.003365632007304234
41,19,3,16,1,1,0,0.019801980198019705,0.021304926764314218,-0.0015029465662945128,0.019801980198019705,0.021304926764314218,-0.0015029465662945128,0.15040650406504066,1.6433012195185677,0.0033618298484527267
42,21,6,15,0,0,0,0.019230769230769138,0.02088772845953,-0.0016569592287608605,0.019230769230769138,0.02088772845953,-0.0016569592287608605,0.15040650406504066,1.659085167485722,0.0033323270921247292
43,29,2,27,0,0,0,0.019047619047618956,0.020176544766708677,-0.0011289257190897212,0.019047619047618956,0.020176544766708677,-0.0011289257190897212,0.15040650406504066,1.6746253688905932,0.00332709957525327
44,19,3,16,0,0,0,0.01877934272300461,0.019777503090234832,-0.0009981603672302233,0.01877934272300461,0.019777503090234832,-0.0009981603672302233,0.15040650406504066,1.6901718787334925,0.0033433903867561986
45,18,7,11,0,0,0,0.0181818181818181,0.019512195121951195,-0.001330376940133094,0.0181818181818181,0.019512195121951195,-0.001330376940133094,0.15040650406504066,1.7048189450990412,0.0032741422916555455
46,25,6,19,0,0,0,0.01769911504424771,0.01907032181168055,-0.0013712067674328393,0.01769911504424771,0.01907032181168055,-0.0013712067674328393,0.15040650406504066,1.7192515274127727,0.0032667587235454486
47,26,4,22,1,0,1,0.01739130434782601,0.019744483159117282,-0.002353178811291271,0.01739130434782601,0.019744483159117282,-0.002353178811291271,0.15040650406504066,1.7336703725695113,0.003275863821140465
48,23,4,19,0,0,0,0.017094017094017023,0.019318181818181797,-0.002224164724164774,0.017094017094017023,0.019318181818181797,-0.002224164724164774,0.15040650406504066,1.7477662488106651,0.0032548549932082923
49,24,3,21,0,0,0,0.016877637130801617,0.018867924528301865,-0.0019902873975002483,0.016877637130801617,0.018867924528301865,-0.0019902873975002483,0.15040650406504066,1.7617249438399358,0.0032494951304672514
50,21,6,15,2,1,1,0.020576131687242715,0.019650655021834038,0.0009254766654086775,0.020576131687242715,0.019650655021834038,0.0009254766654086775,0.15040650406504066,1.7753606077563793,0.003225166727693891
51,26,3,23,0,0,0,0.020325203252032437,0.019169329073482407,0.00115587417855003,0.020325203252032437,0.019169329073482407,0.00115587417855003,0.15040650406504066,1.7889360408137163,0.0032234240043189804
52,24,1,23,2,0,2,0.020242914979757002,0.020790020790020767,-0.0005471058102637649,0.020242914979757002,0.020790020790020767,-0.0005471058102637649,0.15040650406504066,1.802138370648358,0.0031910013665737533
53,22,3,19,0,0,0,0.01999999999999992,0.0203873598369011,-0.0003873598369011806,0.01999999999999992,0.0203873598369011,-0.0003873598369011806,0.15040650406504066,1.8151962505646593,0.0031780489290451825
