Nx,Ny,g,n_bonds,dim,solver,E0,gap,R2_area,R2_perim,R2_combined,area_fit_sigma,perim_fit_mu,combined_sigma,combined_mu,creutz_keys,creutz_values
3,3,0.15,12,4096,cupy-dense,-1.7983890973068601,0.299731547553717,0.9995556685308973,0.9507018194623508,1.0,10.47708600408832,7.021540231638456,9.59349651017861,0.6258758915193781,2x2,9.59349651
3,3,0.25,12,4096,cupy-dense,-2.992464836181005,0.49874482233578865,0.9993887824272064,0.952267870687124,1.0,8.933457470207859,5.992459603896632,8.04974650001455,0.6259619372202614,2x2,8.04974650
3,3,0.35,12,4096,cupy-dense,-4.17900114875267,0.6965054668240072,0.9992196553112977,0.9536285188598346,1.0,7.907118994814242,5.30824080269992,7.023243647044081,0.6260783713371972,2x2,7.02324365
3,3,0.45,12,4096,cupy-dense,-5.354435234289505,0.8924305430969701,0.999040113709783,0.9549022925899671,1.0,7.130240536272574,4.790329597325161,6.2461787808299585,0.6262104101051855,2x2,6.24617878
4,3,0.15,17,131072,cupy-eigsh,-2.54771789584028,0.299731547596112,0.9069421293008695,0.9410293046294954,0.9473448441211763,7.946853285368437,6.0335196085564595,2.3210189109991273,4.375648957842797,2x2;3x2,8.76959927;-9.24953719
4,3,0.25,17,131072,cupy-eigsh,-4.2393253609908665,0.49874482233608175,0.9587522772521802,0.9552940637242218,0.9774312664312871,7.488766155064538,5.571720882897424,3.9827814939061525,2.726876958678745,2x2;3x2,8.04861270;-3.17387719
4,3,0.35,17,131072,cupy-eigsh,-5.920253007928632,0.6965054668230337,0.9920829766460847,0.9499004154933237,0.9970392612491354,7.350767981973517,5.3611937482464675,5.608106244293702,1.3554035737509693,2x2;3x2,7.02318269;3.11318308
4,3,0.45,17,131072,cupy-eigsh,-7.585456457979033,0.8924305430952204,0.999149605551428,0.9258667709580547,0.9993774186325218,7.266461685032342,5.213696226262374,6.898440078013798,0.28623902768109194,2x2;3x2,6.24619129;8.03926584
3,4,0.15,17,131072,cupy-eigsh,-2.547717895840279,0.299731547632168,0.889631759380757,0.913753123758126,0.9227799450435434,8.18567127569768,6.183400055399001,2.8859222547623418,4.1220270162830435,2x2;2x3,13.29125412;-14.00626034
3,4,0.25,17,131072,cupy-eigsh,-4.239325360990865,0.4987448223362181,0.9661855587082258,0.9559413953115706,0.981841371927492,7.613372608163564,5.6445093386185246,4.362792366761905,2.5282290766457365,2x2;2x3,8.04812907;-2.12971778
3,4,0.35,17,131072,cupy-eigsh,-5.920253007928627,0.6965054668240018,0.9856868539413198,0.9542180335248294,0.9935956433398202,7.143522602222875,5.238784071557544,4.997302750198902,1.6692821071297608,2x2;2x3,7.02323235;1.42318819
3,4,0.45,17,131072,cupy-eigsh,-7.5854564579790305,0.8924305430970767,0.9979396147018934,0.9403345645806781,0.9998175298088452,6.939361849819125,5.020793390500913,5.9296867598949055,0.7853028477188401,2x2;2x3,6.24618755;5.36201247
